Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Super Nachos, Chicken",,43,92,35,5,12,1720,70,900,9,0
"Super Nachos, Ground Beef",,51,95,33,5,15,1770,65,970,12,1
"Super Nachos, Steak",,46,94,33,6,13,2140,70,930,11,0
"Taco Salad, Chicken",,39,67,40,8,11,1710,90,770,12,0
"Taco Salad, Ground Beef",,47,70,38,8,14,1760,85,850,15,1
"Taco Salad, Steak",,43,69,38,8,11,2130,85,810,14,0
"Hard Taco, Ground Beef",,12,15,11,1,3,340,35,210,5,0
Southwest Chicken Soft Taco,,19,17,15,1,1,680,50,300,6,0
"Street Taco, Chicken",,6,13,10,1,1,270,30,140,3.5,0
"Street Taco, Steak",,7,14,9,1,1,480,25,160,4,0
Chocolate Malt,,37,99,14,70,1,350,105,770,25,1.5
Chocolate Shake,,36,84,12,59,1,300,105,700,25,1.5
OREO Cookie Malt,,40,94,15,64,1,390,105,780,26,1.5
OREO Cookie Shake,,39,79,13,53,1,340,105,710,25,1.5
Strawberry Malt,,37,98,13,75,0,290,105,770,25,1.5
Strawberry Shake,,36,83,12,63,0,250,105,700,24,1.5
Vanilla Malt,,36,100,13,76,0,290,105,770,25,1.5
Vanilla Shake,,35,86,12,65,0,240,105,700,24,1.5
Charbroiled Chicken Salad (add dressing),,11,27,31,10,3,770,75,320,3.5,0
Garden Side Salad (add dressing),,4.5,14,4,3,2,230,5,110,1.5,0
CrissCut Fries,,29,42,5,0,4,900,0,450,5,0
Fried Zucchini,,18,36,6,7,2,610,0,330,3,0
"Natural-Cut Fries, Kids",,12,31,3,0,3,480,0,240,2,0
"Natural-Cut Fries, Large",,22,59,5,0,6,920,0,460,4,0
"Natural-Cut Fries, Medium",,21,55,5,0,5,860,0,430,4,0
"Natural-Cut Fries, Small",,15,39,3,0,4,600,0,300,2.5,0
Onion Rings,,28,61,8,6,3,590,0,530,4.5,0
