Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Honey BBQ Chicken Strip Sandwich Jr. Whatameal,1232,45,229,30,125,7,1840,60,1410,8,0
Honey BBQ Chicken Strip Sandwich Jr. Whatameal with Lower Calorie Sides,847,24,74,26,17,4,1550,60,610,5,0
Honey BBQ Chicken Strip Sandwich Whatameal,1336,60,254,43,129,7,2730,100,1700,12,0
Honey BBQ Chicken Strip Sandwich Whatameal with Lower Calorie Sides,1306,39,100,38,21,4,2450,100,910,9,0
Monterey Melt,399,68,62,54,12,4,2180,130,1090,23,2
Monterey Melt Jr.,214,37,37,28,7,2,1390,75,600,13,1
Monterey Melt Jr. Whatameal,1249,59,201,33,119,6,1690,75,1430,16,1
Monterey Melt Jr. Whatameal with Lower Calorie Sides,1220,37,47,29,11,3,1420,75,640,13,1
Monterey Melt Whatameal,1434,90,226,59,124,8,2480,130,1920,26,2
Monterey Melt Whatameal with Lower Calorie Sides,1404,68,72,55,17,5,2210,135,1130,23,2
Whataburger Patty Melt,331,61,45,49,6,1,1760,125,940,21,2
"Whataburger Patty Melt, Single",228,37,45,28,6,1,1200,65,640,11,1
"Whataburger Patty Melt, Single Whatameal",1262,58,209,33,118,5,1510,70,1470,14,1
"Whataburger Patty Melt, Single Whatameal with Lower Calorie Sides",1233,37,56,28,11,2,1230,70,680,11,1
Whataburger Patty Melt Whatameal,1366,82,209,54,118,5,2070,125,1770,23,2
Whataburger Patty Melt Whatameal with Lower Calorie Sides,1336,61,56,49,11,2,1790,130,980,21,2
Whatacatch Sandwich,193,23,58,19,6,1,970,50,510,4,0
Biscuit,85,16,32,5,2,1,600,0,290,8,0
Biscuit and Gravy,255,29,46,7,4,1,1530,15,470,13,0
Biscuit and Gravy Whatameal,788,40,67,10,4,3,2030,15,670,15,0
Biscuit and Jelly,99,16,41,5,9,1,600,0,330,8,0
Biscuit Sandwich with Bacon,164,29,32,18,2,1,1170,230,470,14,0
Biscuit Sandwich with Bacon Whatameal,697,40,53,20,2,3,1670,230,660,15,0
Biscuit Sandwich with Sausage,211,45,32,25,2,1,1360,250,630,20,0
Biscuit Sandwich with Sausage Whatameal,745,56,53,28,2,3,1860,250,830,21,0
Biscuit with Bacon,94,19,32,8,2,1,770,10,340,9,0
Biscuit with Sausage,142,35,32,16,2,1,960,30,500,15,0
Breakfast on a Bun with Bacon,139,15,34,18,5,1,910,230,350,6,0
Breakfast on a Bun with Bacon Whatameal,672,26,55,21,5,3,1410,230,540,7,0
Breakfast on a Bun with Sausage,186,31,34,26,5,1,1100,250,520,12,0
Breakfast on a Bun with Sausage Whatameal,720,42,55,28,5,3,1600,250,710,13,0
