Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
"ExtravaganZZa Hand Tossed Pizza, XLarge",235.0,24.0,50.0,22.0,4.0,3.0,1310.0,55.0,510.0,10.0,0.5,0.6535947712418301,0.7189542483660132,1.2223071046600458,2.140522875816994,0.28758169934640526
"Honolulu Hawaiian Hand Tossed Pizza, Large",146.0,13.0,38.0,15.0,4.0,2.0,830.0,35.0,330.0,6.0,0.0,0.7676767676767677,0.7070707070707071,1.0232192050373867,2.095959595959596,0.30303030303030304
"Honolulu Hawaiian Hand Tossed Pizza, Medium",107.0,10.0,28.0,11.0,3.0,1.0,610.0,30.0,240.0,4.0,0.0,0.7777777777777778,0.8333333333333334,1.0822510822510822,2.1180555555555554,0.3055555555555555
"Honolulu Hawaiian Hand Tossed Pizza, Small",99.0,9.0,26.0,10.0,3.0,1.0,560.0,25.0,230.0,4.0,0.0,0.7536231884057971,0.7246376811594203,1.0163749294184077,2.028985507246377,0.2898550724637681
"Honolulu Hawaiian Hand Tossed Pizza, Xlarge",192.0,16.0,49.0,19.0,6.0,3.0,1090.0,50.0,430.0,7.0,0.0,0.7596899224806202,0.7751937984496124,0.9664753850800363,2.112403100775194,0.29457364341085274
"MeatZZa Hand Tossed Pizza, Large",155.0,17.0,37.0,16.0,3.0,2.0,930.0,40.0,370.0,7.0,0.0,0.6666666666666667,0.7207207207207208,1.1934011934011934,2.0945945945945947,0.28828828828828834
"MeatZZa Hand Tossed Pizza, Medium",113.0,13.0,27.0,12.0,2.0,1.0,680.0,30.0,270.0,5.0,0.0,0.6666666666666667,0.7407407407407407,1.2506012506012505,2.0987654320987654,0.29629629629629634
"MeatZZa Hand Tossed Pizza, Small",106.0,12.0,26.0,11.0,2.0,1.0,630.0,30.0,260.0,5.0,0.0,0.6666666666666667,0.7692307692307693,1.1988011988011988,2.019230769230769,0.2820512820512821
"MeatZZa Hand Tossed Pizza, XLarge",204.0,23.0,48.0,22.0,4.0,3.0,1250.0,55.0,490.0,10.0,0.5,0.6530612244897959,0.7482993197278912,1.2191889742910151,2.1258503401360547,0.29931972789115646
"Memphis BBQ Chicken Hand Tossed Pizza, Large",141.0,14.0,39.0,17.0,6.0,2.0,660.0,40.0,350.0,7.0,0.0,0.7428571428571429,0.7619047619047619,1.0389610389610389,1.5714285714285714,0.3238095238095238
