Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Frozen Chocolate, Small",,11,96,6,86,2,170,15,500,7,1
"Hazelnut Swirl Frozen Chocolate, Large",,17,182,11,168,1,360,30,920,12,1
"Hazelnut Swirl Frozen Chocolate, Medium",,13,137,9,126,1,270,25,700,9,1
"Hazelnut Swirl Frozen Chocolate, Small",,10,96,6,88,1,190,15,500,7,1
"Maple Pecan Swirl Frozen Chocolate, Large",,17,178,11,165,1,360,30,910,12,1
"Maple Pecan Swirl Frozen Chocolate, Medium",,13,137,9,127,1,270,25,700,9,1
"Maple Pecan Swirl Frozen Chocolate, Small",,10,96,6,89,1,190,15,500,7,1
"Pumpkin Swirl Frozen Chocolate, Large",,17,175,12,163,1,420,25,900,12,1
"Pumpkin Swirl Frozen Chocolate, Medium",,13,134,9,125,1,320,20,690,10,1
"Pumpkin Swirl Frozen Chocolate, Small",,10,95,6,88,1,210,15,500,7,1
"Frozen Dunkaccino, Large",,21,179,11,160,4,350,30,940,15,1.5
"Frozen Dunkaccino, Medium",,16,135,8,121,3,260,20,720,12,1
"Frozen Dunkaccino, Small",,12,94,6,84,2,180,15,510,9,1
"Frozen Vanilla Chai, Large",,14,161,9,151,0,250,25,800,10,0
"Frozen Vanilla Chai, Medium",,10,121,7,113,0,190,15,600,7,0
"Frozen Vanilla Chai, Small",,7,80,4,76,0,125,10,400,5,0
"Dunkaccino, Extra Large",,23,80,4,58,1,510,10,540,19,0
"Dunkaccino, Large",,21,73,4,53,1,470,10,490,17,0
"Dunkaccino, Medium",,15,52,3,38,1,340,5,350,12,0
"Mint Hot Chocolate, Extra Large",,16,87,3,70,3,430,0,490,14,0
"Mint Hot Chocolate, Large",,13,72,3,57,3,350,0,400,12,0
"Oreo Hot Chocolate, Large",,10,88,6,70,3,500,0,460,8,0
"Oreo Hot Chocolate, Medium",,8,66,4,53,2,380,0,350,6,0
"Oreo Hot Chocolate, Small",,5,44,3,35,1,250,0,230,4,0
"Oreo Hot Chocolate, XLarge",,13,110,7,88,4,630,0,580,10,0
"Original Hot Chocolate, Extra Large",,15,89,4,71,3,480,0,500,14,0
"Original Hot Chocolate, Large",,14,82,4,65,3,440,0,460,13,0
"Original Hot Chocolate, Medium",,10,59,3,46,2,320,0,330,9,0
"Salted Caramel Hot Chocolate, Extra Large",,17,87,5,69,2,750,0,510,15,0
"Salted Caramel Hot Chocolate, Large",,14,71,4,57,2,620,0,420,13,0
"Salted Caramel Hot Chocolate, Medium",,10,52,3,42,1,450,0,310,9,0
"Turbo Hot Chocolate, Large",,12,71,3,55,3,380,0,400,11,0
"Vanilla Chai, Large",,12,75,14,66,0,210,10,450,10,0
"Vanilla Chai, Medium",,9,56,10,49,0,160,10,340,7,0
"Vanilla Chai, Small",,6,37,7,33,0,105,5,230,5,0
Kolache,,18,41,20,12,1,500,40,370,6,0
Kosher Belgian Waffle Breakfast Sandwich with Maple Sugar Bacon,,22,43,18,14,2,1140,190,440,6,0
Kosher Big n' Toasted,,36,44,25,3,2,1290,340,610,10,0
Kosher Dunkin' Double Veggie Sausage Sandwich,,18,74,37,7,6,1460,180,600,6,0
Kosher Egg & Cheese Wake Up Wrap,,10,14,7,1,0,410,95,170,4,0
Kosher Egg White and Cheese on an English Muffin,,6,37,15,4,1,740,15,270,3,0
Kosher Grilled Cheese (Regional),,23,36,17,3,0,840,55,420,12,0
Kosher Grilled Cheese with Veggie Bacon (Regional),,27,38,19,3,1,1080,55,480,12,0
Kosher Maple Sugar Bacon Breakfast Sandwich,,39,50,18,11,3,1050,180,630,14,0
Kosher Maple Sugar Bacon Wake-Up Wrap,,14,19,9,4,1,650,95,240,4.5,0
Kosher Tuna Melt on a Croissant,,34,43,22,6,2,600,45,570,14,0
Kosher Tuna Salad on a Plain Bagel,,9,69,21,6,5,840,20,440,1,0
Kosher Veggie Bacon and Veggie Sausage Croissant Sandwich,,37,46,25,6,3,1070,180,620,14,0
Kosher Veggie Bacon and Veggie Sausage Wake-Up Wrap,,13,17,12,1,1,660,95,240,4.5,0
Kosher Veggie Bacon Egg and Cheese on a Plain Bagel,,17,68,21,6,5,1190,180,510,5,0
