Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
Supreme - Small Hand Tossed Slice,70.2,6.0,17.0,6.0,1.0,1.0,280.0,15.0,150.0,2.5,0.0,0.7555555555555555,0.6666666666666667,1.0389610389610389,1.5555555555555556,0.26666666666666666
Backyard BBQ Chicken - Medium Original Pan™ Slice,109.3,10.0,33.0,11.0,6.0,2.0,450.0,25.0,270.0,4.0,0.0,0.8148148148148148,0.6172839506172839,0.962000962000962,1.388888888888889,0.271604938271605
Buffalo Chicken - Medium Original Pan™ Slice,111.9,9.0,31.0,11.0,2.0,2.0,680.0,20.0,240.0,3.5,0.0,0.8611111111111113,0.5555555555555556,0.974025974025974,2.361111111111111,0.3055555555555555
Cheese - Medium Original Pan™ Slice,105.7,10.0,28.0,11.0,1.0,2.0,450.0,25.0,250.0,4.5,0.0,0.7466666666666667,0.6666666666666667,1.0389610389610389,1.5,0.29333333333333333
Chicken-Bacon Parmesan - Medium Original Pan™ Slice,114.6,13.0,27.0,12.0,1.0,2.0,470.0,30.0,270.0,4.5,0.0,0.6666666666666667,0.7407407407407407,1.2506012506012505,1.4506172839506173,0.29629629629629634
Hawaiian Chicken - Medium Original Pan™ Slice,118.6,9.0,29.0,11.0,2.0,2.0,490.0,25.0,240.0,3.5,0.0,0.8055555555555556,0.6944444444444445,0.974025974025974,1.7013888888888888,0.3055555555555555
Meat Lover's® - Medium Original Pan™ Slice,123.2,17.0,28.0,13.0,1.0,2.0,660.0,35.0,320.0,6.0,0.0,0.5833333333333334,0.7291666666666667,1.37987012987013,1.71875,0.27083333333333337
Pepperoni - Medium Original Pan™ Slice,101.3,11.0,28.0,10.0,1.0,2.0,470.0,25.0,250.0,4.5,0.0,0.7466666666666667,0.6666666666666667,1.1428571428571428,1.5666666666666667,0.26666666666666666
Pepperoni Lover's® - Medium Original Pan™ Slice,116.6,15.0,28.0,13.0,1.0,2.0,580.0,35.0,300.0,6.0,0.0,0.6222222222222222,0.7777777777777778,1.2987012987012987,1.6111111111111112,0.2888888888888889
Supreme - Medium Original Pan™ Slice,121.1,13.0,29.0,11.0,2.0,2.0,500.0,25.0,270.0,5.0,0.0,0.7160493827160495,0.6172839506172839,1.2506012506012505,1.5432098765432098,0.271604938271605
Ultimate Cheese Lover's® - Medium Original Pan™ Slice,106.6,13.0,27.0,12.0,1.0,2.0,470.0,25.0,270.0,5.0,0.0,0.6666666666666667,0.6172839506172839,1.2506012506012505,1.4506172839506173,0.29629629629629634
Veggie Lover's® - Medium Original Pan™ Slice,120.3,9.0,29.0,9.0,2.0,2.0,420.0,15.0,230.0,3.5,0.0,0.8405797101449275,0.43478260869565216,1.0163749294184077,1.5217391304347825,0.26086956521739135
Backyard BBQ Chicken - Medium Hand Tossed Slice,97.8,7.0,31.0,10.0,6.0,2.0,390.0,20.0,220.0,3.0,0.0,0.9393939393939393,0.6060606060606061,0.8264462809917354,1.4772727272727273,0.30303030303030304
Buffalo Chicken - Medium Hand Tossed Slice,97.1,5.0,28.0,9.0,1.0,2.0,560.0,20.0,200.0,2.5,0.0,0.9333333333333335,0.6666666666666667,0.6493506493506493,2.3333333333333335,0.3
Cheese - Medium Hand Tossed Slice,93.6,8.0,26.0,10.0,1.0,2.0,390.0,20.0,210.0,3.5,0.0,0.8253968253968255,0.6349206349206349,0.9894867037724181,1.5476190476190477,0.31746031746031744
