Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
"Bacon, Egg & Cheese Biscuit",,21.0,40.0,15.0,1.0,2.0,1240.0,170.0,420.0,11.0,0.0,0.6349206349206349,2.6984126984126986,1.2987012987012987,2.4603174603174605,0.23809523809523808
"Bacon, Egg, & Cheese Muffin",,12.0,31.0,16.0,1.0,1.0,710.0,170.0,300.0,5.0,0.0,0.6888888888888889,3.7777777777777777,1.0389610389610389,1.9722222222222223,0.35555555555555557
Buttered Biscuit,,13.0,41.0,4.0,4.0,4.0,710.0,0.0,300.0,7.0,0.0,0.9111111111111111,0.0,1.1255411255411256,1.9722222222222223,0.08888888888888889
"Chick-n-Minis, 4-Count",,14.0,37.0,19.0,6.0,2.0,860.0,55.0,350.0,4.0,0.0,0.7047619047619048,1.0476190476190477,1.0389610389610389,2.047619047619048,0.3619047619047619
"Chicken, Egg & Cheese Bagel",,18.0,51.0,27.0,8.0,3.0,1310.0,195.0,480.0,5.0,0.0,0.7083333333333334,2.7083333333333335,0.974025974025974,2.2743055555555554,0.375
Chicken Biscuit,,32.0,50.0,17.0,5.0,4.0,1310.0,35.0,450.0,8.0,0.0,0.7407407407407407,0.5185185185185186,1.847041847041847,2.425925925925926,0.2518518518518519
Egg White Grill,,7.0,31.0,25.0,1.0,1.0,970.0,55.0,300.0,3.0,0.0,0.6888888888888889,1.222222222222222,0.6060606060606061,2.6944444444444446,0.5555555555555556
Greek Yogurt Parfait with Chocolate Cookie Crumbs,,8.0,26.0,11.0,21.0,1.0,95.0,25.0,210.0,0.0,0.0,0.8253968253968255,0.7936507936507936,0.9894867037724181,0.376984126984127,0.34920634920634924
Greek Yogurt Parfait with Granola,,8.0,29.0,12.0,22.0,2.0,95.0,25.0,240.0,0.0,0.0,0.8055555555555556,0.6944444444444445,0.8658008658008658,0.3298611111111111,0.33333333333333337
Hash Brown Scramble Bowl,,29.0,21.0,31.0,1.0,4.0,1230.0,370.0,460.0,9.0,0.0,0.30434782608695654,5.362318840579711,1.6374929418407678,2.2282608695652173,0.4492753623188406
Hash Brown Scramble Burrito,,38.0,50.0,35.0,1.0,5.0,1680.0,370.0,680.0,0.0,0.0,0.4901960784313726,3.627450980392157,1.4514896867838045,2.058823529411765,0.3431372549019608
"Sausage, Egg, & Cheese Biscuit",,40.0,41.0,20.0,1.0,3.0,1520.0,200.0,600.0,18.0,0.0,0.45555555555555555,2.2222222222222223,1.7316017316017316,2.111111111111111,0.22222222222222224
"Sausage, Egg, & Cheese Muffin",,30.0,32.0,20.0,1.0,2.0,990.0,200.0,490.0,12.0,0.0,0.435374149659864,2.72108843537415,1.590246488205672,1.683673469387755,0.27210884353741494
Sunflower Multigrain Bagel with Cream Cheese,,10.0,43.0,7.0,7.0,3.0,460.0,20.0,290.0,4.5,0.0,0.9885057471264368,0.45977011494252873,0.8956560680698612,1.3218390804597702,0.16091954022988506
Chick-fil-A Deluxe Sandwich,,23.0,42.0,31.0,6.0,3.0,1590.0,75.0,500.0,7.0,0.0,0.56,1.0,1.1948051948051948,2.6500000000000004,0.41333333333333333
"Chick-fil-A Nuggets, 4-Count",,6.0,5.0,14.0,0.0,1.0,490.0,40.0,130.0,0.0,0.0,0.25641025641025644,2.0512820512820515,1.1988011988011988,3.141025641025641,0.7179487179487181
"Chick-fil-A Nuggets, 6-Count",,9.0,7.0,21.0,0.0,1.0,730.0,55.0,190.0,0.0,0.0,0.24561403508771928,1.929824561403509,1.2303485987696514,3.2017543859649122,0.7368421052631579
"Chick-fil-A Nuggets, 8-Count",,12.0,9.0,28.0,0.0,1.0,980.0,75.0,260.0,0.0,0.0,0.23076923076923078,1.923076923076923,1.1988011988011988,3.141025641025641,0.7179487179487181
