Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"6"" Chicken Parmesan",277,16,63,24,10,6,1000,35,480,5,0.5
"6"" Chicken Pizziola Melt",293,15,50,32,10,6,1140,80,460,6,0.5
"6"" Chicken Salad",170,10,51,19,12,6,660,45,370,2,0
"6"" Chicken Strips",233,4,44,25,7,5,490,50,310,1,0
"6"" Corned Beef Reuben",328,15,52,39,13,7,1720,85,490,5,0.5
"6"" Crunchy Chicken Enchilada",303,26,60,26,10,7,1120,20,580,7,0.5
"6"" Cubano",307,14,48,32,9,5,1430,70,460,4.5,0
"6"" Egg Salad",247,26,45,17,7,5,450,255,480,5,0
"6"" Falafel",276,24,73,18,8,13,1050,10,580,4,0.5
"6"" Italian Hero",266,29,47,26,9,5,1470,75,550,9,0.5
"6"" Italian Hero Supreme",302,27,54,29,14,5,1660,90,570,11,0.5
"6"" Malibu Garden Vegan Patty",247,10,64,13,8,9,780,0,380,2,0
"6"" Mediterranean Chicken",283,20,46,30,7,5,930,70,490,6,0
"6"" Mediterranean Steak",283,22,49,29,9,5,1270,60,520,7,0.5
"6"" Orchard Chicken Salad",247,8,54,20,15,6,530,40,370,1.5,0
"6"" Pastrami",230,17,46,20,8,5,980,50,420,7,0
"6"" Pastrami Melt, Big Hot",287,28,47,29,8,5,1470,85,580,11,0
"6"" Pepperoni",198,17,45,16,8,5,1080,30,390,6,0.5
"6"" Pizza Sub Melt",195,24,49,20,9,5,1640,55,490,10,0.5
"6"" Sea Salt & Pepper Fish",286,19,74,21,8,7,1130,40,600,4.5,0
"6"" Subway Melt",246,13,48,26,9,5,1410,40,410,5,0.5
"6"" Subway Seafood SensationTM",233,19,51,13,8,5,780,15,420,3,0
"6"" Turkey & Bacon",234,9,47,23,8,5,1190,30,360,3,0
"6"" Turkey & Bacon Avocado",270,14,50,24,8,7,1190,30,420,3.5,0
"6"" Turkey & Bacon Guacamole",270,15,50,24,8,7,1280,30,440,4,0
"6"" Turkey Breast & Black Forest Ham",219,4,46,18,8,5,780,20,280,1,0
"6"" Turkey Italiano Melt",252,23,48,22,9,5,1560,50,480,8,0.5
"6"" Veggie Patty",247,10,52,21,9,8,800,0,390,3,0
Footlong Applewood Pulled Pork,552,18,124,46,48,10,1960,90,840,4,0
Footlong B.L.T.,330,26,88,40,14,10,2260,40,760,9,0
Footlong BBQ Rib Melt,510,58,98,48,20,10,1680,120,1100,22,0
Footlong Big Cheesy,252,34,86,36,10,8,1960,90,780,20,1
Footlong Buffalo Chicken Rotisserie-Style,566,34,94,58,16,12,2540,120,920,6,0
Footlong Buffalo Chicken with Chicken Strips,538,32,92,50,16,12,2200,110,840,6,0
Footlong Caesar Chicken Melt with Chicken Strips,536,44,92,58,14,10,1600,150,980,12,1
Footlong Chicken Caesar Melt Rotisserie Style,566,48,92,68,16,10,2020,150,1040,12,1
Footlong Chicken Parmesan,554,32,126,48,20,12,2000,70,960,10,1
Footlong Chicken Pizziola Melt,586,30,100,64,20,12,2280,160,920,12,1
Footlong Chicken Salad,340,20,102,38,24,12,1320,90,740,4,0
Footlong Chicken Strips,466,8,88,50,14,10,980,100,620,2,0
Footlong Corned Beef Reuben,656,30,104,78,26,14,3440,170,980,10,1
Footlong Crunchy Chicken Enchilada,606,52,120,52,20,14,2240,40,1160,14,1
Footlong Cubano,614,28,96,64,18,10,2860,140,920,9,0
Footlong Egg Salad,494,52,90,34,14,10,900,510,960,10,0
Footlong Falafel,552,48,146,36,16,26,2100,20,1160,8,1
Footlong Italian Hero,532,58,94,52,18,10,2940,150,1100,18,1
Footlong Italian Hero Supreme,604,54,108,58,28,10,3320,180,1140,22,1
Footlong Malibu Garden Vegan Patty,494,20,128,26,16,18,1560,0,760,4,0
Footlong Mediterranean Chicken,566,40,92,60,14,10,1860,140,980,12,0
Footlong Mediterranean Steak,566,44,98,58,18,10,2540,120,1040,14,1
Footlong Orchard Chicken Salad,494,16,108,40,30,12,1060,80,740,3,0
Footlong Pastrami,460,34,92,40,16,10,1960,100,840,14,0
"Footlong Pastrami Melt, Big Hot",574,56,94,58,16,10,2940,170,1160,22,0
Footlong Pepperoni,396,34,90,32,16,10,2160,60,780,12,1
Footlong Pizza Sub Melt,390,48,98,40,18,10,3280,110,980,20,1
Footlong Sea Salt & Pepper Fish,572,38,148,42,16,14,2260,80,1200,9,0
Footlong Subway Melt,492,26,96,52,18,10,2820,80,820,10,1
Footlong Subway Seafood SensationTM,466,38,102,26,16,10,1560,30,840,6,0
Footlong Turkey & Bacon,468,18,94,46,16,10,2380,60,720,6,0
Footlong Turkey & Bacon Avocado,540,28,100,48,16,14,2380,60,840,7,0
Footlong Turkey & Bacon Guacamole,540,30,100,48,16,14,2560,60,880,8,0
Footlong Turkey Breast & Black Forest Ham,438,8,92,36,16,10,1560,40,560,2,0
Footlong Turkey Italiano Melt,504,46,96,44,18,10,3120,100,960,16,1
Footlong Veggie Patty,494,20,104,42,18,16,1600,0,780,6,0
Black Forest Ham Salad,344,3,13,12,8,4,600,25,110,1,0
Oven Roasted Chicken Salad,358,3.5,13,17,7,4,410,45,150,1,0
Roast Beef Salad,358,3.5,12,19,7,4,460,45,140,1,0
Rotisserie-Style Chicken Salad,372,4.5,12,23,6,4,460,55,170,1,0
Subway Club Salad,365,3,13,18,7,4,640,40,140,1,0
Sweet Onion Chicken Teriyaki Salad,415,3,34,19,23,4,650,50,230,1,0
Turkey Breast Salad,344,2,13,12,7,4,560,20,110,0.5,0
Veggie Delite Salad,287,1,11,3,6,4,80,0,60,0,0
Chicken & Bacon Ranch Melt Salad,445,40,15,32,9,4,1290,100,540,12,1
Cold Cut Combo Salad,351,10,13,12,7,4,830,45,180,4,0
Italian B.M.T. Salad,351,15,13,14,8,4,1060,45,230,6,0
Meatball Marinara Salad,426,17,27,15,12,6,790,40,310,7,1
Spicy Italian Salad,347,23,13,14,8,4,1290,50,310,9,0.5
Steak & Cheese Salad,370,8,16,20,8,4,830,50,210,4,0
Tuna Salad,362,24,11,15,6,4,380,40,310,4,0
"6"" Bacon, Egg & Cheese",190,18,44,25,6,4,1310,180,450,7,0
"6"" Bacon, Egg & Cheese Flatbread",198,21,43,25,3,4,1370,180,460,7,0
"6"" Bacon, Egg White & Cheese",190,13,45,26,6,4,1340,20,410,4,0
"6"" Bacon, Egg White & Cheese Flatbread",198,15,44,26,3,4,1410,20,430,5,0
"6"" Black Forest Ham, Egg & Cheese",203,14,45,24,6,4,1150,185,400,5,0
"6"" Black Forest Ham, Egg & Cheese Flatbread",211,16,44,23,3,4,1210,185,410,5,0
"6"" Black Forest Ham, Egg White & Cheese",203,9,45,25,6,4,1180,25,360,2.5,0
"6"" Black Forest Ham, Egg White & Cheese Flatbread",211,11,44,25,3,4,1250,25,370,2.5,0
"6"" Breakfast B.M.T",261,23,47,29,7,5,1630,205,500,8,0
"6"" Breakfast B.M.T Flatbread",270,25,46,28,5,5,1690,205,520,8,0
"6"" Breakfast B.M.T Flatbread with Egg White",270,20,46,30,5,4,1730,45,480,6,0
"6"" Breakfast B.M.T with Egg White",261,17,47,30,7,5,1670,45,470,6,0
"6"" Egg & Cheese",174,13,44,19,5,4,880,170,370,4.5,0
"6"" Egg & Cheese Flatbread",183,15,42,19,2,4,950,170,380,5,0
"6"" Egg White & Cheese",174,8,44,20,5,4,920,10,330,2,0
