Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Hot Honey Extra Crispy™ Chicken Drumstick,65,16,7,11,2,1,540,50,220,2.5,0
Hot Honey Extra Crispy™ Chicken Thigh,134,32,15,22,5,0,1040,100,440,6,0
Hot Honey Extra Crispy™ Chicken Whole Wing,60,18,8,10,3,1,510,45,230,3,0
Hot Honey Kentucky Grilled Chicken® Breast,140,11,3,38,2,0,860,130,260,3,0
Hot Honey Kentucky Grilled Chicken® Drumstick,44,5,1,11,1,0,270,55,90,1.5,0
Hot Honey Kentucky Grilled Chicken® Thigh,77,12,2,17,1,0,520,90,180,3.5,0
Hot Honey Kentucky Grilled Chicken® Whole Wing,34,4.5,1,9,1,0,230,45,80,1,0
Hot Honey Spicy Crispy Chicken Breast,177,33,19,31,7,1,1560,100,500,6,0
Hot Honey Spicy Crispy Chicken Drumstick,57,13,8,9,3,1,590,40,180,2,0
Hot Honey Spicy Crispy Chicken Thigh,97,27,15,13,4,2,1000,65,360,5,0
Hot Honey Spicy Crispy Chicken Whole Wing,43,12,7,7,2,1,480,35,160,2,0
BBQ Baked Beans,151.4,1.5,43,14,18,9,820,0,240,0,0
Biscuit,50.4,8,22,4,1,1,520,0,180,4.5,0
KFC® Cornbread Muffin,52,9,28,3,11,1,240,35,210,1.5,0
Macaroni & Cheese,135,7,20,5,2,1,660,5,160,1.5,0
Mashed Potatoes With Gravy,145.4,4,18,3,0,1,510,0,120,1,0
Mashed Potatoes With Gravy (Fill Up Meal),187,5,23,3,0,2,650,0,150,1.5,0
Potato Wedges,107.5,13,34,4,0,3,700,0,270,1.5,0
Sweet Kernel Corn,95,0.5,20,3,2,2,0,0,80,0,0
BBQ Baked Beans (Family),498.6,5,142,45,61,29,2690,0,790,1,0
Coleslaw (Family),415,45,53,4,37,14,660,10,630,7,0
Corn on the Cob (Family),284,2,67,9,11,8,15,0,280,0,0
Green Beans (Family),342,0.5,17,5,3,10,1040,0,90,0,0
Macaroni & Cheese (Family),456.9,23,66,18,8,5,2230,10,540,6,0
Macaroni Salad (Family),335,28,50,3,30,0,990,55,480,3.5,0
Mashed Potatoes (Family),458,13,66,9,0,6,1290,0,420,2.5,0
Mashed Potatoes With Gravy (Family),693,19,82,12,1,6,2470,0,550,5,0
Potato Salad (Family),405,98,65,8,12,8,1010,80,1200,16,0
Potato Wedges (Family),451.9,54,143,16,0,14,2930,0,1120,6,0
Sweet Kernel Corn (Family),312,2.5,65,9,8,7,10,0,270,0,0
Chicken Littles®,101.8,15,27,14,3,1,620,30,300,2.5,0
Colonel's Crispy Sandwich,178.5,25,37,24,3,2,1170,60,460,3.5,0
Crispy Twister®,234.6,34,53,28,3,4,1260,70,630,7,0
Georgia Gold Chicken Littles®,105.5,18,27,14,4,1,650,30,330,2.5,0
Georgia Gold Sandwich,186.8,31,38,24,4,2,1250,60,530,4.5,0
Honey BBQ Sandwich,165.9,4,53,24,21,3,1350,55,340,0.5,0
Hot Honey Chicken Littles®,108.6,18,28,14,5,1,720,30,330,2.5,0
Hot Honey Sandwich,190.8,30,40,24,6,2,1360,60,520,4.5,0
Nashville Hot Chicken Littles®,107.4,19,27,14,3,1,680,30,340,3,0
Nashville Hot Sandwich,188.2,33,38,24,4,2,1290,60,530,4.5,0
Smoky Mountain BBQ Chicken Littles®,106.9,18,28,14,5,1,630,30,330,2.5,0
Smoky Mountain BBQ Sandwich,189.2,31,41,24,7,2,1200,60,540,4.5,0
Chicken Pot Pie,380,41,60,26,5,7,1750,80,720,25,0
KFC® Famous Bowl,530.4,34,79,26,3,6,2370,45,720,7,0
KFC® Famous Bowl - Snack Size,182.4,13,27,11,1,2,820,20,270,3.5,0
Caesar Side Salad,91.2,2,2,3,1,1,90,5,40,1,0
Café Valley Chocolate Chip Cake (1 Slice),76,15,39,4,27,1,260,50,300,3,0
Café Valley Mini Chocolate Chip Cake,85,12,49,3,35,1,190,40,300,2.5,0
Café Valley Mini Lemon Cake,85,13,43,3,31,0,230,50,300,2.5,0
Oreo Cookies and Crème Pie,74,13,35,3,24,1,210,5,270,8,0
Reese's Peanut Butter Pie,71,17,33,5,22,1,270,5,300,9,0
Country Fried Steak without Peppered White Gravy,105.9,24,22,13,0,2,750,35,360,7,1
Country Fried Steak with Peppered White Gravy,150.4,26,26,13,0,2,910,35,390,7,1
KFC® Gizzards,85,16,18,20,0,1,770,210,300,2,0
KFC® Livers,85,13,12,17,0,0,750,285,230,2.5,0
