Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Brown Steamed Rice,,4,86,9,1,4,15,0,420,1,0
Chow Fun,,9,73,9,6,1,1110,0,410,1,0
Chow Mein,266,20,80,13,9,6,860,0,510,3.5,0
Fried Rice,264,16,85,11,3,1,850,120,520,3,0
"Mixed Vegetables, Side",,0.5,16,4,5,5,540,0,80,0,0
White Steamed Rice,,0,87,7,0,0,0,0,380,0,0
Country Style Bean Curd,,12,14,7,8,2,950,0,190,1.5,0
Eggplant Tofu,173,24,23,7,17,3,520,0,340,3.5,0
Hot Szechuan Tofu,,8,10,6,5,2,580,0,140,1,0
Asian Chicken,,13,14,41,10,3,630,195,340,3.5,0
Black Pepper Chicken,173,19,15,13,7,1,1130,55,280,3.5,0
Grilled Asian Chicken,,13,8,36,8,0,530,185,300,4,0
Grilled Teriyaki Chicken,,13,8,36,8,0,530,185,300,4,0
Kung Pao Chicken,164,19,14,16,6,2,970,55,290,3.5,0
Mushroom Chicken,167,14,11,12,4,1,840,50,220,2.5,0
Orange Chicken,162,23,51,25,19,2,820,80,490,5,0
Potato Chicken,147,10,18,8,4,2,680,30,190,2,0
Teriyaki Chicken,,13,14,41,10,3,630,195,340,3.5,0
Honey Sesame Chicken Breast,,22,40,16,19,2,480,45,420,4,0
String Bean Chicken Breast,159,9,13,14,4,4,590,35,190,2,0
Sweet & Sour Chicken Breast,156,12,40,10,24,1,260,25,300,3,0
SweetFire Chicken Breast,164,15,47,13,27,1,320,35,380,3,0
Beijing Beef,159,26,46,13,24,1,660,25,470,5,0
Broccoli Beef,153,7,13,9,7,2,520,10,150,1.5,0
Shanghai Angus Steak with String Beans,,19,17,19,11,1,790,40,310,4,0
"Crispy Shrimp, Entree",,13,26,9,2,1,800,60,260,2,0
Golden Treasure Shrimp,142,18,35,14,14,2,440,100,360,3,0
Honey Walnut Shrimp,105,23,35,13,9,2,440,100,360,3.5,0
Steamed Ginger Fish,,12,8,15,6,0,1990,40,200,2.5,0
Chicken Egg Roll,85,10,20,6,2,2,340,20,200,2,0
Chicken Potsticker,94,6,20,6,2,1,250,20,160,1.5,0
Crispy Shrimp,,6,13,5,1,1,400,30,130,1,0
Vegetable Spring Roll,96,8,27,3,3,2,520,0,190,1.5,0
"Hot & Sour Soup, Bowl",,6,20,10,6,1,1260,90,170,1,0
"Hot & Sour Soup, Cup",301,5,14,7,4,1,880,65,120,0.5,0
Kids Asian Chicken,,8,8,25,6,2,380,115,200,2,0
Kids Beijing Beef,,20,34,10,18,1,490,20,350,4,0
Kids Broccoli Beef,,6,10,7,5,2,400,10,110,1,0
Kids Brown Steamed Rice,,3,64,7,1,3,10,0,310,0.5,0
Kids Chow Fun,,6,53,6,4,1,810,0,300,0.5,0
Kids Chow Mein,,12,36,7,5,2,540,0,280,2,0
Kids Country Style Bean Curd,,8,9,4,5,1,600,0,120,1,0
Kids Crispy Shrimp,,8,17,6,1,1,520,40,170,1.5,0
Kids Eggplant Tofu,,18,17,5,13,2,390,0,250,2.5,0
Kids Fried Rice,,10,57,7,2,0,570,80,350,2,0
Kids Golden Treasure Shrimp,,10,20,8,8,1,250,60,210,1.5,0
Kids Grilled Asian Chicken,,8,5,22,5,0,320,110,180,2.5,0
Kids Grilled Teriyaki Chicken,,8,5,22,5,0,320,110,180,2.5,0
Kids Honey Sesame Chicken Breast,,17,30,12,14,2,360,30,320,3,0
Kids Honey Walnut Shrimp,,13,14,7,5,1,240,55,200,2,0
Kids Hot Szechuan Tofu,,6,7,4,4,1,430,0,100,0.5,0
Kids Kung Pao Chicken,,14,10,11,4,2,690,40,200,2.5,0
"Kids Mixed Vegetables, Side",,0,12,3,4,4,400,0,60,0,0
Kids Mushroom Chicken,,7,8,9,3,1,580,30,130,1.5,0
Kids Orange Chicken,,17,38,19,14,1,620,60,370,3.5,0
Kids Potato Chicken,,8,15,6,3,0,510,20,140,1.5,0
Kids Shanghai Angus Steak with String Beans,,14,13,14,8,1,590,30,230,3,0
Kids Steamed Ginger Fish,,4,3,5,2,0,660,15,70,1,0
Kids String Bean Chicken Breast,,7,10,11,3,3,440,25,140,1.5,0
Kids Sweet & Sour Chicken Breast,,10,35,9,21,1,220,20,270,2,0
Kids SweetFire Chicken Breast,,12,35,10,20,1,240,25,280,2,0
Kids Teriyaki Chicken,,8,8,25,6,2,380,115,200,2,0
Kids White Steamed Rice,,0,54,5,0,0,0,0,240,0,0
