,PizzaHut,Whataburger,ChickFilA,DunkinDonuts,Wendys,PandaExpress,Subway,CarlsJr,JackInTheBox,BurgerKing,PaneraBread,KFC,Dominos,Mcdonalds,Arbys
Carbs Metric,0.7178382395508223,0.6841547690070504,0.6373326204144862,0.8656685375395159,0.6605854782522548,0.6633942448447218,0.7309870164017238,0.5967433100347055,0.5724128806509861,0.6459426375538079,0.7917564293080087,0.4166642409112834,0.6764570383456251,0.6465650233238459,0.6814719943002113
Cholesterol Metric,0.7663482316285469,1.2618608089104901,1.431106373292302,0.7535387063105728,1.233877489784163,1.2524420101631801,1.0957193188453747,1.0848992531043689,1.3059087830716922,1.0374379075308868,1.162167927078709,1.5224298273957577,0.9890928373223828,1.0166305842996342,0.9061638665284903
Fat Metric,1.1455451899619378,1.2452528993270897,1.0665307555636063,1.136872959144754,1.237579239646121,1.173127007706857,0.9392483785759906,1.3833051765116153,1.4270298636888508,1.3499048933321476,1.0803975443670115,1.5232854266216127,1.17207913304779,1.2175672574124634,1.2539278072212914
Sodium Metric,1.7912403536518664,1.6184315724301488,2.0442374191118984,1.109670856447919,1.5961865324506437,2.283947615929251,2.313290070743912,1.7042302163103162,1.732275980650119,1.488685080608094,1.7288622368775295,2.0613874533062857,2.078667802690963,1.5567363624824608,2.0371702638099727
Protein Metric,1.771324953680491,1.5860662978533562,2.6528222471877467,0.8814104635832637,1.8212373200964098,2.0467446143796626,2.3880104816880454,1.6458858103492706,1.6240904452118756,1.5009081210910469,1.6145225733797057,2.2670322456882626,1.8253800801716453,1.9234789836836212,1.6069034047464976
Price,13.555248508946184,4.313928571428569,3.304285714285714,3.002577319587632,2.8791566265060227,5.337301587301587,5.053860294117646,3.5187850467289747,3.2330909090909095,2.7712121212121215,4.723949999999999,3.9352032520325184,9.590000000000007,3.270769230769231,3.2377876106194696
Saturated Fat Metric,1.6721556069703751,1.607853118720361,0.875667006985743,2.0323189556801147,1.634881896993617,0.8593039987567404,1.1841818697416941,1.976055562858343,1.5822403583809002,1.7793167664148648,1.720972985241801,1.1946808225943646,1.9471064691094797,1.716466170652351,1.780361916715511
