Item 1,Item 2,Item 3,Metric,Price
Chicken Club Salad with Crispy Chicken,Crispy Chicken Strips,Bacon Ultimate Cheeseburger,8.49763,15.27
Jack's Deals Chicken Sandwich,Kids Chicken Sandwich,Jack's Deals Chicken Nuggets (20 pc.),8.49887,7.67
Chicken Sandwich with Bacon,Bacon Ultimate Cheeseburger,Stuffed Jalapenos (7 pc.),8.52702,10.57
Bacon Cheddar Potato Wedges,Ultimate Cheeseburger,Jack's Deals Chicken Nuggets (10 pc.),8.53097,10.870000000000001
Sourdough Jack,Fish Sandwich,Bacon & Swiss Buttery Jack,8.5367,11.07
Stuffed Jalapenos (7 pc.),Jack's Deals Chicken Nuggets (20 pc.),Jack's Deals Chicken Sandwich with Bacon,8.55387,10.57
Double Jack,Classic Buttery Jack,Mini Churros (5 pc.),8.55424,8.379999999999999
Jumbo Jack,Spicy Chicken Biscuit,Bacon Ultimate Cheeseburger,8.56435,12.27
Bacon & Swiss Buttery Jack,"Seasoned Curly Fries, Small",Double Jack,8.57873,9.67
Bacon & Swiss Buttery Jack,Jack's Deals Jr. Bacon Cheeseburger,Jack's Spicy Chicken with Cheese,8.61676,11.17
Stuffed Jalapenos (3 pc.),Chicken Nuggets (20 pc.),Double Jack,8.61957,9.87
Bacon Ultimate Cheeseburger,Jack's Spicy Chicken,Jumbo Jack,8.67344,12.27
Chicken Sandwich with Bacon,Chicken Club Salad with Crispy Chicken,Bacon Ultimate Cheeseburger,8.69831,11.870000000000001
Classic Buttery Jack,Spicy Sriracha Burger,Southwest Chicken Salad with Crispy Chicken,8.70579,14.97
Crispy Chicken Strips,Jack's Deals Jumbo Jack Cheeseburger,Ultimate Cheeseburger,8.70644,12.57
Chicken Nuggets (10 pc.),Bacon & Swiss Buttery Jack,Jack's Spicy Chicken with Cheese,8.7111,12.77
Jack's Deals Chicken Sandwich,Chicken Club Salad with Crispy Chicken,Chicken Nuggets (20 pc.),8.72516,11.870000000000001
Bacon & Swiss Buttery Jack,Jack's Deals Jumbo Jack Cheeseburger,Chicken Sandwich,8.74007,9.57
Spicy Sriracha Burger,Sausage Biscuit,Bacon & Swiss Buttery Jack,8.76129,12.77
Jack's Deals Jumbo Jack Cheeseburger,Stuffed Jalapenos (7 pc.),Bacon & Swiss Buttery Jack,8.79508,12.47
Jack's Deals Jr. Bacon Cheeseburger,Classic Buttery Jack,Sourdough Jack,8.80343,10.97
Chicken Club Salad with Grilled Chicken,Chicken Nuggets (20 pc.),Bacon Cheddar Potato Wedges,8.82217,13.67
