Item 1,Item 2,Item 3,Metric,Price
Salt Bagel,"Cream of Chicken & Wild Rice Soup, Bread Bowl","The Italian on Artisan Ciabatta, Whole",5.91476,15.77
Vegan Lentil Quinoa Broth Bowl,"Bistro French Onion Soup, Bread Bowl","The Italian on Artisan Ciabatta, Whole",5.9473,22.27
"Bistro French Onion Soup, Bread Bowl",Sourdough Bread Bowl,Pecan Braid,5.95359,9.97
"Bistro French Onion Soup, Bread Bowl",Soba Noodle Bowl with Edamame Blend,"Frontega Chicken Panini on Sea Salt Focaccia, Whole",5.96125,21.17
"New England Clam Chowder, Bread Bowl","French Baguette, Side Portion","Low-Fat Chicken Noodle Soup, Bread Bowl",5.97192,13.57
Cinnamon Crunch Bagel,"Roasted Turkey, Apple & Cheddar on Cranberry Walnut Miche, Whole","Bistro French Onion Soup, Bread Bowl",5.98787,15.919999999999998
French Toast Bagel,"Frontega Chicken Panini on Sea Salt Focaccia, Whole","Vegetarian Creamy Tomato Soup, Bread Bowl",5.99038,14.32
Sprouted Grain Bagel Flat,"Baked Potato Soup, Bread Bowl","The Italian on Artisan Ciabatta, Whole",5.99452,14.629999999999999
"Frontega Chicken Panini on Sea Salt Focaccia, Whole","Baked Potato Soup, Bread Bowl",Cinnamon Swirl & Raisin Bagel,6.01656,14.32
Kids Turkey Sandwich on Whole Grain Bread,"Bistro French Onion Soup, Bread Bowl","Vegetarian Creamy Tomato Soup, Bread Bowl",6.02546,14.870000000000001
"BBQ Chicken Mac & Cheese, Bread Bowl",Steel Cut Oatmeal with Strawberries & Pecans,Cinnamon Crunch Bagel,6.04037,11.52
"Cream of Chicken & Wild Rice Soup, Bread Bowl","Cream of Chicken & Wild Rice Soup, Bread Bowl",Triple Chocolate Cookie with Walnuts,6.04137,13.27
"Avocado, Egg White & Spinach on Sprouted Grain Bagel Flat","BBQ Chicken Mac & Cheese, Bread Bowl",Cherry Vanilla Bagel,6.05418,11.629999999999999
Cinnamon Swirl & Raisin Bagel,"Mac & Cheese, Bread Bowl","Turkey Sandwich on Whole Grain, Whole",6.05502,8.32
Kitchen Sink Cookie,Blueberry Bagel,"Bistro French Onion Soup, Bread Bowl",6.05637,9.120000000000001
Jalapeno Cheddar Bagel,"Frontega Chicken Panini on Sea Salt Focaccia, Whole","Broccoli Cheddar Soup, Bread Bowl",6.05775,19.17
"Bacon Mac & Cheese, Bread Bowl","Turkey Sandwich on Whole Grain, Whole",Sprouted Grain Bagel Flat,6.08305,8.030000000000001
French Toast Bagel,"Mac & Cheese, Bread Bowl",Signature Hot Chocolate,6.08761,14.52
"BBQ Chicken Mac & Cheese, Bread Bowl","Mediterranean Veggie Sandwich on Tomato Basil, Whole",Asiago Cheese Bagel,6.09718,16.869999999999997
Cranberry Walnut Bagel,"Frontega Chicken Panini on Sea Salt Focaccia, Whole","Vegetarian Creamy Tomato Soup, Bread Bowl",6.10071,15.170000000000002
Whole Grain Flatbread,"Broccoli Cheddar Soup, Bread Bowl","Broccoli Cheddar Soup, Bread Bowl",6.14064,14.27
Cobblestone,"Mac & Cheese, Bread Bowl",Everything Bagel,6.16571,9.73
"Vegetarian Creamy Tomato Soup, Bread Bowl","The Italian on Artisan Ciabatta, Whole",Vegan Lentil Quinoa Broth Bowl,6.17211,22.269999999999996
Sourdough Bread Bowl,"Vegetarian Creamy Tomato Soup, Bread Bowl",Pecan Braid,6.17839,9.97
"Low-Fat Chicken Noodle Soup, Bread Bowl",French Baguette,"Baja Mac & Cheese, Large",6.18255,16.270000000000003
"Frontega Chicken Panini on Sea Salt Focaccia, Whole","Vegetarian Creamy Tomato Soup, Bread Bowl",Soba Noodle Bowl with Edamame Blend,6.18605,21.17
