Item 1,Item 2,Item 3,Metric,Price
Grand Turkey Club Sandwich,"Sausage Gravy Biscuit, Double","Curly Fries, Medium",7.27266,12.07
Buttermilk Buffalo Chicken Sandwich,"Homestyle Fries, Medium","Ultimate Chocolate Shake, Large",7.28189,10.27
"Jamocha Handcrafted Shake, Large","Homestyle Fries, Small",Loaded Curly Fries,7.28541,5.869999999999999
"Curly Fries, Large","Orange Cream Shake, Medium",Prime-Cut Chicken Tenders (5),7.28682,9.370000000000001
Roast Beef Gyro,"Curly Fries, Large",Roast Turkey Ranch & Bacon Sandwich,7.29587,9.07
Mozzarella Sticks (6),"Jamocha Handcrafted Shake, Large",Arby-Q,7.29965,14.370000000000001
"Curly Fries, Large",Buttermilk Chicken Cordon Bleu Sandwich,"Curly Fries, Large",7.30297,8.969999999999999
"Jamocha Handcrafted Shake, Medium","Curly Fries, Medium",Loaded Curly Fries,7.3059,5.970000000000001
"Homestyle Fries, Large",Triple Chocolate Cookie,"Orange Cream Shake, Large",7.30677,5.77
French Toast Sticks,"Orange Cream Shake, Large",Buttermilk Chicken Cordon Bleu Sandwich,7.30841,11.27
"Curly Fries, Large",Loaded Curly Fries,Mozzarella Sticks (6),7.30846,9.07
Roast Beef Gyro,"Ultimate Chocolate Shake, Large","Homestyle Fries, Medium",7.31448,6.57
Buttermilk Chicken Bacon & Swiss Sandwich,"Sausage Gravy Biscuit, Double",Potato Cakes (3),7.31856,12.17
"Ultimate Chocolate Shake, Large",Potato Cakes (4),Bourbon BBQ Steak Sandwich,7.31874,10.17
Chopped Farmhouse Salad with Crispy Chicken,"Sausage Gravy Biscuit, Double","Homestyle Fries, Large",7.31932,12.77
Prime-Cut Chicken Tenders (5),"Curly Fries, Large","Jamocha Handcrafted Shake, Medium",7.32145,9.170000000000002
"Vanilla Handcrafted Shake, Medium","Sausage Gravy Biscuit, Double",Arby-Q,7.32803,15.27
Triple Chocolate Cookie,"Homestyle Fries, Large","Jamocha Handcrafted Shake, Large",7.33411,5.57
"Jamocha Handcrafted Shake, Large",Buttermilk Chicken Cordon Bleu Sandwich,French Toast Sticks,7.33575,11.07
Buttermilk Chicken Bacon & Swiss Sandwich,"Orange Cream Shake, Large",Cherry Turnover,7.34506,8.969999999999999
Roast Turkey Ranch & Bacon Wrap,"Sausage Gravy Biscuit, Double","Curly Fries, Small",7.34807,12.569999999999999
Roast Turkey Ranch & Bacon Sandwich,"Sausage Gravy Biscuit, Double",Kids Ham 'n Cheese Slider,7.35239,12.37
"Vanilla Handcrafted Shake, Large","Orange Cream Shake, Medium",Apple Turnover,7.35659,6.369999999999999
Potato Cakes (4),Buttermilk Crispy Chicken Sandwich,"Orange Cream Shake, Large",7.36908,8.37
Potato Cakes (4),Roast Turkey Ranch & Bacon Sandwich,Traditional Greek Gyro,7.36929,9.07
"Jamocha Handcrafted Shake, Large",Buttermilk Chicken Bacon & Swiss Sandwich,Cherry Turnover,7.3724,8.77
Bacon Biscuit,Bourbon BBQ Chicken Sandwich,"Sausage Gravy Biscuit, Double",7.37277,15.469999999999999
Ham & Swiss Melt,"Orange Cream Shake, Medium","Orange Cream Shake, Large",7.37773,5.77
"Homestyle Fries, Medium","Vanilla Handcrafted Shake, Large",Loaded Curly Fries,7.38073,6.369999999999999
"Ultimate Chocolate Shake, Snack","Ultimate Chocolate Shake, Large",Roast Turkey & Swiss Sandwich,7.38422,9.27
Loaded Italian,French Toast Sticks,"Ultimate Chocolate Shake, Large",7.38543,8.47
"Vanilla Handcrafted Shake, Large",Apple Turnover,"Jamocha Handcrafted Shake, Medium",7.39122,6.17
Buttermilk Crispy Chicken Sandwich,"Jamocha Handcrafted Shake, Large",Potato Cakes (4),7.39642,8.17
"Vanilla Handcrafted Shake, Small","Homestyle Fries, Large","Orange Cream Shake, Large",7.40182,6.07
"Jamocha Handcrafted Shake, Large",Ham & Swiss Melt,"Orange Cream Shake, Medium",7.40507,5.57
Gyro Loaded Curly Fries,Apple Turnover,"Orange Cream Shake, Medium",7.40526,6.37
Roast Turkey Ranch & Bacon Wrap,Apple Turnover,"Orange Cream Shake, Large",7.40705,9.67
"Jamocha Handcrafted Shake, Medium","Orange Cream Shake, Large",Ham & Swiss Melt,7.41236,5.57
Bourbon BBQ Chicken Sandwich,"Curly Fries, Medium","Ultimate Chocolate Shake, Medium",7.415,9.77
Potato Cakes (4),"Ultimate Chocolate Shake, Large",Classic French Dip & Swiss/Au Jus Sandwich,7.41622,9.67
"Ultimate Chocolate Shake, Large",Fire-Roasted Philly Sandwich,Cherry Turnover,7.41746,10.17
"Sausage Gravy Biscuit, Double",Loaded Curly Fries,Arby's Melt,7.42239,9.37
"Vanilla Handcrafted Shake, Medium",Steakhouse Onion Rings (5),"Orange Cream Shake, Large",7.42559,6.470000000000001
"Jamocha Handcrafted Shake, Large","Vanilla Handcrafted Shake, Small","Homestyle Fries, Large",7.42916,5.869999999999999
Gyro Loaded Curly Fries,"Homestyle Fries, Medium",Loaded Curly Fries,7.42941,6.369999999999999
"Jamocha Handcrafted Shake, Large",Roast Turkey Ranch & Bacon Wrap,Apple Turnover,7.43439,9.47
Fire-Roasted Philly Sandwich,Roast Turkey & Swiss Sandwich,"Curly Fries, Large",7.4364,12.17
Steakhouse Onion Rings (5),"Vanilla Handcrafted Shake, Large","Ultimate Chocolate Shake, Medium",7.43825,6.970000000000001
Sausage Biscuit,"Orange Cream Shake, Large","Curly Fries, Medium",7.43933,9.77
Ham & Swiss Melt,"Jamocha Handcrafted Shake, Medium","Jamocha Handcrafted Shake, Large",7.4397,5.37
