Item 1,Item 2,Item 3,Metric,Price
Vanilla Malt,"Super Nachos, Steak",Made From Scratch Biscuit (outside California),7.54833,9.97
"Hash Brown Nuggets, Large","Hash Brown Nuggets, Large",The 1/3 lb. Jalapeno Thickburger,7.54897,8.57
Big Hamburger,The 1/2 lb. Western Bacon Thickburger,"Natural-Cut Fries, Medium",7.55114,9.77
The 1/2 lb. Mile High Bacon Thickburger,Bean & Cheese Burrito,Fried Zucchini,7.55128,14.870000000000001
"Taco Salad, Ground Beef","Taco Salad, Ground Beef",Chips,7.55343,5.27
Biscuit 'N' Gravy (California only),"Super Nachos, Ground Beef",Charbroiled Chicken Club Sandwich,7.55661,12.77
Garden Side Salad (add dressing),"Super Nachos, Chicken",The 1/3 lb. Guacamole Bacon Thickburger,7.55699,10.27
Big Hamburger,"Super Nachos, Chicken","Chicken Taquitos, 5 Pieces",7.56339,8.77
"Super Nachos, Steak",Strawberry Malt,Made From Scratch Biscuit (outside California),7.56474,9.97
The 1/3 lb. Guacamole Bacon Thickburger,Beer-Battered Cod Fish Sandwich,Biscuit 'N' Gravy (outside California),7.5648,13.170000000000002
"Super Nachos, Ground Beef","Burrito Especial, Steak","Beef, Bean & Cheese Burrito",7.57012,9.370000000000001
The 1/2 lb. Guacamole Bacon Thickburger,Fried Zucchini,Biscuit 'N' Gravy (outside California),7.57329,16.07
Chocolate Malt,"Super Nachos, Steak",Made From Scratch Biscuit (outside California),7.5734,9.17
"Super Nachos, Chicken",Fried Zucchini,Vanilla Malt,7.57428,10.27
CrissCut Fries,Charbroiled Chicken Club Sandwich,"Super Nachos, Ground Beef",7.57854,10.77
The 1/2 lb. Western Bacon Thickburger,Biscuit 'N' Gravy (outside California),Biscuit 'N' Gravy (California only),7.58102,14.670000000000002
Strawberry Malt,"Super Nachos, Chicken",Fried Zucchini,7.5907,10.27
"Super Nachos, Chicken",Fried Zucchini,Chocolate Malt,7.59936,9.47
CrissCut Fries,The 1/2 lb. Western Bacon Thickburger,Biscuit 'N' Gravy (outside California),7.60295,12.670000000000002
"Taco Salad, Steak",Single All-Natural Burger,"Natural-Cut Fries, Medium",7.60466,8.87
Double Western Bacon Cheeseburger,Single All-Natural Burger,Side of Beans,7.60548,9.17
