Item 1,Item 2,Item 3,Metric,Price
Footlong Sunrise Subway Melt with Egg White,Footlong Veggie Patty,"6"" Turkey Breast",5.52818,16.75
"Footlong Bacon, Egg White & Cheese Flatbread",Footlong Veggie Patty,"6"" Turkey & Bacon",5.52848,17.0
Cheese Pizza,Footlong Crunchy Chicken Enchilada,Chicken Enchilada,5.52942,13.0
Footlong Veggie Delite,Footlong Veggie Patty,Footlong Steak & Cheese,5.53295,17.0
Footlong Veggie Delite,Footlong Turkey Breast,Footlong Sunrise Subway Melt Flatbread with Egg White,5.53861,14.5
Egg White Patty,Footlong Cold Cut Combo,Footlong Sea Salt & Pepper Fish,5.53951,13.5
Footlong Malibu Garden Vegan Patty,Footlong Egg White & Cheese Flatbread,Footlong Turkey Breast & Black Forest Ham,5.55198,15.5
"6"" Falafel",Footlong Malibu Garden Vegan Patty,Footlong Egg White & Cheese,5.55573,18.0
Footlong Sunrise Subway Melt Flatbread with Egg White,Italian White Bread,"Footlong Bacon, Egg White & Cheese",5.55663,13.0
Footlong Malibu Garden Vegan Patty,Footlong Black Forest Ham,Footlong Egg White & Cheese,5.56215,18.0
"Footlong Black Forest Ham, Egg White & Cheese","Footlong Steak, Egg White & Cheese Flatbread",Footlong Veggie Delite,5.56436,12.0
Footlong Sunrise Subway Melt with Egg White,Italian White Bread,"Footlong Bacon, Egg White & Cheese Flatbread",5.56685,14.25
Footlong Veggie Patty,Footlong Sunrise Subway Melt Flatbread with Egg White,Jalapeno Cheese/Cheddar Bread,5.56972,12.0
"Footlong Black Forest Ham, Egg White & Cheese Flatbread","Footlong Steak, Egg White & Cheese",Footlong Veggie Delite,5.57248,14.5
Footlong Sunrise Subway Melt with Egg White,"6"" Turkey Breast & Black Forest Ham",Footlong Veggie Patty,5.57456,16.75
Footlong Breakfast B.M.T with Egg White,Chicken Enchilada,Footlong Sunrise Subway Melt with Egg White,5.57633,13.75
Footlong Sea Salt & Pepper Fish,Footlong Veggie Delite,Gluten-Free Bread,5.5832,12.5
Footlong Veggie Patty,Footlong Subway Seafood SensationTM,"6"" Malibu Garden Vegan Patty",5.58386,18.0
Footlong Turkey Breast & Black Forest Ham,Footlong Sunrise Subway Melt Flatbread with Egg White,Footlong Veggie Delite,5.58499,14.5
Footlong Turkey & Bacon Guacamole,Footlong Veggie Patty,Gluten-Free Bread,5.58883,19.5
Kids Black Forest Ham,Footlong Falafel,Footlong Egg White & Cheese,5.59162,17.5
Egg White Patty,Footlong Breakfast B.M.T Flatbread with Egg White,Footlong Breakfast B.M.T Flatbread with Egg White,5.59163,13.0
Italian Herbs & Cheese Bread,Footlong Veggie Patty,Footlong Sunrise Subway Melt Flatbread with Egg White,5.59749,15.5
"6"" B.L.T.",Footlong Falafel,Footlong Veggie Delite,5.59789,16.5
"Footlong Sausage, Egg White & Cheese",Footlong Sunrise Subway Melt with Egg White,Chicken Enchilada,5.60322,15.5
Footlong Breakfast B.M.T Flatbread with Egg White,Footlong Meatball Marinara,Egg White Patty,5.60841,15.5
Footlong Egg White & Cheese,Footlong Malibu Garden Vegan Patty,"6"" Crunchy Chicken Enchilada",5.61081,16.75
Footlong Sunrise Subway Melt with Egg White,Egg White Patty,Footlong Mediterranean Chicken,5.61493,16.75
Footlong Sunrise Subway Melt Flatbread with Egg White,Veggie Patty,"Footlong Bacon, Egg White & Cheese Flatbread",5.61517,13.0
"Footlong Steak, Egg White & Cheese Flatbread","6"" Steak, Egg White & Cheese",Footlong Veggie Patty,5.61527,15.5
"6"" Malibu Garden Vegan Patty",Footlong Applewood Pulled Pork,Footlong Veggie Patty,5.61622,13.5
"Footlong Sausage, Egg White & Cheese Flatbread",Egg White Patty,Footlong Breakfast B.M.T Flatbread with Egg White,5.61797,13.0
Footlong Sunrise Subway Melt Flatbread with Egg White,Footlong Veggie Patty,Monterey Cheddar Bread,5.62239,12.0
Footlong Meatball Marinara,Egg White Patty,Footlong Meatball Marinara,5.62518,18.0
"Footlong Bacon, Egg White & Cheese",Egg White Patty,Footlong Italian Hero,5.62816,15.5
Footlong Veggie Delite,"Footlong Bacon, Egg White & Cheese",Cheese Pizza,5.629,12.0
"Footlong Sausage, Egg White & Cheese Flatbread",Egg White Patty,Footlong Meatball Marinara,5.63474,15.5
Egg White Patty,Footlong Corned Beef Reuben,Footlong Sunrise Subway Melt with Egg White,5.6356,16.75
Chipotle Southwest Steak on Tomato Basil Wrap,Egg White Patty,Footlong Falafel,5.64005,14.0
Footlong Malibu Garden Vegan Patty,Footlong Sunrise Subway Melt with Egg White,Spinach Wrap,5.64283,16.75
"Footlong Sausage, Egg White & Cheese Flatbread",Egg White Patty,"Footlong Sausage, Egg White & Cheese Flatbread",5.6443,13.0
Egg White Patty,Footlong Tuna,Footlong Chicken Parmesan,5.64574,19.0
Footlong Egg White & Cheese,Footlong Crunchy Chicken Enchilada,Kids Black Forest Ham,5.64671,16.75
"Footlong Steak, Egg White & Cheese Flatbread",Egg White Patty,Footlong BBQ Rib Melt,5.65113,15.0
Footlong Crunchy Chicken Enchilada,"6"" B.L.T.",Footlong Veggie Delite,5.65297,15.75
Footlong Veggie Patty,"6"" Malibu Garden Vegan Patty",Bacon Pizza,5.65312,13.5
Chicken Enchilada,Footlong Veggie Patty,Footlong Italian Hero,5.65791,16.75
Footlong B.L.T.,Chicken Enchilada,Footlong Mega Melt Flatbread with Egg White,5.66249,14.25
Footlong Pizza Sub Melt,Egg White Patty,Footlong Sunrise Subway Melt with Egg White,5.6637,16.75
Footlong Malibu Garden Vegan Patty,Tomato Basil Wrap,Footlong Sunrise Subway Melt with Egg White,5.66505,13.25
Footlong Falafel,Harvest Bread,Cinnamon Rolls,5.66743,17.5
Sourdough Bread,Cinnamon Rolls,Footlong Sea Salt & Pepper Fish,5.66881,13.5
Cinnamon Rolls,Footlong Falafel,9-Grain Honey Oat Bread,5.66893,17.5
Footlong Egg White & Cheese,Footlong Veggie Patty,"6"" Mega Melt Flatbread with Egg White",5.67189,15.5
Footlong Sunrise Subway Melt Flatbread with Egg White,"Footlong Bacon, Egg White & Cheese",Falafel,5.67784,9.5
"Footlong Pastrami Melt, Big Hot",Footlong B.L.T.,Egg White Patty,5.6819,17.5
"6"" Malibu Garden Vegan Patty","Footlong Steak, Egg White & Cheese","Footlong Bacon, Egg White & Cheese",5.68616,15.5
"6"" Malibu Garden Vegan Patty",Footlong Sunrise Subway Melt with Egg White,Footlong Egg White & Cheese Flatbread,5.68668,14.25
Habanero Wrap,Footlong Sunrise Subway Melt with Egg White,Footlong Malibu Garden Vegan Patty,5.68727,11.85
Falafel,Footlong Sunrise Subway Melt with Egg White,"Footlong Bacon, Egg White & Cheese Flatbread",5.68806,10.75
Footlong Veggie Patty,"Footlong Steak, Egg White & Cheese","6"" Turkey & Bacon Avocado",5.68988,19.5
Footlong Egg White & Cheese Flatbread,Footlong Sunrise Subway Melt Flatbread with Egg White,"6"" Egg White & Cheese Flatbread",5.69113,10.5
"Footlong Bacon, Egg White & Cheese Flatbread","Footlong Bacon, Egg White & Cheese Flatbread","6"" Turkey Breast",5.69274,13.0
Footlong Turkey & Bacon,"Footlong Steak, Egg White & Cheese Flatbread",Footlong Veggie Delite,5.69399,16.0
Chipotle Southwest Steak on Tomato Basil Wrap,Egg White Patty,Footlong Crunchy Chicken Enchilada,5.69514,13.25
Footlong Veggie Patty,Footlong Breakfast B.M.T with Egg White,"6"" Turkey Breast",5.69544,16.25
"6"" Veggie Delite",Footlong Falafel,Cinnamon Rolls,5.69792,16.5
"6"" Egg White & Cheese Flatbread","Footlong Steak, Egg White & Cheese","Footlong Bacon, Egg White & Cheese Flatbread",5.70083,13.0
Footlong Turkey & Bacon Avocado,"6"" B.L.T.",Footlong Veggie Patty,5.70192,19.5
"6"" Veggie Patty",Footlong Sea Salt & Pepper Fish,"6"" Steak, Egg White & Cheese Flatbread",5.7051,11.0
"Footlong Bacon, Egg White & Cheese","6"" Black Forest Ham, Egg White & Cheese","Footlong Bacon, Egg White & Cheese",5.7066,10.5
Pepperoni Pizza,Footlong Veggie Patty,"6"" Malibu Garden Vegan Patty",5.70703,15.5
Footlong B.L.T.,Footlong Turkey Breast,Footlong Egg White & Cheese Flatbread,5.71065,15.5
Footlong Malibu Garden Vegan Patty,"Footlong Bacon, Egg White & Cheese Flatbread","6"" B.L.T.",5.71604,15.5
Footlong Veggie Patty,"Footlong Sausage, Egg White & Cheese","6"" Turkey Breast",5.72234,18.0
Footlong Crunchy Chicken Enchilada,Cinnamon Rolls,Harvest Bread,5.72251,16.75
Footlong Crunchy Chicken Enchilada,Cinnamon Rolls,9-Grain Honey Oat Bread,5.72401,16.75
Footlong Veggie Delite,Footlong Sunrise Subway Melt with Egg White,"6"" Sea Salt & Pepper Fish",5.72405,14.5
Footlong Turkey Italiano Melt,Egg White Patty,Footlong Chicken Parmesan,5.73196,17.75
"Footlong Bacon, Egg White & Cheese Flatbread",Footlong Breakfast B.M.T with Egg White,Italian White Bread,5.73411,13.75
Rye Bread,Footlong Sea Salt & Pepper Fish,Cinnamon Rolls,5.73534,13.5
Footlong Sunrise Subway Melt Flatbread with Egg White,"Footlong Steak, Egg White & Cheese Flatbread",Italian White Bread,5.73718,13.0
Footlong Turkey & Bacon Guacamole,"Footlong Bacon, Egg White & Cheese",Spinach Wrap,5.73738,17.0
"Footlong Bacon, Egg White & Cheese Flatbread","Footlong Bacon, Egg White & Cheese Flatbread","6"" Turkey Breast & Black Forest Ham",5.73912,13.0
Footlong Breakfast B.M.T with Egg White,"6"" Turkey Breast & Black Forest Ham",Footlong Veggie Patty,5.74183,16.25
Chicken Enchilada,Footlong Breakfast B.M.T with Egg White,Footlong Breakfast B.M.T with Egg White,5.74359,13.25
Footlong Chicken Caesar Melt Rotisserie Style,Egg White Patty,Footlong Turkey & Bacon Guacamole,5.74703,18.75
Footlong Mega Melt with Egg White,Footlong Italian B.M.T.,Egg White Patty,5.7503,17.25
"6"" Black Forest Ham, Egg White & Cheese",Footlong Sunrise Subway Melt Flatbread with Egg White,Footlong Egg White & Cheese,5.75104,13.0
Footlong Veggie Delite,Meatball Pizza,Footlong Egg White & Cheese Flatbread,5.75287,14.5
"6"" Veggie Delite",Footlong Crunchy Chicken Enchilada,Cinnamon Rolls,5.753,15.75
"6"" Malibu Garden Vegan Patty",Footlong Chicken Parmesan,Footlong Egg White & Cheese,5.75383,19.5
Footlong B.L.T.,Footlong Turkey Breast & Black Forest Ham,Footlong Egg White & Cheese Flatbread,5.75704,15.5
Footlong Subway Melt,Footlong Veggie Delite,"Footlong Black Forest Ham, Egg White & Cheese",5.7578,14.5
Egg White Patty,Footlong Spicy Italian,Footlong Chicken Parmesan,5.7583,19.5
Tomato Basil Wrap,Footlong Turkey & Bacon Guacamole,"Footlong Bacon, Egg White & Cheese",5.75961,13.5
Veggie Delite Salad,Footlong Sea Salt & Pepper Fish,"Footlong Black Forest Ham, Egg White & Cheese Flatbread",5.75974,10.0
Footlong B.L.T.,Footlong Egg White & Cheese,"6"" Falafel",5.76078,18.0
"Footlong Sausage, Egg White & Cheese","Footlong Bacon, Egg White & Cheese Flatbread",Italian White Bread,5.76101,15.5
Footlong Tuna,Footlong Breakfast B.M.T Flatbread with Egg White,Egg White Patty,5.76497,15.0
Footlong Egg White & Cheese,Footlong Black Forest Ham,Footlong B.L.T.,5.7672,18.0
Footlong Veggie Patty,"Footlong Sausage, Egg White & Cheese","6"" Turkey Breast & Black Forest Ham",5.76872,18.0
Italian White Bread,"6"" Sea Salt & Pepper Fish",Footlong Sea Salt & Pepper Fish,5.7697,12.25
"Footlong Sausage, Egg White & Cheese",Chicken Enchilada,Footlong Breakfast B.M.T with Egg White,5.77049,15.0
"Footlong Bacon, Egg White & Cheese",Cheese Flatizza,Footlong Veggie Patty,5.77433,13.0
"6"" Subway Seafood SensationTM",Footlong Veggie Patty,"Footlong Steak, Egg White & Cheese",5.77687,18.0
Cinnamon Rolls,Cinnamon Rolls,Footlong Veggie Patty,5.77773,18.0
Footlong Veggie Delite,Footlong Pepperoni,Footlong Malibu Garden Vegan Patty,5.77828,16.5
