Item 1,Item 2,Item 3,Metric,Price
Pancake Platter with Sausage,Biscuit,Pancake Platter with Bacon Whatameal,6.40605,8.870000000000001
Honey BBQ Chicken Strip Sandwich Whatameal with Lower Calorie Sides,Pancake Platter with Bacon Whatameal,Whole Grain Bun,6.41292,14.42
Kids Justaburger,Whataburger Whatameal,Small French Fry,6.42035,10.87
Pancake Platter with Sausage,Whataburger Jr.,Whataburger Jr. Whatameal,6.42096,10.02
"Onion Rings, Medium","French Fries, Small",Whataburger Whatameal,6.42872,9.219999999999999
Justaburger Kid's Meal with Lower Calorie Sides,Whataburger Jr. Whatameal,Whataburger Whatameal with Lower Calorie Sides,6.44346,15.32
Kids Justaburger,Justaburger Kid's Meal,Pancake Platter with Sausage,6.44734,9.870000000000001
Whataburger Whatameal,Hot Apple Pie,Whataburger Jr.,6.44749,8.77
Biscuit,Biscuit,Whataburger Whatameal,6.45108,7.57
Pancake Platter with Bacon,"Onion Rings, Large",Whatachick'n Bites 4 Piece Kid's Meal,6.45515,9.670000000000002
Whole Grain Bun,Grilled Cheese Kid's Meal,Jalapeno Cheddar Biscuit and Gravy Whatameal,6.45516,8.82
"Onion Rings, Medium",Justaburger Kid's Meal,Pancake Platter with Sausage,6.45571,8.77
Double Meat Whataburger Jr. Whatameal,Justaburger Kid's Meal with Lower Calorie Sides,Justaburger Kid's Meal with Lower Calorie Sides,6.45775,14.27
Large Onion Rings,Grilled Cheese Kid's Meal,Biscuit and Jelly,6.46046,8.57
"Whatachick'n Bites, 6 Piece Whatameal",Small French Fry,Biscuit and Jelly,6.46583,8.469999999999999
Honey BBQ Chicken Strip Sandwich Jr. Whatameal,Whataburger Jr.,Small French Fry,6.47489,11.67
Honey Butter Chicken Biscuit Whatameal,Whole Grain Bun,Pancake Platter with Sausage Whatameal,6.47616,9.620000000000001
Pancake Platter with Bacon Whatameal,Pancake Platter with Bacon,Double Meat Whataburger Jr. Whatameal with Lower Calorie Sides,6.47633,11.370000000000001
"Whatachick'n Strips, 2 Piece",Texas Toast (2 Slices),Honey BBQ Chicken Strip Sandwich Jr. Whatameal,6.47761,11.58
Whataburger Jr.,Biscuit and Jelly,Whatachick'n Sandwich Whatameal,6.48382,11.22
Pancakes,Whatacatch Sandwich,Justaburger Kid's Meal,6.49122,9.37
Large Onion Rings,Pancake Platter with Sausage,Large French Fry,6.49124,7.970000000000001
Justaburger Kid's Meal with Lower Calorie Sides,Pancake Platter with Sausage Whatameal,"Onion Rings, Large",6.49283,12.370000000000001
Grilled Cheese Kid's Meal with Lower Calorie Sides,Pancake Platter with Bacon,Large Onion Rings,6.50417,12.370000000000001
Whataburger,Whataburger Jr. Whatameal,"French Fries, Large",6.50676,9.52
Whatachick'n Sandwich Whatameal,Whole Grain Bun,Double Meat Whataburger Jr.,6.5134,11.97
Biscuit with Sausage,Pancakes,Pancake Platter with Bacon Whatameal,6.51755,9.77
Pancakes,Chop House Cheddar Burger Whatameal with Lower Calorie Sides,Whole Grain Bun,6.51792,12.620000000000001
Medium Onion Rings,Grilled Cheese Kid's Meal with Lower Calorie Sides,Pancake Platter with Bacon Whatameal,6.52835,13.27
Justaburger Kid's Meal,Pancake Platter with Bacon,Biscuit and Gravy,6.53146,8.719999999999999
Justaburger Kid's Meal with Lower Calorie Sides,Whataburger Jr.,Chicken Fajita Taco Whatameal,6.53437,14.02
Honey BBQ Chicken Strip Sandwich Jr. Whatameal,Hot Apple Pie,Hot Lemon Pie,6.53456,9.37
Whataburger Jr. Whatameal,Whatachick'n Bites 4 Piece Kid's Meal,Hot Apple Pie,6.53839,9.12
Honey BBQ Chicken Strip Sandwich Jr. Whatameal,Biscuit,Kids Justaburger,6.53867,11.569999999999999
Avocado Bacon Burger,Double Meat Whataburger Jr. Whatameal,Texas Toast (2 Slices),6.54097,4.24
Whataburger Jr. Whatameal,Grilled Cheese Kid's Meal with Lower Calorie Sides,Medium French Fry,6.54333,12.92
Biscuit,"Onion Rings, Medium",Honey BBQ Chicken Strip Sandwich Jr. Whatameal,6.54704,10.469999999999999
Large Onion Rings,Justaburger Kid's Meal with Lower Calorie Sides,Whatachick'n Bites 4 Piece Kid's Meal,6.54734,11.77
Biscuit and Jelly,Green Chile Double Jr. Whatameal,Kids Justaburger,6.54788,12.72
"Whataburger Patty Melt, Single",Sweet & Spicy Bacon Burger Jr. Whatameal,Texas Toast (2 Slices),6.54881,11.03
"French Fries, Large",Large French Fry,Whatachick'n Bites 4 Piece Kid's Meal,6.55106,7.97
Whatachick'n Sandwich Whatameal,Hot Lemon Pie,Hot Lemon Pie,6.55446,8.22
"Onion Rings, Medium",Green Chile Double Jr. Whatameal,Biscuit and Jelly,6.55625,11.620000000000001
Bacon & Cheese Whataburger,Pancake Platter with Sausage Whatameal,Whole Grain Bun,6.56354,11.82
Large White Bun,Honey Butter Chicken Biscuit,Sweet & Spicy Bacon Burger Jr. Whatameal,6.56474,9.67
Grilled Chicken Sandwich Whatameal,Medium French Fry,Hot Lemon Pie,6.56515,9.32
Grilled Chicken Melt Whatameal,Biscuit and Jelly,"Onion Rings, Large",6.56626,11.670000000000002
"Whatachick'n Bites, 6 Piece Whatameal",Hot Lemon Pie,Biscuit,6.56771,5.57
"Whatachick'n Bites, 6 Piece Whatameal",Kids Justaburger,Whataburger Jr.,6.56823,8.969999999999999
Honey BBQ Chicken Strip Sandwich Jr. Whatameal with Lower Calorie Sides,Whole Grain Bun,Chicken Fajita Taco Whatameal,6.56935,16.27
Pancake Platter with Sausage,Hot Lemon Pie,Pancake Platter with Sausage,6.56969,7.970000000000001
"Whatachick'n Bites, 6 Piece Whatameal","Onion Rings, Medium",Whataburger Jr.,6.5766,7.869999999999999
Pancake Platter with Bacon Whatameal,Jalapeno Cheddar Biscuit and Gravy Whatameal,"French Fries, Medium",6.58059,9.02
