Item 1,Item 2,Item 3,Metric,Price
Sausage Biscuit,Oreo Shake,"Chicken Nuggets, 20 Piece",8.0808,7.68
Froot Loops Shake,Pancake and Sausage Platter,Crispy Chicken Sandwich,8.08677,9.68
"Chicken Nuggets, 20 Piece",Grilled Chicken Sandwich,"Hash Browns, Large",8.09465,10.97
Rodeo King Sandwich,Value Menu Crispy Chicken Jr.,Kids PB&J Jamwich,8.09693,8.98
Bacon & Cheese Whopper Sandwich,Double Whopper Sandwich,Strawberry Banana Smoothie,8.09741,13.97
Double Whopper Sandwich with Cheese,Hershey's Chocolate Sundae,Chocolate Oreo Shake,8.10044,8.98
Rodeo Crispy Chicken Sandwich,Extra Long Cheeseburger,"Onion Rings, Medium",8.10456,4.68
"Chicken Nuggets, 20 Piece","Chicken Nuggets, 20 Piece",Hershey's Chocolate Sundae,8.11109,11.67
Rodeo King Sandwich,"Onion Rings, Medium",White Chocolate Macadamia Nut Cookies,8.12073,8.18
Oreo Shake,Crispy Chicken Sandwich,Pancake and Sausage Platter,8.12092,10.37
"Hash Browns, Large",Extra Long Cheeseburger,Spicy Crispy Chicken Sandwich,8.13272,4.38
Crispy Chicken Sandwich,"French Fries, Large (Salted)",Double Whopper Sandwich,8.13485,12.670000000000002
Triple Whopper Sandwich with Cheese,"Onion Rings, Medium",Pie Made with Twix,8.13623,12.57
Spicy Crispy Chicken Sandwich,"French Fries, Small (Salted)",Double Whopper Sandwich with Cheese,8.13631,8.08
"Chicken Nuggets, 20 Piece",BBQ Bacon Whopper Sandwich,Dutch Apple Pie,8.14195,10.47
"Onion Rings, Large","Club Salad with Crispy Chicken, No Dressing",Rodeo Crispy Chicken Sandwich,8.14744,4.390000000000001
Triple Whopper Sandwich with Cheese,Hershey's Chocolate Sundae,"Hash Browns, Medium",8.14795,9.77
Spicy Crispy Chicken Sandwich,Froot Loops Shake,Single Quarter Pound King Sandwich,8.17096,5.99
White Chocolate Macadamia Nut Cookies,Spicy Crispy Chicken Sandwich,Rodeo Crispy Chicken Sandwich,8.20289,4.0
Spicy Crispy Chicken Sandwich,Single Quarter Pound King Sandwich,Oreo Shake,8.20511,6.68
"French Toast Sticks, 5 Piece",BK Ultimate Breakfast Platter,BK Veggie Burger,8.20759,10.370000000000001
BK Ultimate Breakfast Platter,"French Fries, Medium (Salted)",BK Veggie Burger,8.20941,10.370000000000001
"Club Salad with Crispy Chicken, No Dressing",Bacon King Sandwich,Strawberry Banana Smoothie,8.21319,8.48
BBQ Bacon Whopper Sandwich,"Hash Browns, Medium",Spicy Crispy Chicken Sandwich,8.21381,6.68
Double Whopper Sandwich with Cheese,Spicy Crispy Chicken Sandwich,"Onion Rings, Small",8.23614,8.08
Value Menu Bacon Cheeseburger,Froot Loops Shake,Rodeo Crispy Chicken Sandwich,8.24137,3.49
Double Quarter Pound King Sandwich,Bacon & Cheese Whopper Sandwich,Strawberry Banana Smoothie,8.24863,13.17
Rodeo King Sandwich,"French Fries, Small (Salted)","Chicken Nuggets, 10 Piece",8.25384,8.77
Crispy Chicken Sandwich,Original Chicken Sandwich,Crispy Chicken Sandwich,8.26417,14.07
"French Fries, Large (Salted)",Sausage Biscuit,Bacon King Sandwich,8.26919,7.380000000000001
Rodeo Crispy Chicken Sandwich,Value Menu Bacon Cheeseburger,Oreo Shake,8.27552,4.18
Quaker Oatmeal Maple Flavor,Rodeo King Sandwich,Single Quarter Pound King Sandwich,8.27672,9.97
"Onion Rings, Medium",Bacon & Cheese Crispy Chicken Sandwich,Bacon & Cheese Whopper Sandwich,8.28407,12.370000000000001
Double Quarter Pound King Sandwich,Crispy Chicken Sandwich,"French Fries, Large (Salted)",8.28607,11.870000000000001
Strawberry Banana Smoothie,"Club Salad with Grilled Chicken, No Dressing",Rodeo King Sandwich,8.32757,13.67
Double Whopper Sandwich with Cheese,Big Fish Sandwich,Big Fish Sandwich,8.33263,13.270000000000001
Extra Long Cheeseburger,BK Veggie Burger,Double Whopper Sandwich with Cheese,8.34131,10.07
Grilled Chicken Sandwich,Cheesy Tots,Triple Whopper Sandwich with Cheese,8.34594,11.48
"French Fries, Large (Salted)",Dutch Apple Pie,BK Ultimate Breakfast Platter,8.3465,8.77
"Hash Browns, Medium","Club Salad with Crispy Chicken, No Dressing",Rodeo Crispy Chicken Sandwich,8.34969,3.69
Grilled Chicken Sandwich,Hershey's Chocolate Sundae,Rodeo King Sandwich,8.35203,9.77
Rodeo King Sandwich,"Chicken Nuggets, 10 Piece","Onion Rings, Small",8.35368,8.77
