Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
Brown Steamed Rice,,4.0,86.0,9.0,1.0,4.0,15.0,0.0,420.0,1.0,0.0,1.3650793650793651,0.0,0.24737167594310452,0.02976190476190476,0.8571428571428572,2.10,0.2380952380952381
Chow Fun,,9.0,73.0,9.0,6.0,1.0,1110.0,0.0,410.0,1.0,0.0,1.1869918699186992,0.0,0.5701615457713018,2.25609756097561,0.8780487804878048,2.10,0.24390243902439024
Chow Mein,266.0,20.0,80.0,13.0,9.0,6.0,860.0,0.0,510.0,3.5,0.0,1.0457516339869282,0.0,1.0185892538833714,1.4052287581699348,1.0196078431372548,2.10,0.6862745098039216
Fried Rice,264.0,16.0,85.0,11.0,3.0,1.0,850.0,120.0,520.0,3.0,0.0,1.0897435897435899,1.5384615384615385,0.7992007992007992,1.3621794871794872,0.8461538461538463,1.80,0.576923076923077
"Mixed Vegetables, Side",,0.5,16.0,4.0,5.0,5.0,540.0,0.0,80.0,0.0,0.0,1.3333333333333335,0.0,0.16233766233766234,5.625,2.0,9.70,0.0
White Steamed Rice,,0.0,87.0,7.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,1.5263157894736843,0.0,0.0,0.0,0.7368421052631579,2.10,0.0
Country Style Bean Curd,,12.0,14.0,7.0,8.0,2.0,950.0,0.0,190.0,1.5,0.0,0.49122807017543857,0.0,1.6404647983595353,4.166666666666667,1.4736842105263157,2.10,0.7894736842105263
Eggplant Tofu,173.0,24.0,23.0,7.0,17.0,3.0,520.0,0.0,340.0,3.5,0.0,0.45098039215686275,0.0,1.8334606569900687,1.2745098039215685,0.8235294117647058,0.75,1.0294117647058822
Hot Szechuan Tofu,,8.0,10.0,6.0,5.0,2.0,580.0,0.0,140.0,1.0,0.0,0.47619047619047616,0.0,1.484230055658627,3.452380952380953,1.7142857142857144,2.10,0.7142857142857143
Asian Chicken,,13.0,14.0,41.0,10.0,3.0,630.0,195.0,340.0,3.5,0.0,0.27450980392156865,3.8235294117647056,0.9931245225362874,1.5441176470588236,4.823529411764706,9.70,1.0294117647058822
Black Pepper Chicken,173.0,19.0,15.0,13.0,7.0,1.0,1130.0,55.0,280.0,3.5,0.0,0.35714285714285715,1.3095238095238095,1.7625231910946195,3.363095238095238,1.8571428571428572,1.80,1.25
Grilled Asian Chicken,,13.0,8.0,36.0,8.0,0.0,530.0,185.0,300.0,4.0,0.0,0.17777777777777778,4.111111111111112,1.1255411255411256,1.4722222222222223,4.8,2.10,1.3333333333333335
Grilled Teriyaki Chicken,,13.0,8.0,36.0,8.0,0.0,530.0,185.0,300.0,4.0,0.0,0.17777777777777778,4.111111111111112,1.1255411255411256,1.4722222222222223,4.8,2.10,1.3333333333333335
Kung Pao Chicken,164.0,19.0,14.0,16.0,6.0,2.0,970.0,55.0,290.0,3.5,0.0,0.3218390804597701,1.264367816091954,1.7017465293327363,2.78735632183908,2.206896551724138,9.70,1.206896551724138
Mushroom Chicken,167.0,14.0,11.0,12.0,4.0,1.0,840.0,50.0,220.0,2.5,0.0,0.33333333333333337,1.5151515151515151,1.652892561983471,3.181818181818182,2.1818181818181817,9.70,1.1363636363636365
