Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
Backyard BBQ Chicken - Large Original Stuffed Crust® Slice,146.4,13.0,41.0,16.0,7.0,2.0,670.0,45.0,340.0,6.0,0.0,0.803921568627451,0.8823529411764707,0.9931245225362874,1.6421568627450982,1.8823529411764706,18.49,1.7647058823529411
Buffalo Chicken - Large Original Stuffed Crust® Slice,144.7,11.0,39.0,15.0,2.0,2.0,870.0,40.0,310.0,6.0,0.0,0.8387096774193548,0.8602150537634409,0.9216589861751152,2.338709677419355,1.935483870967742,18.49,1.935483870967742
Cheese - Large Original Stuffed Crust® Slice,138.7,13.0,35.0,14.0,2.0,3.0,660.0,35.0,310.0,7.0,0.0,0.7526881720430108,0.7526881720430108,1.0892333472978635,1.7741935483870968,1.8064516129032258,17.49,2.258064516129032
Chicken-Bacon Parmesan - Large Original Stuffed Crust® Slice,154.9,16.0,34.0,17.0,2.0,2.0,700.0,45.0,350.0,7.0,0.0,0.6476190476190476,0.8571428571428571,1.1873840445269017,1.6666666666666667,1.9428571428571428,18.49,2.0
Hawaiian Chicken - Large Original Stuffed Crust® Slice,161.9,11.0,37.0,16.0,3.0,2.0,750.0,40.0,310.0,6.0,0.0,0.7956989247311829,0.8602150537634409,0.9216589861751152,2.0161290322580645,2.064516129032258,18.49,1.935483870967742
Meat Lover's® - Large Original Stuffed Crust® Slice,171.7,24.0,36.0,19.0,2.0,2.0,1010.0,60.0,430.0,10.0,0.0,0.5581395348837209,0.9302325581395349,1.4497130776200544,1.9573643410852715,1.7674418604651163,17.49,2.3255813953488373
Pepperoni - Large Original Stuffed Crust® Slice,139.7,16.0,35.0,15.0,2.0,2.0,730.0,45.0,340.0,7.0,0.0,0.6862745098039216,0.8823529411764707,1.2223071046600458,1.7892156862745099,1.7647058823529413,17.49,2.0588235294117645
Pepperoni Lover's® - Large Original Stuffed Crust®; Slice,154.4,20.0,35.0,18.0,2.0,3.0,850.0,55.0,390.0,9.0,0.5,0.5982905982905983,0.9401709401709402,1.332001332001332,1.8162393162393162,1.8461538461538463,17.49,2.307692307692308
Supreme - Large Original Stuffed Crust® Slice,166.4,18.0,36.0,16.0,2.0,3.0,770.0,45.0,370.0,8.0,0.0,0.6486486486486487,0.8108108108108109,1.2636012636012637,1.7342342342342343,1.7297297297297298,17.49,2.1621621621621623
Ultimate Cheese Lover's® - Large Original Stuffed Crust® Slice,137.6,16.0,34.0,15.0,2.0,2.0,660.0,40.0,340.0,8.0,0.0,0.6666666666666667,0.7843137254901961,1.2223071046600458,1.6176470588235294,1.7647058823529413,17.49,2.3529411764705883
