Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
Three Cheese Steak Sandwich,255.0,36.0,44.0,42.0,7.0,2.0,1750.0,115.0,650.0,15.0,1.0,0.4512820512820513,1.1794871794871795,1.4385614385614387,2.243589743589744,2.5846153846153848,5.59,2.307692307692308
Grand Turkey Club Sandwich,233.0,24.0,37.0,30.0,9.0,2.0,1610.0,65.0,480.0,7.0,0.0,0.513888888888889,0.9027777777777778,1.2987012987012987,2.795138888888889,2.5,4.49,1.4583333333333333
Roast Turkey & Swiss Sandwich,326.0,28.0,79.0,38.0,15.0,5.0,1930.0,65.0,710.0,7.0,0.0,0.7417840375586855,0.6103286384976526,1.0243277848911652,2.2652582159624415,2.140845070422535,4.99,0.9859154929577465
Roast Turkey & Swiss Wrap,261.0,27.0,39.0,30.0,6.0,4.0,1640.0,65.0,520.0,9.0,0.0,0.5,0.8333333333333334,1.3486513486513487,2.628205128205128,2.307692307692308,4.99,1.7307692307692308
Roast Turkey Ranch & Bacon Sandwich,344.0,34.0,79.0,45.0,16.0,5.0,2420.0,80.0,800.0,10.0,0.5,0.6583333333333334,0.6666666666666667,1.103896103896104,2.5208333333333335,2.25,5.29,1.25
Roast Turkey Ranch & Bacon Wrap,279.0,34.0,39.0,37.0,6.0,4.0,2130.0,85.0,620.0,11.0,0.5,0.4193548387096774,0.9139784946236559,1.42438206954336,2.862903225806452,2.3870967741935485,5.29,1.7741935483870968
Buttermilk Buffalo Chicken Sandwich,245.0,26.0,52.0,28.0,6.0,4.0,2050.0,65.0,550.0,5.0,0.0,0.6303030303030304,0.7878787878787878,1.2278630460448643,3.106060606060606,2.0363636363636366,5.29,0.9090909090909091
Buttermilk Chicken Bacon & Swiss Sandwich,289.0,33.0,55.0,38.0,9.0,4.0,1700.0,95.0,660.0,10.0,0.0,0.5555555555555556,0.9595959595959597,1.2987012987012987,2.1464646464646466,2.303030303030303,4.59,1.5151515151515151
Buttermilk Chicken Cordon Bleu Sandwich,264.0,36.0,52.0,41.0,7.0,3.0,1940.0,115.0,700.0,10.0,0.0,0.49523809523809526,1.0952380952380953,1.3358070500927643,2.3095238095238098,2.342857142857143,4.59,1.4285714285714286
Buttermilk Crispy Chicken Sandwich,257.0,27.0,52.0,28.0,6.0,4.0,1420.0,70.0,560.0,5.0,0.0,0.6190476190476191,0.8333333333333334,1.2523191094619666,2.113095238095238,2.0,3.99,0.8928571428571428
Prime-Cut Chicken Tenders (3),131.0,17.0,28.0,23.0,0.0,2.0,950.0,45.0,360.0,2.5,0.0,0.5185185185185186,0.8333333333333334,1.2265512265512266,2.199074074074074,2.5555555555555554,3.69,0.6944444444444444
Prime-Cut Chicken Tenders (5),219.0,28.0,47.0,39.0,0.0,3.0,1590.0,75.0,600.0,4.0,0.0,0.5222222222222223,0.8333333333333334,1.2121212121212122,2.2083333333333335,2.6,5.19,0.6666666666666667
Chopped Farmhouse Salad with Crispy Chicken,323.0,24.0,26.0,28.0,4.0,4.0,1000.0,65.0,430.0,8.0,0.0,0.40310077519379844,1.0077519379844961,1.4497130776200544,1.9379844961240311,2.604651162790698,4.99,1.8604651162790697
Chopped Farmhouse Salad with Roast Turkey,285.0,13.0,8.0,22.0,5.0,2.0,870.0,55.0,230.0,7.0,0.0,0.2318840579710145,1.5942028985507248,1.4680971202710333,3.1521739130434785,3.8260869565217392,4.99,3.0434782608695654
Chopped Side Salad,128.0,5.0,4.0,5.0,2.0,1.0,100.0,15.0,70.0,2.5,0.0,0.38095238095238093,1.4285714285714286,1.8552875695732838,1.1904761904761905,2.8571428571428568,1.69,3.571428571428571
Buffalo Chicken Slider,106.0,13.0,31.0,12.0,2.0,2.0,860.0,20.0,290.0,2.0,0.0,0.7126436781609196,0.45977011494252873,1.1643528884908194,2.4712643678160924,1.6551724137931034,1.49,0.6896551724137931
Chicken Tender 'n Cheese Slider,99.0,12.0,30.0,15.0,1.0,1.0,720.0,25.0,290.0,3.5,0.0,0.6896551724137931,0.574712643678161,1.0747872816838333,2.0689655172413794,2.0689655172413794,1.49,1.206896551724138
Ham 'n Cheese Slider,91.0,9.0,22.0,13.0,3.0,1.0,750.0,30.0,230.0,3.5,0.0,0.6376811594202899,0.8695652173913043,1.0163749294184077,2.717391304347826,2.260869565217391,1.49,1.5217391304347827
Jalapeno Roast Beef 'n Cheese Slider,98.0,11.0,21.0,14.0,1.0,1.0,670.0,30.0,240.0,4.5,0.0,0.5833333333333334,0.8333333333333334,1.1904761904761905,2.326388888888889,2.3333333333333335,1.49,1.875
