Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
"Bacon, Egg & Cheese Biscuit",,21.0,40.0,15.0,1.0,2.0,1240.0,170.0,420.0,11.0,0.0,0.6349206349206349,2.6984126984126986,1.2987012987012987,2.4603174603174605,1.4285714285714284,2.59,2.619047619047619
"Bacon, Egg, & Cheese Muffin",,12.0,31.0,16.0,1.0,1.0,710.0,170.0,300.0,5.0,0.0,0.6888888888888889,3.7777777777777777,1.0389610389610389,1.9722222222222223,2.1333333333333333,2.59,1.6666666666666667
Buttered Biscuit,,13.0,41.0,4.0,4.0,4.0,710.0,0.0,300.0,7.0,0.0,0.9111111111111111,0.0,1.1255411255411256,1.9722222222222223,0.5333333333333333,0.89,2.3333333333333335
"Chick-n-Minis, 4-Count",,14.0,37.0,19.0,6.0,2.0,860.0,55.0,350.0,4.0,0.0,0.7047619047619048,1.0476190476190477,1.0389610389610389,2.047619047619048,2.1714285714285713,2.99,1.1428571428571428
"Chicken, Egg & Cheese Bagel",,18.0,51.0,27.0,8.0,3.0,1310.0,195.0,480.0,5.0,0.0,0.7083333333333334,2.7083333333333335,0.974025974025974,2.2743055555555554,2.25,3.39,1.0416666666666665
Chicken Biscuit,,32.0,50.0,17.0,5.0,4.0,1310.0,35.0,450.0,8.0,0.0,0.7407407407407407,0.5185185185185186,1.847041847041847,2.425925925925926,1.511111111111111,2.35,1.7777777777777777
Egg White Grill,,7.0,31.0,25.0,1.0,1.0,970.0,55.0,300.0,3.0,0.0,0.6888888888888889,1.222222222222222,0.6060606060606061,2.6944444444444446,3.333333333333333,3.39,1.0
Greek Yogurt Parfait with Chocolate Cookie Crumbs,,8.0,26.0,11.0,21.0,1.0,95.0,25.0,210.0,0.0,0.0,0.8253968253968255,0.7936507936507936,0.9894867037724181,0.376984126984127,2.0952380952380953,2.45,0.0
Greek Yogurt Parfait with Granola,,8.0,29.0,12.0,22.0,2.0,95.0,25.0,240.0,0.0,0.0,0.8055555555555556,0.6944444444444445,0.8658008658008658,0.3298611111111111,2.0,2.45,0.0
Hash Brown Scramble Bowl,,29.0,21.0,31.0,1.0,4.0,1230.0,370.0,460.0,9.0,0.0,0.30434782608695654,5.362318840579711,1.6374929418407678,2.2282608695652173,2.6956521739130435,0.99,1.956521739130435
Hash Brown Scramble Burrito,,38.0,50.0,35.0,1.0,5.0,1680.0,370.0,680.0,0.0,0.0,0.4901960784313726,3.627450980392157,1.4514896867838045,2.058823529411765,2.0588235294117645,0.99,0.0
"Sausage, Egg, & Cheese Biscuit",,40.0,41.0,20.0,1.0,3.0,1520.0,200.0,600.0,18.0,0.0,0.45555555555555555,2.2222222222222223,1.7316017316017316,2.111111111111111,1.3333333333333333,2.59,3.0
"Sausage, Egg, & Cheese Muffin",,30.0,32.0,20.0,1.0,2.0,990.0,200.0,490.0,12.0,0.0,0.435374149659864,2.72108843537415,1.590246488205672,1.683673469387755,1.6326530612244896,2.59,2.4489795918367347
Sunflower Multigrain Bagel with Cream Cheese,,10.0,43.0,7.0,7.0,3.0,460.0,20.0,290.0,4.5,0.0,0.9885057471264368,0.45977011494252873,0.8956560680698612,1.3218390804597702,0.9655172413793103,1.79,1.5517241379310345
Chick-fil-A Deluxe Sandwich,,23.0,42.0,31.0,6.0,3.0,1590.0,75.0,500.0,7.0,0.0,0.56,1.0,1.1948051948051948,2.6500000000000004,2.48,3.65,1.4000000000000001
"Chick-fil-A Nuggets, 4-Count",,6.0,5.0,14.0,0.0,1.0,490.0,40.0,130.0,0.0,0.0,0.25641025641025644,2.0512820512820515,1.1988011988011988,3.141025641025641,4.307692307692308,3.05,0.0
"Chick-fil-A Nuggets, 6-Count",,9.0,7.0,21.0,0.0,1.0,730.0,55.0,190.0,0.0,0.0,0.24561403508771928,1.929824561403509,1.2303485987696514,3.2017543859649122,4.421052631578947,3.05,0.0
"Chick-fil-A Nuggets, 8-Count",,12.0,9.0,28.0,0.0,1.0,980.0,75.0,260.0,0.0,0.0,0.23076923076923078,1.923076923076923,1.1988011988011988,3.141025641025641,4.307692307692308,3.05,0.0
"Chick-fil-A Nuggets, 12-Count",,18.0,14.0,41.0,1.0,2.0,1460.0,115.0,390.0,0.0,0.0,0.2393162393162393,1.965811965811966,1.1988011988011988,3.1196581196581197,4.205128205128205,4.45,0.0
"Chick-n-Strips, 3-Count",,17.0,22.0,28.0,3.0,1.0,940.0,70.0,350.0,0.0,0.0,0.4190476190476191,1.3333333333333335,1.261595547309833,2.238095238095238,3.2,3.35,0.0
"Chick-n-Strips, 4-Count",,23.0,29.0,37.0,4.0,1.0,1250.0,90.0,470.0,0.0,0.0,0.41134751773049644,1.2765957446808511,1.2710693561757391,2.2163120567375887,3.148936170212766,4.39,0.0
Chicken Sandwich,,19.0,40.0,28.0,5.0,2.0,1350.0,60.0,440.0,4.0,0.0,0.6060606060606061,0.9090909090909091,1.1216056670602126,2.556818181818182,2.545454545454545,3.99,0.9090909090909091
Grilled Chicken Club Sandwich,,16.0,37.0,37.0,7.0,3.0,1120.0,85.0,430.0,8.0,0.0,0.5736434108527132,1.317829457364341,0.9664753850800363,2.170542635658915,3.4418604651162794,5.59,1.8604651162790697
Grilled Chicken Cool Wrap,,13.0,30.0,40.0,3.0,0.0,1030.0,65.0,360.0,4.0,0.0,0.5555555555555556,1.2037037037037037,0.9379509379509379,2.3842592592592595,4.444444444444445,5.19,1.1111111111111112
Grilled Chicken Sandwich,,6.0,36.0,29.0,7.0,3.0,820.0,55.0,310.0,2.0,0.0,0.7741935483870969,1.1827956989247312,0.5027230833682447,2.204301075268817,3.741935483870968,4.39,0.6451612903225806
"Grilled Nuggets, 4-Count",,2.0,1.0,13.0,0.0,0.0,220.0,35.0,70.0,0.0,0.0,0.09523809523809523,3.3333333333333335,0.7421150278293135,2.619047619047619,7.428571428571429,3.75,0.0
"Grilled Nuggets, 6-Count",,2.5,2.0,19.0,0.0,0.0,330.0,50.0,110.0,0.0,0.0,0.12121212121212122,3.0303030303030303,0.5903187721369539,2.5,6.909090909090909,4.65,0.0
"Grilled Nuggets, 8-Count",,3.5,2.0,25.0,0.0,0.0,440.0,70.0,140.0,0.0,0.0,0.09523809523809523,3.3333333333333335,0.6493506493506493,2.619047619047619,7.142857142857143,4.65,0.0
"Grilled Nuggets, 12-Count",,5.0,3.0,38.0,1.0,0.0,670.0,100.0,210.0,0.0,0.0,0.09523809523809523,3.1746031746031744,0.6184291898577613,2.658730158730159,7.238095238095238,4.65,0.0
Spicy Deluxe Sandwich,,25.0,43.0,34.0,6.0,2.0,1760.0,80.0,540.0,8.0,0.0,0.5308641975308642,0.9876543209876543,1.2025012025012025,2.7160493827160495,2.518518518518518,3.89,1.4814814814814816
Spicy Sandwich,,19.0,41.0,30.0,5.0,1.0,1620.0,60.0,450.0,4.0,0.0,0.6074074074074075,0.888888888888889,1.0966810966810967,3.0,2.6666666666666665,3.29,0.8888888888888888
Cobb Salad,,28.0,28.0,40.0,6.0,6.0,1360.0,150.0,510.0,7.0,0.0,0.36601307189542487,1.9607843137254903,1.4260249554367201,2.2222222222222223,3.1372549019607843,7.19,1.3725490196078431
Grilled Market Salad,,14.0,27.0,27.0,13.0,6.0,680.0,60.0,330.0,3.5,0.0,0.5454545454545455,1.2121212121212122,1.1019283746556474,1.7171717171717171,3.2727272727272725,7.19,1.0606060606060608
Honey Peppercorn Salad,,30.0,53.0,39.0,27.0,0.0,1410.0,100.0,630.0,7.0,0.0,0.5608465608465609,1.0582010582010581,1.2368583797155226,1.8650793650793651,2.4761904761904763,7.19,1.1111111111111112
Spicy Southwest Salad,,19.0,37.0,34.0,8.0,10.0,1070.0,75.0,450.0,4.0,0.0,0.5481481481481482,1.1111111111111112,1.0966810966810967,1.9814814814814816,3.022222222222222,2.89,0.8888888888888888
"Chicken Noodle Soup, Large",,4.5,35.0,22.0,5.0,4.0,2000.0,55.0,240.0,0.0,0.0,0.9722222222222223,1.5277777777777777,0.487012987012987,6.9444444444444455,3.6666666666666665,4.35,0.0
"Chicken Noodle Soup, Small",,2.5,18.0,12.0,2.0,2.0,1040.0,30.0,130.0,0.0,0.0,0.9230769230769231,1.5384615384615385,0.4995004995004995,6.666666666666667,3.6923076923076925,4.35,0.0
Side Salad,,11.0,12.0,6.0,3.0,3.0,180.0,15.0,160.0,3.0,0.0,0.5,0.625,1.7857142857142858,0.9375,1.5,2.89,1.875
"Superfood Side, Large",,9.0,25.0,4.0,18.0,3.0,250.0,0.0,190.0,0.0,0.0,0.8771929824561403,0.0,1.2303485987696514,1.0964912280701755,0.8421052631578947,3.89,0.0
"Superfood Side, Small",,9.0,18.0,3.0,12.0,2.0,180.0,0.0,150.0,0.0,0.0,0.8,0.0,1.5584415584415583,1.0,0.8,1.25,0.0
"Waffle Potato Fries, Large",,24.0,56.0,6.0,0.0,7.0,370.0,0.0,460.0,0.0,0.0,0.8115942028985508,0.0,1.3551665725578768,0.6702898550724639,0.5217391304347826,1.85,0.0
"Waffle Potato Fries, Medium",,18.0,43.0,5.0,0.0,5.0,280.0,0.0,360.0,0.0,0.0,0.7962962962962964,0.0,1.2987012987012987,0.6481481481481481,0.5555555555555556,1.65,0.0
"Waffle Potato Fries, Small",,14.0,33.0,4.0,0.0,4.0,220.0,0.0,280.0,0.0,0.0,0.7857142857142857,0.0,1.2987012987012987,0.6547619047619048,0.5714285714285714,1.55,0.0
Chocolate Chunk Cookie,,14.0,45.0,4.0,27.0,2.0,230.0,15.0,330.0,8.0,0.0,0.9090909090909091,0.30303030303030304,1.1019283746556474,0.5808080808080809,0.48484848484848486,6.65,2.4242424242424243
"Frosted Sunrise, Large",,7.0,74.0,9.0,58.0,5.0,25.0,0.0,390.0,0.0,0.0,1.264957264957265,0.0,0.4662004662004662,0.053418803418803416,0.9230769230769231,1.85,0.0
"Frosted Sunrise, Small",,5.0,60.0,7.0,47.0,4.0,135.0,20.0,320.0,3.5,0.0,1.25,0.4166666666666667,0.40584415584415584,0.3515625,0.875,1.35,1.09375
"Icedream Cone, Large",,6.0,45.0,7.0,38.0,0.0,170.0,20.0,260.0,3.5,0.0,1.153846153846154,0.5128205128205129,0.5994005994005994,0.5448717948717949,1.076923076923077,1.65,1.3461538461538463
"Icedream Cone, Small",,4.0,31.0,5.0,25.0,0.0,115.0,15.0,170.0,2.0,0.0,1.2156862745098038,0.5882352941176471,0.6111535523300229,0.5637254901960785,1.1764705882352942,1.25,1.1764705882352942
Icedream Cup,,7.0,50.0,8.0,49.0,0.0,200.0,25.0,290.0,5.0,0.0,1.149425287356322,0.574712643678161,0.6269592476489028,0.574712643678161,1.103448275862069,1.85,1.7241379310344827
