Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
Original Chicken Sandwich,219.0,40.0,48,28,5,2,1170,75,660,7.0,0.0,0.48484848484848486,0.7575757575757576,1.5741833923652107,1.4772727272727273,1.696969696969697,4.09,1.0606060606060608
Rodeo Crispy Chicken Sandwich,270.0,60.0,72,33,14,3,2230,105,960,15.0,1.0,0.5,0.7291666666666667,1.6233766233766234,1.9357638888888888,1.375,1.00,1.5625
Spicy Crispy Chicken Jr.,142.0,21.0,37,12,6,2,740,30,390,3.5,0.0,0.6324786324786325,0.5128205128205129,1.3986013986013988,1.5811965811965811,1.2307692307692308,1.00,0.8974358974358974
Spicy Crispy Chicken Sandwich,242.0,42.0,57,25,8,3,1140,65,700,7.0,0.0,0.5428571428571429,0.6190476190476191,1.5584415584415583,1.3571428571428572,1.4285714285714284,1.00,1.0
Kids Cheeseburger,111.0,13.0,27,15,7,1,560,45,280,6.0,0.5,0.6428571428571429,1.0714285714285716,1.2059369202226344,1.6666666666666667,2.142857142857143,1.00,2.142857142857143
"Kids Chicken Nuggets, 6 Piece",88.0,16.0,16,12,0,1,470,35,260,2.5,0.0,0.4102564102564103,0.8974358974358975,1.5984015984015985,1.5064102564102564,1.8461538461538463,1.19,0.9615384615384616
Kids Hamburger,99.0,10.0,26,13,6,1,380,35,240,3.5,0.5,0.7222222222222223,0.9722222222222223,1.0822510822510822,1.3194444444444444,2.166666666666667,1.00,1.4583333333333333
Kids Oatmeal,167.0,3.0,32,4,12,3,260,5,170,1.5,0.0,1.2549019607843137,0.19607843137254902,0.45836516424751717,1.2745098039215685,0.9411764705882353,6.39,0.8823529411764706
Kids PB&J Jamwich,79.0,16.0,33,11,11,4,290,0,300,3.0,0.0,0.7333333333333334,0.0,1.3852813852813854,0.8055555555555556,1.4666666666666668,3.99,1.0
Kids Soft Serve Cone,120.0,4.5,32,5,24,0,150,20,190,3.0,0.0,1.1228070175438596,0.7017543859649122,0.6151742993848257,0.6578947368421053,1.0526315789473684,1.00,1.5789473684210527
Cheesy Tots,128.0,15.0,34,9,0,3,780,0,310,1.0,0.0,0.7311827956989247,0.0,1.2568077084206115,2.096774193548387,1.1612903225806452,1.00,0.3225806451612903
"Club Salad with Crispy Chicken, No Dressing",308.0,33.0,31,31,5,3,1380,95,540,10.0,0.0,0.3827160493827161,1.1728395061728396,1.5873015873015872,2.1296296296296298,2.2962962962962963,1.00,1.8518518518518516
"Club Salad with Grilled Chicken, No Dressing",334.0,23.0,16,44,5,7,1220,120,440,9.0,0.0,0.24242424242424243,1.8181818181818181,1.357733175914994,2.310606060606061,4.0,6.19,2.0454545454545454
"French Fries, Large (Salted)",173.0,19.0,60,6,0,4,640,0,430,3.5,0.0,0.9302325581395349,0.0,1.147689519782543,1.2403100775193798,0.5581395348837209,2.39,0.813953488372093
"French Fries, Medium (Salted)",153.0,17.0,53,5,0,4,570,0,380,3.0,0.0,0.9298245614035088,0.0,1.1619958988380041,1.25,0.5263157894736842,2.19,0.7894736842105263
"French Fries, Small (Salted)",128.0,14.0,44,4,0,3,480,0,320,2.5,0.0,0.9166666666666667,0.0,1.1363636363636362,1.25,0.5,1.79,0.78125
"French Fries, Value (Salted)",89.0,10.0,31,3,0,2,330,0,220,1.5,0.0,0.9393939393939393,0.0,1.1806375442739079,1.25,0.5454545454545454,1.39,0.6818181818181818
"Garden Chicken Salad with Crispy Chicken, No Dressing",287.0,25.0,31,25,4,3,930,75,440,7.0,0.0,0.46969696969696967,1.1363636363636362,1.4757969303423848,1.7613636363636365,2.2727272727272725,6.19,1.5909090909090908
"Garden Chicken Salad with Grilled Chicken, No Dressing",313.0,15.0,16,39,4,7,770,100,340,6.0,0.0,0.3137254901960784,1.9607843137254903,1.145912910618793,1.8872549019607843,4.588235294117647,6.19,1.7647058823529411
"Garden Side Salad, No Dressing",99.0,4.0,3,4,2,1,95,10,60,2.5,0.0,0.33333333333333337,1.1111111111111112,1.7316017316017316,1.3194444444444444,2.6666666666666665,1.99,4.166666666666666
"Onion Rings, Large",142.0,25.0,64,5,7,5,1310,0,500,4.5,0.0,0.8533333333333334,0.0,1.2987012987012987,2.1833333333333336,0.4,2.39,0.8999999999999999
"Onion Rings, Medium",117.0,21.0,53,4,5,4,1080,0,410,3.5,0.0,0.8617886178861789,0.0,1.3303769401330376,2.1951219512195124,0.3902439024390244,2.19,0.853658536585366
"Onion Rings, Small",91.0,16.0,41,3,4,3,840,0,320,3.0,0.0,0.8541666666666666,0.0,1.2987012987012987,2.1875,0.375,1.79,0.9375
"Bacon, Egg & Cheese Biscuit",152.0,26.0,29,13,3,1,1270,170,400,13.0,0.0,0.48333333333333334,2.8333333333333335,1.6883116883116884,2.6458333333333335,1.3,3.49,3.25
BK Ultimate Breakfast Platter,487.0,70.0,122,29,33,5,2550,380,1230,23.0,0.5,0.6612466124661247,2.059620596205962,1.4781966001478195,1.7276422764227644,0.943089430894309,4.89,1.8699186991869918
"Croissan'wich Bacon, Egg & Cheese",132.0,21.0,30,14,4,1,760,170,370,9.0,0.0,0.5405405405405406,3.0630630630630633,1.4742014742014742,1.7117117117117118,1.5135135135135136,2.99,2.4324324324324325
Croissan'wich Egg & Cheese,125.0,18.0,29,12,4,1,610,160,340,8.0,0.0,0.5686274509803922,3.1372549019607843,1.3750954927425516,1.4950980392156863,1.4117647058823528,5.99,2.3529411764705883
"Croissan'wich Ham, Egg & Cheese",156.0,19.0,30,17,5,1,1030,175,370,8.0,0.0,0.5405405405405406,3.1531531531531534,1.333801333801334,2.31981981981982,1.837837837837838,2.99,2.1621621621621623
"Croissan'wich Sausage, Egg & Cheese",169.0,33.0,30,19,4,1,930,195,500,13.0,0.0,0.4,2.6,1.7142857142857144,1.55,1.52,2.99,2.6
Egg-Normous Burrito,371.0,57.0,68,38,5,7,2460,375,940,20.0,1.0,0.48226950354609927,2.6595744680851063,1.575020723956894,2.1808510638297873,1.6170212765957448,1.19,2.127659574468085
"French Toast Sticks, 5 Piece",109.0,18.0,49,5,13,2,430,0,380,3.0,0.0,0.8596491228070177,0.0,1.2303485987696514,0.9429824561403509,0.5263157894736842,2.19,0.7894736842105263
Fully Loaded Biscuit,238.0,45.0,31,28,4,1,2190,225,640,20.0,0.0,0.3229166666666667,2.34375,1.8262987012987013,2.8515625,1.75,4.29,3.125
Fully Loaded Croissan'wich,218.0,40.0,31,28,5,1,1680,225,610,17.0,0.5,0.33879781420765026,2.459016393442623,1.7032148179689164,2.2950819672131146,1.8360655737704916,4.29,2.7868852459016393
"Ham, Egg, & Cheese Biscuit",176.0,24.0,29,17,3,1,1550,175,400,12.0,0.0,0.48333333333333334,2.916666666666667,1.5584415584415583,3.229166666666667,1.7000000000000002,3.49,3.0
"Hash Browns, Large",225.0,44.0,65,5,0,9,1530,0,670,9.0,0.0,0.6467661691542289,0.0,1.7057569296375266,1.902985074626866,0.29850746268656714,1.89,1.3432835820895521
"Hash Browns, Medium",169.0,33.0,48,4,0,7,1140,0,500,7.0,0.0,0.64,0.0,1.7142857142857144,1.9,0.32,1.69,1.4000000000000001
King Croissan'wich with Double Sausage,224.0,52.0,31,29,5,1,1420,240,710,20.0,0.5,0.29107981220657275,2.2535211267605635,1.9023230290835924,1.6666666666666667,1.6338028169014085,3.69,2.8169014084507045
King Croissan'wich with Ham And Sausage,211.0,38.0,31,27,5,1,1530,220,580,16.0,0.5,0.3563218390804598,2.528735632183908,1.7017465293327363,2.1982758620689653,1.8620689655172415,3.69,2.7586206896551726
King Croissan'wich with Sausage And Bacon,187.0,40.0,31,23,5,1,1260,215,580,16.0,0.5,0.3563218390804598,2.4712643678160924,1.7913121361397224,1.810344827586207,1.5862068965517242,3.69,2.7586206896551726
NY Ultimate Platter,400.0,46.0,95,25,31,5,1760,380,900,12.0,0.0,0.7037037037037037,2.814814814814815,1.3275613275613276,1.6296296296296295,1.1111111111111112,4.89,1.3333333333333335
Pancake and Sausage Platter,217.0,31.0,72,12,30,1,1010,80,610,9.0,0.0,0.7868852459016394,0.8743169398907105,1.3199914839259101,1.3797814207650274,0.7868852459016394,3.69,1.4754098360655739
Quaker Oatmeal Maple Flavor,172.0,3.0,32,4,12,3,270,5,170,1.5,0.0,1.2549019607843137,0.19607843137254902,0.45836516424751717,1.3235294117647058,0.9411764705882353,1.99,0.8823529411764706
"Sausage, Egg, & Cheese Biscuit",189.0,38.0,29,19,3,1,1440,195,530,17.0,0.0,0.3647798742138365,2.452830188679245,1.8622886547414848,2.2641509433962264,1.4339622641509433,3.49,3.207547169811321
"Sausage, Egg, Cheese & Hash Brown Burrito",143.0,23.0,27,15,2,3,930,150,370,8.0,0.0,0.4864864864864865,2.702702702702703,1.6146016146016147,2.0945945945945947,1.6216216216216217,1.19,2.1621621621621623
Sausage Biscuit,121.0,28.0,28,12,2,1,1050,35,420,6.0,0.0,0.4444444444444445,0.5555555555555556,1.7316017316017316,2.0833333333333335,1.1428571428571428,1.00,1.4285714285714286
Caramel Sundae,153.0,6.0,53,6,39,0,260,25,290,4.0,0.0,1.2183908045977012,0.574712643678161,0.5373936408419167,0.7471264367816093,0.8275862068965517,1.69,1.3793103448275863
Chocolate Chip Cookies,76.0,15.0,47,3,29,1,250,20,330,8.0,0.0,0.9494949494949495,0.4040404040404041,1.1806375442739079,0.6313131313131314,0.36363636363636365,2.00,2.4242424242424243
Dutch Apple Pie,107.0,14.0,51,3,25,1,310,0,340,6.0,0.0,1.0,0.0,1.0695187165775402,0.7598039215686274,0.3529411764705882,1.49,1.7647058823529411
Hershey's Chocolate Sundae,153.0,7.0,47,6,41,1,220,20,280,5.0,0.0,1.119047619047619,0.47619047619047616,0.6493506493506493,0.6547619047619048,0.8571428571428572,1.69,1.7857142857142856
Hershey's Sundae Pie,79.0,19.0,32,3,22,1,220,10,310,12.0,0.0,0.6881720430107527,0.21505376344086022,1.591956430666108,0.5913978494623656,0.3870967741935484,1.69,3.870967741935484
Oatmeal Raisin Cookies,76.0,13.0,46,4,26,3,260,20,310,8.0,0.0,0.989247311827957,0.43010752688172044,1.0892333472978635,0.6989247311827957,0.5161290322580645,2.00,2.5806451612903225
Oreo Cookie Cheesecake,92.0,18.0,41,6,25,1,310,35,350,8.0,0.0,0.780952380952381,0.6666666666666667,1.3358070500927643,0.7380952380952381,0.6857142857142857,1.00,2.2857142857142856
Pie Made with Twix,102.0,20.0,45,4,30,1,330,10,370,13.0,0.0,0.8108108108108109,0.1801801801801802,1.4040014040014042,0.7432432432432433,0.43243243243243246,3.99,3.5135135135135136
Soft Serve Cone,120.0,4.5,32,5,24,0,150,20,190,3.0,0.0,1.1228070175438596,0.7017543859649122,0.6151742993848257,0.6578947368421053,1.0526315789473684,1.00,1.5789473684210527
Soft Serve Cup,115.0,4.5,28,5,24,0,150,20,170,3.0,0.0,1.0980392156862746,0.7843137254901961,0.6875477463712758,0.7352941176470589,1.1764705882352942,1.00,1.7647058823529411
White Chocolate Macadamia Nut Cookies,76.0,18.0,44,4,28,0,240,20,340,8.0,0.0,0.8627450980392158,0.39215686274509803,1.3750954927425516,0.5882352941176471,0.47058823529411764,2.00,2.3529411764705883
Chocolate Oreo Shake,,22.0,121,17,101,1,680,70,740,13.0,0.5,1.09009009009009,0.6306306306306307,0.7722007722007722,0.7657657657657658,0.918918918918919,2.00,1.7567567567567568
Froot Loops Shake,,17.0,126,16,103,2,560,65,720,11.0,0.5,1.1666666666666667,0.6018518518518519,0.6132756132756133,0.6481481481481481,0.888888888888889,1.00,1.5277777777777777
Oreo Shake,,20.0,118,16,98,1,540,65,720,12.0,0.5,1.0925925925925926,0.6018518518518519,0.7215007215007214,0.625,0.888888888888889,1.69,1.6666666666666667
Strawberry Banana Smoothie,,1.0,71,4,50,3,55,0,310,0.0,0.0,1.5268817204301075,0.0,0.0837871805613741,0.1478494623655914,0.5161290322580645,3.49,0.0
Tropical Mango Smoothie,,0.0,86,5,56,2,70,0,370,0.0,0.0,1.5495495495495497,0.0,0.0,0.15765765765765768,0.5405405405405406,2.49,0.0
Value Menu Bacon Cheeseburger,118.0,16.0,27,17,7,1,710,55,320,7.0,0.5,0.5625000000000001,1.1458333333333335,1.2987012987012987,1.8489583333333335,2.125,1.49,2.1875
Value Menu Bacon Double Cheeseburger,155.0,24.0,27,25,7,1,740,90,420,10.0,1.5,0.42857142857142855,1.4285714285714286,1.484230055658627,1.4682539682539684,2.380952380952381,2.29,2.380952380952381
Value Menu Cheeseburger,111.0,13.0,27,15,7,1,560,45,280,6.0,0.5,0.6428571428571429,1.0714285714285716,1.2059369202226344,1.6666666666666667,2.142857142857143,1.49,2.142857142857143
Value Menu Crispy Chicken Jr.,142.0,30.0,34,12,5,2,780,30,450,5.0,0.0,0.5037037037037038,0.4444444444444445,1.7316017316017316,1.4444444444444446,1.0666666666666667,1.00,1.1111111111111112
Value Menu Double Cheeseburger,148.0,21.0,27,23,7,1,590,85,390,9.0,1.5,0.46153846153846156,1.4529914529914532,1.3986013986013988,1.2606837606837606,2.358974358974359,2.29,2.307692307692308
Value Menu Rodeo Burger,117.0,14.0,38,13,9,1,520,35,330,4.5,0.5,0.7676767676767677,0.7070707070707071,1.1019283746556474,1.3131313131313131,1.5757575757575757,1.00,1.3636363636363635
Value Menu Rodeo Crispy Chicken Jr.,154.0,16.0,55,13,14,2,860,20,420,3.0,0.0,0.8730158730158731,0.31746031746031744,0.9894867037724181,1.7063492063492063,1.2380952380952381,1.00,0.7142857142857143
Value Menu Spicy Crispy Chicken Jr.,142.0,21.0,37,12,6,2,740,30,390,3.5,0.0,0.6324786324786325,0.5128205128205129,1.3986013986013988,1.5811965811965811,1.2307692307692308,1.00,0.8974358974358974
