Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
"BBQ Chicken Flatbread, 2 Flatbreads",,36.0,75.0,48.0,14.0,7.0,1720.0,155.0,810.0,20.0,1.0,0.6172839506172839,1.2757201646090535,1.1544011544011545,1.7695473251028808,2.3703703703703702,4.99,2.4691358024691357
"Asian Sesame Salad with Chicken, Half",,11.0,13.0,16.0,3.0,2.0,270.0,40.0,200.0,1.5,0.0,0.43333333333333335,1.3333333333333335,1.4285714285714286,1.1250000000000002,3.2,5.69,0.75
"Asian Sesame Salad with Chicken, Whole",353.0,21.0,25.0,32.0,5.0,4.0,540.0,80.0,410.0,3.0,0.0,0.4065040650406504,1.3008130081300815,1.3303769401330376,1.0975609756097562,3.1219512195121952,7.79,0.7317073170731708
"Caesar Salad, Half",,13.0,7.0,5.0,1.0,1.0,300.0,20.0,160.0,3.0,0.0,0.2916666666666667,0.8333333333333334,2.1103896103896105,1.5625,1.25,4.59,1.875
"Caesar Salad, Whole",249.0,25.0,14.0,10.0,2.0,2.0,600.0,40.0,320.0,6.0,0.0,0.2916666666666667,0.8333333333333334,2.029220779220779,1.5625,1.25,6.09,1.875
"Caesar Salad with Chicken, Half",,14.0,8.0,17.0,1.0,1.0,390.0,60.0,220.0,3.5,0.0,0.24242424242424243,1.8181818181818181,1.652892561983471,1.4772727272727273,3.090909090909091,4.59,1.5909090909090908
"Caesar Salad with Chicken, Whole",,27.0,17.0,35.0,2.0,2.0,770.0,120.0,450.0,7.0,0.0,0.2518518518518519,1.777777777777778,1.5584415584415583,1.4259259259259258,3.111111111111111,6.09,1.5555555555555556
"Fuji Apple Salad with Chicken, Half",,17.0,18.0,17.0,10.0,3.0,290.0,45.0,280.0,3.5,0.0,0.42857142857142855,1.0714285714285716,1.5769944341372912,0.8630952380952382,2.4285714285714284,5.99,1.25
"Fuji Apple Salad with Chicken, Whole",,35.0,36.0,33.0,20.0,6.0,590.0,95.0,570.0,7.0,0.0,0.4210526315789474,1.1111111111111112,1.5948963317384368,0.8625730994152048,2.3157894736842106,8.49,1.2280701754385965
"Greek Salad, Half",,18.0,5.0,4.0,2.0,2.0,590.0,10.0,200.0,4.0,0.0,0.16666666666666669,0.33333333333333337,2.3376623376623376,2.4583333333333335,0.8,4.59,2.0
"Greek Salad, Whole",,36.0,11.0,6.0,4.0,4.0,1190.0,25.0,390.0,8.0,0.0,0.18803418803418803,0.42735042735042733,2.3976023976023977,2.5427350427350426,0.6153846153846154,6.09,2.051282051282051
"Green Goddess Cobb Salad with Chicken, Half",,17.0,12.0,21.0,6.0,4.0,360.0,145.0,280.0,4.0,0.0,0.28571428571428575,3.452380952380953,1.5769944341372912,1.0714285714285716,3.0,5.69,1.4285714285714286
"Green Goddess Cobb Salad with Chicken, Whole",,33.0,24.0,42.0,12.0,7.0,720.0,290.0,550.0,8.0,0.0,0.29090909090909095,3.515151515151515,1.5584415584415583,1.090909090909091,3.0545454545454547,7.79,1.4545454545454546
"Modern Greek Salad with Quinoa, Half",,20.0,14.0,6.0,2.0,3.0,440.0,5.0,260.0,3.5,0.0,0.35897435897435903,0.12820512820512822,1.998001998001998,1.4102564102564104,0.9230769230769231,4.59,1.3461538461538463
"Modern Greek Salad with Quinoa, Whole",,43.0,27.0,12.0,4.0,7.0,870.0,15.0,530.0,7.0,0.0,0.339622641509434,0.18867924528301888,2.1073266356285223,1.3679245283018868,0.9056603773584905,6.09,1.3207547169811322
"Seasonal Greens Salad, Whole",,11.0,20.0,4.0,13.0,4.0,150.0,0.0,180.0,1.5,0.0,0.7407407407407407,0.0,1.5873015873015872,0.6944444444444445,0.888888888888889,6.09,0.8333333333333334
"Southwest Chile Lime Ranch Salad with Chicken, Half",,17.0,28.0,19.0,5.0,5.0,400.0,50.0,330.0,3.5,0.0,0.5656565656565657,1.0101010101010102,1.3380558835104288,1.0101010101010102,2.303030303030303,8.69,1.0606060606060608
"Southwest Chile Lime Ranch Salad with Chicken, Whole",,34.0,56.0,38.0,9.0,10.0,800.0,95.0,670.0,7.0,0.0,0.5572139303482587,0.945273631840796,1.3180849001744523,0.9950248756218905,2.268656716417911,4.99,1.0447761194029852
"Spicy Thai Salad with Chicken, Half",,11.0,21.0,21.0,6.0,4.0,380.0,40.0,260.0,1.5,0.0,0.5384615384615385,1.0256410256410258,1.098901098901099,1.2179487179487178,3.230769230769231,5.69,0.576923076923077
"Spicy Thai Salad with Chicken, Whole",,22.0,41.0,42.0,12.0,8.0,750.0,80.0,510.0,3.0,0.0,0.5359477124183007,1.0457516339869282,1.1204481792717087,1.2254901960784315,3.2941176470588234,7.79,0.5882352941176471
Lentil Quinoa Broth Bowl with Chicken,,9.0,45.0,32.0,5.0,9.0,1330.0,65.0,380.0,1.5,0.0,0.7894736842105263,1.1403508771929824,0.6151742993848257,2.916666666666667,3.3684210526315788,8.69,0.39473684210526316
