Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
Big Mac Bacon,,38.0,47.0,30.0,9.0,3.0,1210.0,95.0,610.0,12.0,1.0,0.5136612021857924,1.0382513661202186,1.6180540770704706,1.6530054644808743,1.9672131147540983,3.99,1.9672131147540985
Cheesy Bacon Fries,,34.0,51.0,15.0,5.0,4.0,1330.0,35.0,560.0,11.0,0.5,0.6071428571428571,0.4166666666666667,1.5769944341372912,1.9791666666666667,1.0714285714285714,1.39,1.9642857142857142
"Donut Sticks, 6 Piece",,13.0,34.0,6.0,9.0,1.0,260.0,15.0,280.0,4.5,0.0,0.8095238095238095,0.35714285714285715,1.2059369202226344,0.7738095238095238,0.8571428571428572,3.99,1.607142857142857
"Donut Sticks, 12 Piece",,27.0,68.0,12.0,18.0,2.0,520.0,30.0,560.0,9.0,0.5,0.8095238095238095,0.35714285714285715,1.2523191094619666,0.7738095238095238,0.8571428571428572,5.00,1.607142857142857
Quarter Pounder with Cheese Bacon,,34.0,44.0,39.0,11.0,2.0,1470.0,125.0,640.0,15.0,1.5,0.45833333333333337,1.3020833333333335,1.37987012987013,1.9140625,2.4375,3.79,2.34375
Bacon Clubhouse Burger,274.0,41.0,51.0,40.0,14.0,4.0,1420.0,120.0,740.0,16.0,1.5,0.4594594594594595,1.0810810810810811,1.4391014391014392,1.5990990990990992,2.1621621621621623,4.49,2.1621621621621623
Bacon Double Cheeseburger,,26.0,36.0,30.0,8.0,3.0,1280.0,100.0,500.0,12.0,1.0,0.48,1.3333333333333335,1.3506493506493507,2.1333333333333333,2.4,1.69,2.4
Bacon Double Cheeseburger (New York),,26.0,36.0,30.0,8.0,2.0,1270.0,100.0,500.0,12.0,1.0,0.48,1.3333333333333335,1.3506493506493507,2.1166666666666667,2.4,1.69,2.4
Bacon McDouble,162.0,23.0,34.0,28.0,7.0,2.0,1090.0,85.0,450.0,10.0,1.0,0.5037037037037038,1.2592592592592593,1.3275613275613276,2.0185185185185186,2.488888888888889,2.00,2.2222222222222223
Bacon McDouble (New York),,22.0,34.0,28.0,7.0,2.0,1080.0,85.0,450.0,10.0,1.0,0.5037037037037038,1.2592592592592593,1.26984126984127,2.0,2.488888888888889,2.00,2.2222222222222223
Artisan Grilled Chicken Sandwich,204.0,6.0,45.0,36.0,11.0,2.0,1120.0,95.0,380.0,2.0,0.0,0.7894736842105263,1.6666666666666667,0.4101161995898838,2.456140350877193,3.7894736842105265,4.39,0.5263157894736842
Bacon Buffalo Ranch McChicken,162.0,21.0,40.0,20.0,6.0,2.0,1040.0,55.0,430.0,4.5,0.0,0.6201550387596899,0.8527131782945737,1.2684989429175475,2.0155038759689923,1.8604651162790697,4.59,1.0465116279069768
Bacon Cheddar Hot 'n Spicy McChicken,,32.0,41.0,24.0,6.0,3.0,960.0,80.0,550.0,9.0,0.5,0.49696969696969695,0.9696969696969697,1.511216056670602,1.4545454545454546,1.7454545454545456,4.39,1.6363636363636365
Bacon Cheddar McChicken,172.0,32.0,41.0,24.0,6.0,2.0,950.0,80.0,550.0,9.0,0.0,0.49696969696969695,0.9696969696969697,1.511216056670602,1.4393939393939394,1.7454545454545456,4.39,1.6363636363636365
Bacon Smokehouse Artisan Grilled Chicken Sandwich,,31.0,62.0,55.0,18.0,2.0,1940.0,155.0,750.0,10.0,0.5,0.5511111111111111,1.3777777777777778,1.0735930735930737,2.1555555555555554,2.9333333333333336,4.39,1.3333333333333335
Apple Cinnamon Muffin,,2.5,61.0,7.0,30.0,3.0,520.0,0.0,300.0,0.5,0.0,1.3555555555555556,0.0,0.21645021645021645,1.4444444444444446,0.9333333333333333,1.59,0.16666666666666669
"Bacon, Egg & Cheese Bagel",191.0,25.0,54.0,26.0,7.0,4.0,1270.0,225.0,550.0,11.0,0.5,0.6545454545454545,2.7272727272727275,1.1806375442739079,1.9242424242424243,1.8909090909090909,3.29,2.0
"Bacon, Egg & Cheese Bagel with Egg Whites",191.0,22.0,53.0,25.0,7.0,3.0,1240.0,65.0,510.0,10.0,0.5,0.69281045751634,0.8496732026143791,1.1204481792717087,2.026143790849673,1.9607843137254901,3.29,1.9607843137254901
"Bacon, Egg & Cheese Biscuit",147.0,24.0,40.0,18.0,3.0,2.0,1300.0,200.0,450.0,12.0,0.0,0.5925925925925927,2.962962962962963,1.3852813852813854,2.4074074074074074,1.6,3.19,2.666666666666667
"Bacon, Egg & Cheese Biscuit with Egg Whites",148.0,21.0,39.0,18.0,3.0,2.0,1290.0,40.0,410.0,11.0,0.0,0.6341463414634146,0.6504065040650407,1.3303769401330376,2.6219512195121952,1.7560975609756095,3.19,2.682926829268293
Premium Bacon Ranch Salad with Buttermilk Crispy Chicken,268.0,28.0,28.0,33.0,4.0,4.0,1120.0,95.0,490.0,8.0,0.0,0.38095238095238093,1.2925170068027212,1.484230055658627,1.9047619047619047,2.6938775510204085,4.39,1.6326530612244898
Premium Bacon Ranch Salad with Grilled Chicken,266.0,14.0,9.0,42.0,4.0,3.0,1230.0,135.0,320.0,6.0,0.0,0.1875,2.8125,1.1363636363636362,3.203125,5.25,4.39,1.875
Premium Bacon Ranch Salad without Chicken,169.0,12.0,9.0,14.0,3.0,3.0,500.0,40.0,190.0,5.0,0.0,0.31578947368421056,1.4035087719298245,1.6404647983595353,2.192982456140351,2.9473684210526314,4.59,2.631578947368421
Premium Southwest Salad with Buttermilk Crispy Chicken,294.0,25.0,46.0,28.0,9.0,8.0,960.0,75.0,520.0,6.0,0.0,0.5897435897435898,0.9615384615384615,1.2487512487512489,1.5384615384615385,2.153846153846154,4.39,1.153846153846154
Premium Southwest Salad with Grilled Chicken,289.0,11.0,27.0,37.0,9.0,6.0,1070.0,110.0,350.0,4.5,0.0,0.5142857142857142,2.0952380952380953,0.8163265306122449,2.5476190476190474,4.228571428571429,4.39,1.2857142857142856
Cheese Curds,,30.0,18.0,24.0,1.0,2.0,970.0,80.0,440.0,15.0,1.0,0.27272727272727276,1.2121212121212122,1.7709563164108617,1.8371212121212122,2.1818181818181817,2.00,3.4090909090909087
"French Fries, Large",168.0,22.0,61.0,6.0,0.0,5.0,330.0,0.0,470.0,3.0,0.0,0.8652482269503546,0.0,1.21580547112462,0.5851063829787234,0.5106382978723404,1.89,0.6382978723404255
"French Fries, Medium",111.0,18.0,49.0,5.0,0.0,4.0,260.0,0.0,380.0,2.5,0.0,0.8596491228070177,0.0,1.2303485987696514,0.5701754385964912,0.5263157894736842,1.69,0.6578947368421052
"French Fries, Small",75.0,11.0,29.0,3.0,0.0,3.0,160.0,0.0,230.0,1.5,0.0,0.8405797101449275,0.0,1.2422360248447206,0.5797101449275363,0.5217391304347826,1.39,0.6521739130434783
"Fruit 'N Yogurt Parfait, Large",,4.5,58.0,8.0,45.0,1.0,110.0,15.0,300.0,2.5,0.0,1.288888888888889,0.33333333333333337,0.3896103896103896,0.3055555555555555,1.0666666666666667,1.49,0.8333333333333334
Baked Cherry and Creme Pie,,15.0,35.0,3.0,14.0,1.0,160.0,10.0,290.0,9.0,0.0,0.8045977011494253,0.22988505747126436,1.3434841021047916,0.45977011494252873,0.41379310344827586,0.99,3.103448275862069
Birthday Cake Dipped Cone,,12.0,35.0,5.0,27.0,0.0,90.0,15.0,270.0,9.0,0.0,0.8641975308641975,0.37037037037037035,1.1544011544011545,0.2777777777777778,0.7407407407407407,4.39,3.3333333333333335
Caramel Butter Pecan Ice Cream,,20.0,34.0,5.0,23.0,1.0,125.0,40.0,330.0,10.0,0.0,0.6868686868686869,0.8080808080808082,1.5741833923652107,0.3156565656565657,0.6060606060606061,3.39,3.0303030303030303
Caramel Sundae Waffle Cone,,8.0,78.0,8.0,50.0,1.0,190.0,30.0,420.0,5.0,0.0,1.2380952380952381,0.47619047619047616,0.49474335188620905,0.376984126984127,0.761904761904762,5.79,1.1904761904761905
Happy Meal Cheeseburger,,12.0,33.0,15.0,7.0,2.0,680.0,40.0,300.0,6.0,0.5,0.7333333333333334,0.888888888888889,1.0389610389610389,1.8888888888888888,2.0,1.00,2.0
"Happy Meal Chicken McNuggets, 4 piece",,11.0,11.0,10.0,0.0,1.0,340.0,30.0,180.0,2.0,0.0,0.4074074074074074,1.1111111111111112,1.5873015873015872,1.5740740740740742,2.2222222222222223,3.29,1.1111111111111112
"Happy Meal Chicken McNuggets, 6 piece",,16.0,16.0,15.0,0.0,1.0,510.0,45.0,270.0,2.5,0.0,0.39506172839506176,1.1111111111111112,1.5392015392015392,1.5740740740740742,2.2222222222222223,3.99,0.9259259259259258
Mighty Kids Meal Chicken McNuggets (6 piece),,16.0,16.0,15.0,0.0,1.0,510.0,45.0,270.0,2.5,0.0,0.39506172839506176,1.1111111111111112,1.5392015392015392,1.5740740740740742,2.2222222222222223,3.99,0.9259259259259258
Mighty Kids Meal Go-Gurt Strawberry Flavored Low Fat Yogurt Tube,,0.5,8.0,3.0,6.0,0.0,30.0,5.0,50.0,0.0,0.0,1.0666666666666667,0.6666666666666667,0.2597402597402597,0.5,2.4,3.39,0.0
