Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
"Hash Brown Nuggets, Medium",,26.0,36.0,3.0,0.0,4.0,490.0,0.0,390.0,4.5,0.0,0.6153846153846154,0.0,1.7316017316017316,1.047008547008547,0.3076923076923077,1.59,1.153846153846154
"Hash Brown Nuggets, Small",,23.0,32.0,3.0,0.0,3.0,440.0,0.0,350.0,4.0,0.0,0.6095238095238096,0.0,1.7068645640074211,1.0476190476190477,0.34285714285714286,1.39,1.1428571428571428
Loaded Breakfast Burrito,,48.0,53.0,31.0,2.0,3.0,1500.0,395.0,780.0,22.0,0.0,0.452991452991453,3.376068376068376,1.5984015984015985,1.6025641025641026,1.5897435897435896,3.49,2.8205128205128207
Made From Scratch Biscuit (California only),,13.0,37.0,6.0,2.0,2.0,730.0,0.0,290.0,7.0,0.0,0.8505747126436782,0.0,1.1643528884908194,2.0977011494252875,0.8275862068965517,4.99,2.413793103448276
Made From Scratch Biscuit (outside California),,15.0,36.0,5.0,2.0,3.0,780.0,0.0,300.0,4.0,6.0,0.8,0.0,1.2987012987012987,2.166666666666667,0.6666666666666666,4.99,1.3333333333333335
"Mile High Bacon, Egg & Cheese Biscuit (California only)",,45.0,42.0,29.0,5.0,2.0,1980.0,240.0,680.0,22.0,0.0,0.411764705882353,2.3529411764705883,1.7188693659281895,2.426470588235294,1.7058823529411766,3.99,3.2352941176470593
"Mile High Bacon, Egg & Cheese Biscuit (outside California)",,46.0,41.0,28.0,5.0,3.0,2030.0,240.0,690.0,19.0,6.0,0.39613526570048313,2.318840579710145,1.7316017316017316,2.451690821256039,1.6231884057971013,3.99,2.753623188405797
Monster Biscuit (California only),,58.0,41.0,30.0,4.0,2.0,1800.0,400.0,800.0,29.0,0.5,0.3416666666666667,3.3333333333333335,1.883116883116883,1.875,1.5,5.99,3.6249999999999996
Monster Biscuit (outside California),,60.0,40.0,29.0,4.0,3.0,1850.0,400.0,810.0,25.0,6.0,0.3292181069958848,3.292181069958848,1.924001924001924,1.9032921810699588,1.432098765432099,5.99,3.0864197530864197
"Sausage, Egg & Cheese Biscuit",,42.0,39.0,20.0,3.0,2.0,1380.0,210.0,620.0,20.0,0.0,0.4193548387096774,2.258064516129032,1.7595307917888565,1.8548387096774193,1.2903225806451613,2.79,3.225806451612903
Steak & Egg Burrito,,36.0,44.0,35.0,3.0,2.0,1730.0,415.0,650.0,20.0,0.0,0.4512820512820513,4.256410256410256,1.4385614385614387,2.217948717948718,2.153846153846154,5.29,3.076923076923077
The Breakfast Burger,,43.0,68.0,37.0,13.0,4.0,1380.0,245.0,800.0,18.0,1.0,0.5666666666666668,2.041666666666667,1.396103896103896,1.4375000000000002,1.85,3.49,2.25
Big Hamburger,,18.0,56.0,25.0,13.0,3.0,870.0,50.0,480.0,8.0,0.5,0.7777777777777778,0.6944444444444445,0.974025974025974,1.5104166666666667,2.0833333333333335,1.49,1.6666666666666667
Double All-Natural Burger,,64.0,62.0,54.0,19.0,3.0,1260.0,165.0,1030.0,22.0,2.0,0.40129449838187703,1.0679611650485439,1.613920060522002,1.0194174757281553,2.0970873786407767,7.99,2.1359223300970873
Double Western Bacon Cheeseburger,,53.0,75.0,52.0,16.0,4.0,1820.0,140.0,990.0,24.0,2.0,0.5050505050505051,0.9427609427609428,1.390528663255936,1.531986531986532,2.1010101010101008,2.49,2.4242424242424243
Famous Star with Cheese,,37.0,57.0,28.0,13.0,3.0,1210.0,75.0,670.0,13.0,1.0,0.5671641791044777,0.746268656716418,1.4343865090133747,1.5049751243781095,1.671641791044776,2.79,1.9402985074626864
Kid's Cheeseburger,,15.0,34.0,14.0,7.0,1.0,810.0,40.0,330.0,7.0,0.5,0.6868686868686869,0.8080808080808082,1.1806375442739079,2.0454545454545454,1.696969696969697,1.79,2.1212121212121215
Kid's Hamburger,,10.0,33.0,11.0,7.0,1.0,540.0,25.0,270.0,3.5,0.5,0.8148148148148148,0.6172839506172839,0.962000962000962,1.6666666666666667,1.6296296296296298,1.49,1.2962962962962963
Single All-Natural Burger,,44.0,62.0,31.0,19.0,3.0,990.0,90.0,760.0,13.0,1.0,0.543859649122807,0.7894736842105263,1.5037593984962405,1.0855263157894737,1.6315789473684212,4.99,1.710526315789474
Super Star with Cheese,,56.0,59.0,48.0,14.0,3.0,1540.0,140.0,930.0,23.0,2.0,0.4229390681003585,1.0035842293906811,1.5640273704789835,1.3799283154121864,2.064516129032258,4.39,2.4731182795698925
Teriyaki Burger,,29.0,65.0,28.0,20.0,3.0,1060.0,70.0,630.0,11.0,1.0,0.6878306878306878,0.7407407407407407,1.1956297670583385,1.402116402116402,1.777777777777778,7.99,1.746031746031746
The 1/2 lb. Guacamole Bacon Thickburger,,89.0,57.0,43.0,14.0,4.0,1910.0,160.0,1210.0,31.0,3.0,0.3140495867768595,0.8815426997245179,1.9104862080068692,1.315426997245179,1.4214876033057853,6.59,2.56198347107438
The 1/2 lb. Jalapeno Thickburger,,80.0,55.0,39.0,13.0,3.0,1760.0,150.0,1100.0,28.0,3.0,0.33333333333333337,0.9090909090909091,1.8890200708382525,1.3333333333333335,1.4181818181818182,5.79,2.5454545454545454
The 1/2 lb. Low Carb Thickburger,,56.0,9.0,33.0,5.0,1.0,1310.0,140.0,670.0,24.0,3.0,0.08955223880597016,1.3930348258706469,2.1709633649932156,1.6293532338308458,1.9701492537313434,6.29,3.582089552238806
The 1/2 lb. Mile High Bacon Thickburger,,88.0,56.0,53.0,14.0,3.0,2290.0,195.0,1230.0,33.0,3.0,0.30352303523035234,1.056910569105691,1.8583042973286876,1.5514905149051492,1.7235772357723578,6.29,2.682926829268293
The 1/2 lb. Original Six Dollar Thickburger,,72.0,62.0,40.0,20.0,3.0,1820.0,150.0,1050.0,27.0,3.0,0.3936507936507937,0.9523809523809523,1.7810760667903527,1.4444444444444446,1.523809523809524,5.79,2.571428571428571
The 1/2 lb. Western Bacon Thickburger,,69.0,74.0,44.0,17.0,3.0,2150.0,145.0,1090.0,28.0,3.0,0.45259938837920494,0.8868501529051989,1.6442273323007268,1.643730886850153,1.614678899082569,6.29,2.5688073394495414
The 1/3 lb. Guacamole Bacon Thickburger,,68.0,56.0,32.0,13.0,4.0,1720.0,110.0,990.0,19.0,2.0,0.37710437710437716,0.7407407407407407,1.7840745113472385,1.4478114478114479,1.2929292929292928,5.29,1.9191919191919191
The 1/3 lb. Jalapeno Thickburger,,58.0,54.0,28.0,12.0,3.0,1620.0,100.0,880.0,17.0,2.0,0.4090909090909091,0.7575757575757576,1.7119244391971664,1.5340909090909092,1.2727272727272725,4.59,1.9318181818181817
The 1/3 lb. Low Carb Thickburger,,34.0,9.0,22.0,5.0,1.0,1060.0,85.0,450.0,13.0,1.5,0.13333333333333333,1.2592592592592593,1.9624819624819625,1.962962962962963,1.9555555555555557,5.29,2.888888888888889
The 1/3 lb. Mile High Bacon Thickburger,,67.0,56.0,42.0,13.0,3.0,2030.0,140.0,1010.0,22.0,2.0,0.36963696369636967,0.9240924092409242,1.723029445801723,1.674917491749175,1.6633663366336635,5.29,2.178217821782178
The 1/3 lb. Original Six Dollar Thickburger,,51.0,62.0,29.0,19.0,3.0,1560.0,95.0,830.0,16.0,2.0,0.497991967871486,0.7630522088353413,1.5959943670787045,1.566265060240964,1.3975903614457832,4.59,1.9277108433734942
The 1/3 lb. Western Bacon Thickburger,,47.0,74.0,33.0,17.0,3.0,1890.0,95.0,870.0,17.0,2.0,0.5670498084291188,0.7279693486590039,1.4031945066427824,1.810344827586207,1.5172413793103448,5.29,1.9540229885057472
The Big Carl,,58.0,56.0,47.0,12.0,3.0,1380.0,140.0,920.0,23.0,2.0,0.4057971014492754,1.0144927536231885,1.6374929418407678,1.25,2.0434782608695654,3.99,2.5
Western Bacon Cheeseburger,,34.0,74.0,33.0,16.0,4.0,1500.0,75.0,730.0,14.0,1.0,0.6757990867579909,0.684931506849315,1.2097491549546344,1.7123287671232879,1.808219178082192,6.59,1.9178082191780823
Guacamole Turkey Burger,,19.0,44.0,32.0,9.0,3.0,1000.0,85.0,480.0,6.0,0.0,0.611111111111111,1.1805555555555556,1.028138528138528,1.7361111111111114,2.6666666666666665,7.99,1.25
Jalapeno Turkey Burger,,22.0,43.0,31.0,9.0,3.0,1150.0,90.0,500.0,6.0,0.0,0.5733333333333334,1.2,1.1428571428571428,1.9166666666666665,2.48,2.19,1.2
Teriyaki Turkey Burger,,14.0,56.0,32.0,19.0,3.0,1120.0,85.0,480.0,5.0,0.0,0.7777777777777778,1.1805555555555556,0.7575757575757576,1.9444444444444446,2.6666666666666665,2.19,1.0416666666666665
Turkey Burger,,22.0,45.0,29.0,10.0,3.0,960.0,80.0,490.0,4.5,0.0,0.6122448979591837,1.0884353741496597,1.1661807580174925,1.6326530612244898,2.36734693877551,2.49,0.9183673469387756
Bacon Swiss Crispy Chicken Sandwich,,42.0,64.0,38.0,13.0,4.0,1850.0,95.0,780.0,11.0,0.5,0.5470085470085471,0.811965811965812,1.3986013986013988,1.9764957264957266,1.9487179487179487,5.55,1.4102564102564104
Beer-Battered Cod Fish Sandwich,,19.0,74.0,21.0,12.0,3.0,1140.0,45.0,550.0,3.5,0.0,0.8969696969696971,0.5454545454545455,0.8972845336481701,1.7272727272727273,1.5272727272727273,3.69,0.6363636363636364
