Item,Price
"Ultimate Pepperoni Feast (Hand Tossed, Thin Crust or Brooklyn Style) Large (14')",$15.99
Ultimate Pepperoni Feast (Brooklyn Style) X-Large (16'),$17.99
Ultimate Pepperoni Feast (Gluten Free Crust) Small (10'),$14.99
Boneless Chicken 8 Pc.,$5.99
Boneless Chicken 14 Pc.,$9.99
Boneless Chicken 40 Pc.,$25.99
Wings 8 Pc.,$6.49
Wings 14 Pc.,$10.99
Wings 40 Pc.,$25.99
Specialty Chicken - Crispy Bacon & Tomato 12 Pc.,$5.99
Specialty Chicken - Classic Hot Buffalo 12 Pc.,$5.99
Specialty Chicken - Spicy Jalapeno - Pineapple 12 Pc.,$5.99
Specialty Chicken - Sweet BBQ Bacon 12 Pc.,$5.99
Italian Sausage & Peppers ,$5.99
Buffalo Chicken ,$5.99
Chicken Habanero ,$5.99
Mediterranean Veggie ,$5.99
Philly Cheese Steak ,$5.99
Chicken Bacon Ranch ,$5.99
Italian ,$5.99
Chicken Parm ,$5.99
Chicken Alfredo (Dish) ,$5.99
Chicken Alfredo (Bread Bowl) ,$6.99
Italian Sausage Marinara (Dish) ,$5.99
Italian Sausage Marinara (Bread Bowl) ,$6.99
Chicken Carbonara (Dish) ,$6.99
Chicken Carbonara (Bread Bowl) ,$7.99
Pasta Primavera (Dish) ,$6.99
Pasta Primavera (Bread Bowl) ,$7.99
Build Your Own Pasta (Dish) ,$6.99
Build Your Own Pasta (Bread Bowl) ,$7.99
Stuffed Cheesy Bread 8 Pc.,$5.99
Stuffed Cheesy Bread with Spinach & Feta 8 Pc.,$5.99
Stuffed Cheesy Bread with Bacon & Jalapeno 8 Pc.,$5.99
Parmesan Bread Bites 16 Pc.,$2.99
Parmesan Bread Bites 32 Pc.,$5.00
Breadsticks 8 Pc.,$4.99
Classic Garden Salad ,$6.49
Chicken Apple Pecan Salad ,$6.49
Chicken Caesar Salad ,$6.49
Lay's Classic Potato Chips ,$0.75
Doritos Nacho Cheese Tortilla Chips ,$0.75
Coke 20 oz.,$1.79
Coke 2 Liter,$2.99
Coke Zero 20 oz.,$1.79
Coke Zero 2 Liter,$2.99
Diet Coke 20 oz.,$1.79
Diet Coke 2 Liter,$2.99
Sprite 20 oz.,$1.79
Sprite 2 Liter,$2.99
Pibb Xtra 20 oz.,$1.79
Dasani Water 20 oz.,$1.79
Orange 20 oz.,$1.79
Orange 2 Liter,$2.99
Domino's Marbled Cookie Brownie 9 Pc.,$6.49
Cinna Stix 8 Pc.,$4.99
Chocolate Lava Crunch Cake 2 Pc.,$4.99
Kicker Hot Sauce Cup,$0.59
Sweet Mango Habanero Sauce Cup,$0.59
BBQ Sauce Cup,$0.59
Ranch Cup,$0.59
Blue Cheese Cup,$0.59
Garlic Dipping Sauce Cup,$0.59
Icing Dipping Sauce Cup,$0.59
Marinara Dipping Sauce Cup,$0.59
Creamy Caesar Dressing Bag,$0.59
Golden Italian Dressing Bag,$0.59
Garden Ranch Bag,$0.59
Fat-Free Raspberry or Balsamic Vinaigrette Bag,$0.59
Red Pepper Seasoning Flakes ,$0.99
Grated Parmesan Cheese ,$0.99
