Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
"French Fries, Value (Salted)",89,10,31,3,0,2,330,0,220,1.5,0,0.939393939,0,1.180637544,1.25,0.090909091
"Garden Chicken Salad with Crispy Chicken, No Dressing",287,25,31,25,4,3,930,75,440,7,0,0.46969697,1.136363636,1.47579693,1.761363636,0.378787879
"Garden Chicken Salad with Grilled Chicken, No Dressing",313,15,16,39,4,7,770,100,340,6,0,0.31372549,1.960784314,1.145912911,1.887254902,0.764705882
"Garden Side Salad, No Dressing",99,4,3,4,2,1,95,10,60,2.5,0,0.333333333,1.111111111,1.731601732,1.319444444,0.444444444
"Onion Rings, Large",142,25,64,5,7,5,1310,0,500,4.5,0,0.853333333,0,1.298701299,2.183333333,0.066666667
"Onion Rings, Medium",117,21,53,4,5,4,1080,0,410,3.5,0,0.861788618,0,1.33037694,2.195121951,0.06504065
"Onion Rings, Small",91,16,41,3,4,3,840,0,320,3,0,0.854166667,0,1.298701299,2.1875,0.0625
"Bacon, Egg & Cheese Biscuit",152,26,29,13,3,1,1270,170,400,13,0,0.483333333,2.833333333,1.688311688,2.645833333,0.216666667
BK Ultimate Breakfast Platter,487,70,122,29,33,5,2550,380,1230,23,0.5,0.661246612,2.059620596,1.4781966,1.727642276,0.157181572
"Croissan'wich Bacon, Egg & Cheese",132,21,30,14,4,1,760,170,370,9,0,0.540540541,3.063063063,1.474201474,1.711711712,0.252252252
Croissan'wich Egg & Cheese,125,18,29,12,4,1,610,160,340,8,0,0.568627451,3.137254902,1.375095493,1.495098039,0.235294118
"Croissan'wich Ham, Egg & Cheese",156,19,30,17,5,1,1030,175,370,8,0,0.540540541,3.153153153,1.333801334,2.31981982,0.306306306
"Croissan'wich Sausage, Egg & Cheese",169,33,30,19,4,1,930,195,500,13,0,0.4,2.6,1.714285714,1.55,0.253333333
Egg-Normous Burrito,371,57,68,38,5,7,2460,375,940,20,1,0.482269504,2.659574468,1.575020724,2.180851064,0.269503546
"French Toast Sticks, 5 Piece",109,18,49,5,13,2,430,0,380,3,0,0.859649123,0,1.230348599,0.942982456,0.087719298
Fully Loaded Biscuit,238,45,31,28,4,1,2190,225,640,20,0,0.322916667,2.34375,1.826298701,2.8515625,0.291666667
Fully Loaded Croissan'wich,218,40,31,28,5,1,1680,225,610,17,0.5,0.338797814,2.459016393,1.703214818,2.295081967,0.306010929
"Ham, Egg, & Cheese Biscuit",176,24,29,17,3,1,1550,175,400,12,0,0.483333333,2.916666667,1.558441558,3.229166667,0.283333333
