Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
"Bacon, Egg & Cheese Sourdough",170.0,23.0,46.0,23.0,6.0,2.0,1260.0,155.0,490.0,8.0,0.0,0.6258503401360545,2.108843537414966,1.2191889742910151,2.1428571428571432,0.3129251700680272
"Bacon, Egg & Cheese Wrap",178.0,27.0,42.0,20.0,5.0,4.0,1370.0,160.0,500.0,10.0,0.0,0.56,2.1333333333333333,1.4025974025974026,2.2833333333333337,0.26666666666666666
Bacon Biscuit,104.0,17.0,36.0,10.0,3.0,1.0,1180.0,15.0,340.0,10.0,0.0,0.7058823529411765,0.29411764705882354,1.2987012987012987,2.8921568627450984,0.19607843137254902
Chicken Biscuit,134.0,18.0,44.0,13.0,2.0,2.0,1250.0,15.0,390.0,9.0,0.0,0.7521367521367521,0.25641025641025644,1.1988011988011988,2.670940170940171,0.22222222222222224
French Toast Sticks,128.0,10.0,57.0,7.0,13.0,5.0,250.0,0.0,350.0,1.5,0.0,1.0857142857142859,0.0,0.7421150278293135,0.5952380952380952,0.13333333333333333
Ham & Egg w/Biscuit Platter,275.0,29.0,50.0,23.0,5.0,2.0,1830.0,265.0,570.0,12.0,0.0,0.5847953216374269,3.0994152046783627,1.3214855320118477,2.675438596491228,0.2690058479532164
Ham & Swiss Croissant,119.0,17.0,29.0,16.0,4.0,1.0,910.0,70.0,340.0,10.0,0.0,0.5686274509803922,1.3725490196078431,1.2987012987012987,2.230392156862745,0.3137254901960784
"Ham, Egg & Cheese Biscuit",203.0,25.0,39.0,21.0,5.0,1.0,1830.0,165.0,470.0,12.0,0.0,0.5531914893617021,2.3404255319148937,1.3815971262779774,3.24468085106383,0.29787234042553196
"Ham, Egg & Cheese Croissant",169.0,23.0,30.0,21.0,5.0,1.0,1120.0,195.0,420.0,11.0,0.5,0.47619047619047616,3.0952380952380953,1.4223871366728509,2.2222222222222223,0.33333333333333337
"Ham, Egg & Cheese Sourdough",200.0,19.0,47.0,26.0,6.0,2.0,1370.0,165.0,470.0,6.0,0.0,0.6666666666666667,2.3404255319148937,1.0500138159712629,2.4290780141843973,0.36879432624113473
"Ham, Egg & Cheese Wrap",184.0,22.0,42.0,17.0,5.0,4.0,1280.0,160.0,440.0,8.0,0.0,0.6363636363636365,2.4242424242424243,1.2987012987012987,2.4242424242424243,0.25757575757575757
Ham Biscuit,140.0,16.0,37.0,13.0,4.0,1.0,1420.0,30.0,340.0,9.0,0.0,0.7254901960784315,0.5882352941176471,1.2223071046600458,3.4803921568627456,0.25490196078431376
Sausage & Cheese Croissant,123.0,35.0,28.0,15.0,3.0,1.0,940.0,80.0,490.0,16.0,0.0,0.38095238095238093,1.0884353741496597,1.8552875695732838,1.598639455782313,0.20408163265306123
Sausage & Egg with Biscuit Platter,279.0,46.0,50.0,22.0,4.0,3.0,1860.0,275.0,720.0,18.0,0.0,0.462962962962963,2.5462962962962963,1.6594516594516593,2.152777777777778,0.2037037037037037
