Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Cinnamon Roll,170g,25g,100g,13g,47g,3g,660mg,95mg,670,12g,0g,$2.79
Cobblestone,197g,12g,102g,11g,56g,3g,500mg,60mg,560,7g,0g,$2.69
Coconut Macaroon,,7g,17g,1g,14g,2g,65mg,0mg,140,6g,0g,0
Cranberry Orange Muffin,,19g,71g,6g,40g,2g,400mg,65mg,480,3g,0g,$2.19
Double Fudge Brownie,,22g,80g,6g,58g,4g,250mg,40mg,520,11g,0g,0
French Croissant,71g,18g,32g,6g,7g,1g,260mg,60mg,310,11g,0g,$2.29
Kitchen Sink Cookie,,44g,97g,8g,54g,3g,770mg,90mg,800,28g,1g,$2.49
Lemon Drop Cookie,,20g,61g,5g,33g,1g,270mg,70mg,440,13g,0.5g,$1.99
Oatmeal Raisin Cookie with Berries,,13g,54g,4g,32g,2g,170mg,50mg,340,7g,0g,$1.99
Orange Mini Scone,,7g,27g,3g,12g,1g,270mg,25mg,180,4.5g,0g,0
Orange Scone,,20g,80g,9g,37g,2g,810mg,75mg,540,13g,0.5g,$2.59
Pastry Ring,73g,13g,31g,3g,18g,1g,170mg,40mg,250,8g,0g,$8.79
Pecan Braid,106g,26g,52g,8g,23g,2g,280mg,50mg,470,13g,0g,$2.69
Pecan Roll,159g,46g,69g,11g,32g,5g,400mg,70mg,720,14g,0g,$2.69
Petite Chocolate Chipper,,4.5g,13g,1g,8g,0g,75mg,10mg,100,3g,0g,$4.99
Pumpkin Cookie,,22g,64g,4g,37g,1g,230mg,55mg,460,14g,0.5g,0
Pumpkin Muffie,84g,11g,45g,3g,26g,1g,240mg,15mg,290,2g,0g,$1.59
Pumpkin Muffin,170g,22g,90g,7g,52g,2g,480mg,30mg,580,4g,0g,$2.19
Raspberry Almond Thumbprint Cookie,,14g,25g,2g,10g,1g,95mg,35mg,230,8g,0.5g,$2.59
Triple Berry Mini Scone,,6g,22g,2g,11g,0g,240mg,20mg,150,4g,0g,0
Triple Berry Scone,,15g,58g,6g,29g,1g,620mg,55mg,390,10g,0g,0
Triple Chocolate Cookie with Walnuts,,13g,53g,5g,44g,6g,125mg,10mg,320,6g,0g,$2.69
Wild Blueberry Mini Scone,,6g,21g,3g,9g,1g,300mg,25mg,150,4g,0g,0
Wild Blueberry Scone,113g,19g,64g,8g,26g,1g,900mg,70mg,460,12g,0.5g,$2.59
