,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
617,"Iced Tea Sweetened, Large",,0g,36g,0g,34g,0g,10mg,0mg,140,0g,0g,$3.99
618,"Iced Tea Sweetened, Medium",,0g,27g,0g,25g,0g,5mg,0mg,110,0g,0g,$3.59
619,"Iced Tea Sweetened, Small",,0g,18g,0g,17g,0g,0mg,0mg,70,0g,0g,$2.99
620,"Iced Tea Sweetened Blueberry Flavored Tea, Large",,0g,39g,0g,34g,0g,10mg,0mg,160,0g,0g,0
621,"Iced Tea Sweetened Blueberry Flavored Tea, Medium",,0g,29g,0g,25g,0g,5mg,0mg,120,0g,0g,0
622,"Iced Tea Sweetened Blueberry Flavored Tea, Small",,0g,20g,0g,17g,0g,0mg,0mg,80,0g,0g,0
623,"Iced Tea Sweetened Raspberry Flavored, Large",,0g,40g,0g,34g,0g,10mg,0mg,160,0g,0g,0
624,"Iced Tea Sweetened Raspberry Flavored, Medium",,0g,29g,0g,25g,0g,5mg,0mg,120,0g,0g,0
625,"Iced Tea Sweetened Raspberry Flavored, Small",,0g,20g,0g,17g,0g,0mg,0mg,80,0g,0g,0
626,"Iced Tea Unsweetened, Large",,0g,2g,0g,0g,0g,10mg,0mg,10,0g,0g,0
627,"Iced Tea Unsweetened, Medium",,0g,2g,0g,0g,0g,5mg,0mg,5,0g,0g,0
628,"Iced Tea Unsweetened, Small",,0g,1g,0g,0g,0g,0mg,0mg,5,0g,0g,0
629,"Iced Tea Unsweetened Blueberry Flavored Tea, Large",,0g,6g,0g,0g,0g,10mg,0mg,25,0g,0g,0
630,"Iced Tea Unsweetened Blueberry Flavored Tea, Medium",,0g,4g,0g,0g,0g,5mg,0mg,15,0g,0g,0
631,"Iced Tea Unsweetened Blueberry Flavored Tea, Small",,0g,3g,0g,0g,0g,0mg,0mg,10,0g,0g,0
632,"Iced Tea Unsweetened Raspberry Flavored, Large",,0g,6g,0g,0g,0g,10mg,0mg,25,0g,0g,0
633,"Iced Tea Unsweetened Raspberry Flavored, Medium",,0g,4g,0g,0g,0g,5mg,0mg,20,0g,0g,0
634,"Iced Tea Unsweetened Raspberry Flavored, Small",,0g,3g,0g,0g,0g,0mg,0mg,10,0g,0g,0
635,"Sweet Tea, Large",,0g,80g,0g,78g,0g,10mg,0mg,310,0g,0g,$2.29
636,"Sweet Tea, Medium",,0g,60g,0g,58g,0g,5mg,0mg,230,0g,0g,$1.89
637,"Sweet Tea, Small",,0g,40g,0g,39g,0g,5mg,0mg,160,0g,0g,$1.59
638,"Sweet Tea Blueberry Flavored, Large",,0g,87g,0g,81g,0g,10mg,0mg,340,0g,0g,0
639,"Sweet Tea Blueberry Flavored, Medium",,0g,65g,0g,60g,0g,5mg,0mg,250,0g,0g,$3.19
640,"Sweet Tea Blueberry Flavored, Small",,0g,43g,0g,40g,0g,5mg,0mg,170,0g,0g,0
641,"Sweet Tea Raspberry Flavored, Large",,0g,87g,0g,81g,0g,10mg,0mg,340,0g,0g,0
642,"Sweet Tea Raspberry Flavored, Medium",,0g,65g,0g,60g,0g,5mg,0mg,250,0g,0g,0
643,"Sweet Tea Raspberry Flavored, Small",,0g,43g,0g,40g,0g,5mg,0mg,170,0g,0g,0
644,Milk Chocolate Hot Cocoa K-Cup Pod,,3g,10g,1g,7g,1g,210mg,0mg,70,2.5g,0g,0
645,Kolache,,18g,41g,20g,12g,1g,500mg,40mg,370,6g,0g,0
646,Kosher Belgian Waffle Breakfast Sandwich with Maple Sugar Bacon,,22g,43g,18g,14g,2g,1140mg,190mg,440,6g,0g,0
647,Kosher Big n' Toasted,,36g,44g,25g,3g,2g,1290mg,340mg,610,10g,0g,0
648,Kosher Dunkin' Double Veggie Sausage Sandwich,,18g,74g,37g,7g,6g,1460mg,180mg,600,6g,0g,0
649,Kosher Egg & Cheese Wake Up Wrap,,10g,14g,7g,1g,0g,410mg,95mg,170,4g,0g,0
650,Kosher Egg White and Cheese on an English Muffin,,6g,37g,15g,4g,1g,740mg,15mg,270,3g,0g,0
651,Kosher Grilled Cheese (Regional),,23g,36g,17g,3g,0g,840mg,55mg,420,12g,0g,0
652,Kosher Grilled Cheese with Veggie Bacon (Regional),,27g,38g,19g,3g,1g,1080mg,55mg,480,12g,0g,0
653,Kosher Maple Sugar Bacon Breakfast Sandwich,,39g,50g,18g,11g,3g,1050mg,180mg,630,14g,0g,0
654,Kosher Maple Sugar Bacon Wake-Up Wrap,,14g,19g,9g,4g,1g,650mg,95mg,240,4.5g,0g,0
655,Kosher Tuna Melt on a Croissant,,34g,43g,22g,6g,2g,600mg,45mg,570,14g,0g,$3.69
656,Kosher Tuna Salad on a Plain Bagel,,9g,69g,21g,6g,5g,840mg,20mg,440,1g,0g,$3.49
657,Kosher Veggie Bacon and Veggie Sausage Croissant Sandwich,,37g,46g,25g,6g,3g,1070mg,180mg,620,14g,0g,$3.09
658,Kosher Veggie Bacon and Veggie Sausage Wake-Up Wrap,,13g,17g,12g,1g,1g,660mg,95mg,240,4.5g,0g,0
659,Kosher Veggie Bacon Egg and Cheese on a Plain Bagel,,17g,68g,21g,6g,5g,1190mg,180mg,510,5g,0g,0
660,Kosher Veggie Bacon Wake-Up Wrap,,12g,15g,8g,1g,1g,530mg,95mg,200,4.5g,0g,0
661,Kosher Veggie Sausage Egg and Cheese on a Croissant,,33g,44g,23g,6g,2g,840mg,180mg,570,13g,0g,0
662,Kosher Veggie Sausage Wake-Up Wrap,,11g,16g,11g,1g,1g,540mg,95mg,210,4g,0g,0
663,Blueberry Muffin,,15g,76g,6g,43g,2g,390mg,60mg,460,3g,0g,0
664,Chocolate Chip Muffin,,21g,83g,7g,50g,2g,400mg,60mg,550,6g,0g,0
665,Coffee Cake Muffin,,24g,87g,7g,51g,2g,420mg,65mg,590,8g,0g,0
666,Corn Muffin,,16g,72g,7g,30g,1g,680mg,65mg,460,3g,0g,$5.99
667,Pumpkin Muffin,,24g,77g,6g,40g,2g,400mg,50mg,550,5g,0g,0
668,Butternut Munchkin,,3.5g,12g,1g,8g,0g,50mg,5mg,90,2g,0g,0
669,Cinnamon Munchkin,,3.5g,7g,1g,2g,0g,50mg,5mg,60,1.5g,0g,0
670,Glazed Blueberry Munchkin,,3.5g,9g,1g,5g,0g,70mg,5mg,70,1.5g,0g,0
671,Glazed Chocolate Munchkin,,3.5g,8g,1g,4g,0g,95mg,0mg,70,1.5g,0g,0
672,Glazed Munchkin,,4g,7g,1g,3g,0g,80mg,0mg,70,2g,0g,0
673,Glazed Old Fashioned Munchkin,,3.5g,9g,1g,4g,0g,50mg,5mg,70,1.5g,0g,0
674,Jelly Munchkin,,4g,9g,1g,4g,0g,85mg,0mg,70,2g,0g,$8.99
675,Old Fashioned Munchkin,,3.5g,6g,1g,2g,0g,50mg,5mg,60,1.5g,0g,0
676,Powdered Munchkin,,3.5g,7g,1g,3g,0g,50mg,5mg,60,1.5g,0g,0
677,Pumpkin Munchkin,,4g,9g,1g,4g,0g,80mg,5mg,70,2g,0g,0
678,Multigrain Brown Sugar Oatmeal with Dried Fruit Topping,,2g,66g,5g,35g,7g,250mg,0mg,310,0g,0g,0
679,Biscuit,,14g,32g,5g,2g,1g,640mg,10mg,270,9g,0g,0
680,English Muffin,,2g,34g,6g,3g,1g,250mg,0mg,180,0g,0g,0
681,Gluten Free Fudge Brownie,,16g,48g,3g,34g,2g,240mg,60mg,350,2g,0g,0
682,Plain Croissant,,18g,38g,6g,6g,0g,250mg,0mg,340,8g,0g,$1.49
683,Pretzel Bites with Mustard,,2g,35g,7g,1g,1g,1430mg,0mg,190,0.5g,0g,0
684,All You Can Meat Breakfast Sandwich,,56g,42g,31g,7g,1g,1540mg,235mg,800,21g,0g,$3.99
685,All You Can Meat Wake-Up Wrap,,23g,15g,15g,1g,1g,920mg,125mg,330,8g,0g,0
686,"Bacon, Egg & Cheese on a Plain Bagel",,18g,66g,23g,6g,4g,1170mg,185mg,520,6g,0g,$5.79
687,"Bacon, Egg & Cheese on Croissant",,35g,41g,19g,6g,1g,800mg,185mg,560,14g,0g,$3.49
