,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
45,Veggie Lover's® - Small Hand Tossed Slice,69.2g,4g,17g,5g,1g,1g,230mg,10mg,120,1.5g,0g,0
46,Backyard BBQ Chicken - Small Thin 'N Crispy® Slice,53.1g,3.5g,17g,6g,5g,1g,270mg,15mg,130,1.5g,0g,0
47,Buffalo Chicken - Small Thin 'N Crispy® Slice,52.9g,3g,16g,5g,2g,1g,400mg,10mg,110,1.5g,0g,0
48,Cheese - Small Thin 'N Crispy® Slice,48.4g,3.5g,13g,5g,2g,1g,250mg,10mg,110,2g,0g,0
49,Chicken-Bacon Parmesan - Small Thin 'N Crispy® Slice,57.5g,6g,13g,7g,2g,1g,280mg,15mg,130,2.5g,0g,0
50,Hawaiian Chicken - Small Thin 'N Crispy® Slice,59.2g,3g,14g,6g,2g,1g,280mg,15mg,110,1.5g,0g,0
51,Meat Lover's® - Small Thin 'N Crispy® Slice,60.6g,8g,13g,7g,2g,1g,380mg,20mg,150,3.5g,0g,0
52,Pepperoni - Small Thin 'N Crispy® Slice,46.8g,4.5g,13g,5g,2g,1g,270mg,15mg,110,2g,0g,$15.49
53,Pepperoni Lover's® - Small Thin 'N Crispy® Slice,54.5g,6g,13g,6g,2g,1g,330mg,20mg,140,3g,0g,$15.49
54,Supreme - Small Thin 'N Crispy® Slice,60.8g,5g,14g,6g,2g,1g,290mg,15mg,120,2.5g,0g,$15.49
55,Ultimate Cheese Lover's® - Small Thin 'N Crispy® Slice,49.8g,6g,13g,6g,2g,1g,270mg,15mg,130,2.5g,0g,0
56,Veggie Lover's® - Small Thin 'N Crispy® Slice,61.3g,3g,14g,4g,2g,1g,250mg,10mg,100,1.5g,0g,0
57,Backyard BBQ Chicken - Medium Original Pan Slice,109.3g,10g,33g,11g,6g,2g,450mg,25mg,270,4g,0g,0
58,Buffalo Chicken - Medium Original Pan Slice,111.9g,9g,31g,11g,2g,2g,680mg,20mg,240,3.5g,0g,0
59,Cheese - Medium Original Pan Slice,105.7g,10g,28g,11g,1g,2g,450mg,25mg,250,4.5g,0g,0
60,Chicken-Bacon Parmesan - Medium Original Pan Slice,114.6g,13g,27g,12g,1g,2g,470mg,30mg,270,4.5g,0g,0
61,Hawaiian Chicken - Medium Original Pan Slice,118.6g,9g,29g,11g,2g,2g,490mg,25mg,240,3.5g,0g,0
62,Meat Lover's® - Medium Original Pan Slice,123.2g,17g,28g,13g,1g,2g,660mg,35mg,320,6g,0g,0
63,Pepperoni - Medium Original Pan Slice,101.3g,11g,28g,10g,1g,2g,470mg,25mg,250,4.5g,0g,0
64,Pepperoni Lover's® - Medium Original Pan Slice,116.6g,15g,28g,13g,1g,2g,580mg,35mg,300,6g,0g,0
65,Supreme - Medium Original Pan Slice,121.1g,13g,29g,11g,2g,2g,500mg,25mg,270,5g,0g,0
66,Ultimate Cheese Lover's® - Medium Original Pan Slice,106.6g,13g,27g,12g,1g,2g,470mg,25mg,270,5g,0g,0
67,Veggie Lover's® - Medium Original Pan Slice,120.3g,9g,29g,9g,2g,2g,420mg,15mg,230,3.5g,0g,0
68,Backyard BBQ Chicken - Medium Hand Tossed Slice,97.8g,7g,31g,10g,6g,2g,390mg,20mg,220,3g,0g,0
69,Buffalo Chicken - Medium Hand Tossed Slice,97.1g,5g,28g,9g,1g,2g,560mg,20mg,200,2.5g,0g,$15.49
70,Cheese - Medium Hand Tossed Slice,93.6g,8g,26g,10g,1g,2g,390mg,20mg,210,3.5g,0g,0
71,Chicken-Bacon Parmesan - Medium Hand Tossed Slice,103.3g,9g,25g,11g,1g,2g,410mg,25mg,230,4g,0g,0
72,Hawaiian Chicken - Medium Hand Tossed Slice,108.9g,6g,27g,10g,2g,2g,440mg,20mg,200,3g,0g,0
73,Meat Lover's® - Medium Hand Tossed Slice,113.2g,15g,26g,12g,1g,2g,610mg,35mg,280,6g,0g,0
