,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
0,"Better for You, Chicken Fajita Pita made with Whole Grain without Salsa",220g,12g,35g,23g,3g,4g,1000mg,55mg,340,6g,0g,0
1,"Better for You, Chicken Teriyaki Bowl",,6g,134g,27g,35g,5g,1910mg,40mg,690,1g,0g,0
2,"Better for You, Chiquita Apple Bites with Caramel Dip",76g,0g,17g,0g,13g,2g,55mg,0mg,70,0g,0g,0
3,"Better for You, Grilled Chicken Salad",372g,9g,13g,30g,6g,5g,750mg,80mg,250,4.5g,0g,0
4,"Better for You, Jr. Jumbo Jack",150g,26g,33g,14g,6g,2g,560mg,30mg,420,7g,1g,0
5,Bacon & Egg Chicken Sandwich,240g,39g,37g,37g,1g,2g,1630mg,300mg,650,11g,0.5g,$6.69
6,Brunch Burger,215g,55g,32g,37g,3g,2g,730mg,320mg,770,22g,2g,0
7,Brunchfast Mini Pancakes,71g,1.5g,28g,4g,6g,1g,350mg,0mg,140,0g,0g,0
8,Homestyle Potatoes,165g,12g,34g,4g,1g,3g,580mg,0mg,260,2.5g,0g,0
9,Orange & Cranberry Mini Muffins,75g,16g,34g,4g,20g,1g,300mg,60mg,300,3g,0g,0
10,Southwest Scrambler Plate with Bacon,307g,28g,38g,23g,3g,4g,1380mg,325mg,500,9g,0g,$8.00
11,Southwest Scrambler Plate with Sausage,327g,38g,38g,21g,2g,4g,1230mg,340mg,580,12g,0g,$3.99
12,Bacon & Swiss Buttery Jack,240g,59g,48g,42g,11g,3g,1350mg,145mg,890,25g,2g,$7.29
13,Bacon Ultimate Cheeseburger,272g,65g,32g,55g,6g,1g,1590mg,165mg,930,25g,3g,$7.29
14,Cheeseburger,123g,21g,32g,16g,5g,1g,780mg,35mg,380,8g,1g,$1.59
15,Classic Buttery Jack,270g,52g,50g,37g,12g,4g,1150mg,130mg,820,23g,1.5g,$7.29
16,Double Jack,319g,58g,34g,46g,7g,2g,1130mg,140mg,830,22g,3g,0
17,Hamburger,111g,18g,32g,14g,5g,1g,570mg,25mg,340,5g,1g,$3.29
18,Jr. Bacon Cheeseburger,129g,31g,32g,19g,5g,1g,860mg,45mg,480,10g,1g,$1.49
19,Jr. Jumbo Jack,150g,26g,33g,14g,6g,2g,560mg,30mg,420,7g,1g,$1.39
20,Jr. Jumbo Jack Cheeseburger,161g,29g,33g,16g,6g,2g,760mg,40mg,460,9g,1g,0
21,Jumbo Jack,223g,33g,32g,23g,6g,2g,580mg,60mg,520,10g,1.5g,$2.59
22,Jumbo Jack Cheeseburger,245g,40g,33g,28g,6g,2g,990mg,80mg,600,14g,1.5g,$5.99
23,Sourdough Jack,227g,45g,39g,35g,7g,3g,1180mg,95mg,700,15g,1.5g,$6.89
24,Spicy Sriracha Burger,247g,45g,38g,33g,6g,3g,1330mg,90mg,680,14g,1.5g,$6.89
25,Ultimate Cheeseburger,253g,59g,31g,47g,5g,1g,1180mg,150mg,840,23g,3g,$6.89
26,Chicken Fajita Pita made with Whole Grain without Salsa,244g,12g,36g,24g,4g,4g,1120mg,55mg,350,6g,0g,$6.99
27,Chicken Fajita Pita made with Whole Grain with Salsa,220g,12g,35g,23g,3g,4g,1000mg,55mg,340,6g,0g,0
28,Chicken Nuggets (5 pc.),77g,17g,13g,9g,0g,1g,600mg,25mg,240,2g,0g,$1.59
