,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
527,"16"" Extra Large Brooklyn Pizza, Mushrooms",31g,0g,1g,1g,1g,0g,0mg,0mg,5,0g,0g,0
528,"16"" Extra Large Brooklyn Pizza, Onions",19g,0g,2g,0g,1g,0g,0mg,0mg,10,0g,0g,0
529,"16"" Extra Large Brooklyn Pizza, Pepperoni",16g,6g,0g,3g,0g,0g,310mg,15mg,70,2.5g,0g,0
530,"16"" Extra Large Brooklyn Pizza, Philly Meat",24g,2g,1g,3g,0g,0g,270mg,10mg,35,1g,0g,0
531,"16"" Extra Large Brooklyn Pizza, Pineapple",31g,0g,5g,0g,5g,0g,0mg,0mg,20,0g,0g,0
532,"16"" Extra Large Brooklyn Pizza, Pizza Sauce",38g,0g,4g,1g,3g,1g,200mg,0mg,20,0g,0g,0
533,"16"" Extra Large Brooklyn Pizza, Provolone",17g,4g,1g,3g,0g,0g,140mg,15mg,50,2.5g,0g,0
534,"16"" Extra Large Brooklyn Pizza, Regular Cheese",47g,10g,3g,9g,0g,1g,400mg,40mg,140,6g,0g,0
535,"16"" Extra Large Brooklyn Pizza, Roasted Red Pepper",19g,0g,1g,0g,1g,0g,55mg,0mg,5,0g,0g,0
536,"16"" Extra Large Brooklyn Pizza, Salami",16g,5g,0g,3g,0g,0g,280mg,15mg,60,2g,0g,0
537,"16"" Extra Large Brooklyn Pizza, Sausage",31g,11g,0g,4g,0g,0g,200mg,15mg,120,4g,0g,$17.99
538,"16"" Extra Large Brooklyn Pizza, Shredded Parmesan",12g,3.5g,1g,4g,0g,0g,95mg,10mg,45,2g,0g,0
539,"16"" Extra Large Brooklyn Pizza, Spinach",12g,0g,0g,0g,0g,0g,10mg,0mg,5,0g,0g,0
540,"Buffalo Chicken Hand Tossed Pizza, Large",134g,15g,35g,17g,2g,1g,890mg,45mg,340,8g,0g,$15.99
541,"Buffalo Chicken Hand Tossed Pizza, Medium",101g,12g,26g,13g,2g,1g,670mg,35mg,260,6g,0g,$13.99
542,"Buffalo Chicken Hand Tossed Pizza, Small",94g,11g,25g,11g,1g,1g,660mg,30mg,240,5g,0g,$14.99
543,"Buffalo Chicken Hand Tossed Pizza, XLarge",174g,19g,46g,21g,3g,2g,1150mg,60mg,450,10g,0.5g,$17.99
544,"Cali Chicken Bacon Ranch Hand Tossed Pizza, Large",148g,20g,36g,17g,2g,2g,880mg,50mg,400,7g,0g,$15.99
545,"Cali Chicken Bacon Ranch Hand Tossed Pizza, Medium",110g,15g,26g,13g,2g,1g,660mg,40mg,300,5g,0g,$13.99
546,"Cali Chicken Bacon Ranch Hand Tossed Pizza, Small",99g,13g,25g,12g,1g,1g,600mg,35mg,270,4.5g,0g,$14.99
547,"Cali Chicken Bacon Ranch Hand Tossed Pizza, XLarge",192g,26g,47g,22g,3g,2g,1150mg,65mg,520,9g,0.5g,$17.99
548,"Deluxe Hand Tossed Pizza, Large",146g,13g,37g,12g,3g,2g,670mg,25mg,320,5g,0g,$15.99
549,"Deluxe Hand Tossed Pizza, Medium",106g,10g,27g,9g,2g,2g,490mg,20mg,230,4g,0g,$15.49
550,"Deluxe Hand Tossed Pizza, Small",98g,9g,25g,9g,2g,1g,460mg,15mg,220,3.5g,0g,$11.99
551,"Deluxe Hand Tossed Pizza, XLarge",191g,17g,48g,16g,4g,3g,890mg,35mg,410,7g,0g,$17.99
552,"ExtravaganZZa Hand Tossed Pizza, Large",178g,18g,38g,17g,3g,2g,970mg,40mg,390,7g,0g,$15.99
553,"ExtravaganZZa Hand Tossed Pizza, Medium",129g,13g,28g,12g,2g,2g,710mg,30mg,280,5g,0g,$13.99
554,"ExtravaganZZa Hand Tossed Pizza, Small",118g,12g,26g,11g,2g,2g,650mg,30mg,260,5g,0g,$14.99
555,"ExtravaganZZa Hand Tossed Pizza, XLarge",235g,24g,50g,22g,4g,3g,1310mg,55mg,510,10g,0.5g,$17.99
556,"Honolulu Hawaiian Hand Tossed Pizza, Large",146g,13g,38g,15g,4g,2g,830mg,35mg,330,6g,0g,$17.99
557,"Honolulu Hawaiian Hand Tossed Pizza, Medium",107g,10g,28g,11g,3g,1g,610mg,30mg,240,4g,0g,$13.99
558,"Honolulu Hawaiian Hand Tossed Pizza, Small",99g,9g,26g,10g,3g,1g,560mg,25mg,230,4g,0g,$11.99
559,"Honolulu Hawaiian Hand Tossed Pizza, Xlarge",192g,16g,49g,19g,6g,3g,1090mg,50mg,430,7g,0g,0
560,"MeatZZa Hand Tossed Pizza, Large",155g,17g,37g,16g,3g,2g,930mg,40mg,370,7g,0g,$15.99
561,"MeatZZa Hand Tossed Pizza, Medium",113g,13g,27g,12g,2g,1g,680mg,30mg,270,5g,0g,$13.99
562,"MeatZZa Hand Tossed Pizza, Small",106g,12g,26g,11g,2g,1g,630mg,30mg,260,5g,0g,$11.99
563,"MeatZZa Hand Tossed Pizza, XLarge",204g,23g,48g,22g,4g,3g,1250mg,55mg,490,10g,0.5g,$17.99
564,"Memphis BBQ Chicken Hand Tossed Pizza, Large",141g,14g,39g,17g,6g,2g,660mg,40mg,350,7g,0g,$15.99
565,"Memphis BBQ Chicken Hand Tossed Pizza, Medium",105g,10g,29g,12g,4g,1g,490mg,30mg,260,5g,0g,$13.99
566,"Memphis BBQ Chicken Hand Tossed Pizza, Small",94g,9g,27g,11g,3g,1g,430mg,25mg,240,4g,0g,$14.99
567,"Memphis BBQ Chicken Hand Tossed Pizza, XLarge",183g,17g,52g,21g,7g,2g,850mg,55mg,450,9g,0.5g,$17.99
568,"Pacific Veggie Hand Tossed Pizza, Large",151g,11g,37g,13g,3g,2g,660mg,30mg,310,5g,0g,$15.99
569,"Pacific Veggie Hand Tossed Pizza, Medium",110g,8g,27g,10g,2g,2g,490mg,20mg,230,4g,0g,$13.99
570,"Pacific Veggie Hand Tossed Pizza, Small",98g,8g,25g,9g,2g,1g,430mg,20mg,210,3.5g,0g,$14.99
571,"Pacific Veggie Hand Tossed Pizza, XLarge",194g,14g,48g,17g,4g,3g,840mg,35mg,390,7g,0g,$17.99
572,"Philly Cheese Steak Hand Tossed Pizza, Large",130g,13g,35g,14g,2g,2g,730mg,35mg,310,6g,0g,$15.99
573,"Philly Cheese Steak Hand Tossed Pizza, Medium",97g,10g,26g,10g,2g,1g,570mg,25mg,230,5g,0g,$13.99
574,"Philly Cheese Steak Hand Tossed Pizza, Small",90g,9g,25g,10g,2g,1g,520mg,25mg,220,4.5g,0g,$14.99
575,"Philly Cheese Steak Hand Tossed Pizza, XLarge",169g,16g,46g,17g,3g,2g,930mg,45mg,400,8g,0.5g,$17.99
576,"Spinach & Feta Hand Tossed Pizza, Large",127g,14g,35g,14g,1g,2g,610mg,35mg,320,7g,0g,$2.99
577,"Spinach & Feta Hand Tossed Pizza, Medium",93g,10g,26g,10g,1g,1g,450mg,25mg,240,5g,0g,$15.49
578,"Spinach & Feta Hand Tossed Pizza, Small",86g,9g,24g,10g,1g,1g,410mg,25mg,220,4.5g,0g,$11.99
579,"Spinach & Feta Hand Tossed Pizza, XLarge",164g,17g,46g,18g,2g,2g,770mg,45mg,410,9g,0.5g,$17.99
580,"Ultimate Pepperoni Hand Tossed Pizza, Large",139g,17g,36g,16g,3g,2g,890mg,45mg,370,8g,0g,$15.99
581,"Ultimate Pepperoni Hand Tossed Pizza, Medium",102g,13g,26g,12g,2g,1g,660mg,30mg,270,6g,0g,$13.99
582,"Ultimate Pepperoni Hand Tossed Pizza, Small",95g,12g,25g,11g,2g,1g,610mg,30mg,250,5g,0g,$14.99
583,"Ultimate Pepperoni Hand Tossed Pizza, XLarge",183g,22g,47g,21g,4g,2g,1180mg,55mg,480,10g,0.5g,$17.99
584,"Wisconsin 6 Cheese Hand Tossed Pizza, Large",135g,14g,36g,16g,3g,2g,690mg,35mg,340,7g,0g,$15.99
585,"Wisconsin 6 Cheese Hand Tossed Pizza, Medium",100g,11g,27g,12g,2g,1g,520mg,30mg,250,5g,0g,$15.49
586,"Wisconsin 6 Cheese Hand Tossed Pizza, Small",90g,9g,25g,10g,2g,1g,450mg,20mg,220,4.5g,0g,$11.99
587,"Wisconsin 6 Cheese Hand Tossed Pizza, XLarge",178g,18g,48g,20g,4g,2g,910mg,50mg,440,9g,0.5g,$17.99
588,Buffalo Chicken Sandwich,174g,21g,37g,22g,2g,2g,1270mg,60mg,420,8g,1g,$5.99
589,Chicken Bacon Ranch Sandwich,157g,22g,36g,24g,2g,1g,1140mg,65mg,440,8g,0g,$5.99
590,Chicken Parm Sandwich,161g,15g,37g,25g,2g,2g,1000mg,60mg,380,8g,0g,$4.99
591,Extra Cheese for Sandwich,11g,3g,0g,3g,0g,0g,95mg,10mg,40,1.5g,0g,0
592,Extra Chicken for Sandwich,23g,2.5g,1g,5g,0g,0g,140mg,15mg,45,1g,0g,0
593,Extra Italian Meat for Sandwich,19g,4.5g,0g,4g,0g,0g,320mg,15mg,60,1.5g,0g,0
594,Extra Philly Meat for Sandwich,18g,1.5g,1g,3g,0g,0g,200mg,10mg,30,0.5g,0g,0
595,Italian Sandwich,163g,20g,36g,22g,2g,2g,1380mg,55mg,410,9g,0.5g,$5.99
596,Mediterranean Veggie Sandwich,167g,14g,38g,18g,3g,2g,1110mg,40mg,350,8g,0g,$5.99
597,Philly Cheese Steak Sandwich,153g,12g,37g,17g,3g,2g,1130mg,40mg,320,6g,0g,$5.99
598,Sweet & Spicy Chicken Habanero Sandwich,173g,16g,42g,23g,7g,1g,1020mg,60mg,400,8g,0g,0
599,Chicken Alfredo in Bread Bowl,298g,25g,91g,25g,4g,3g,970mg,55mg,690,10g,1g,$6.99
600,Chicken Alfredo in Dish,326g,30g,60g,27g,4g,2g,1020mg,105mg,620,17g,1g,$1.79
601,Chicken Carbonara in Bread Bowl,319g,28g,92g,27g,4g,3g,1120mg,65mg,730,11g,1g,$7.99
602,Chicken Carbonara in Dish,369g,35g,63g,32g,5g,2g,1320mg,125mg,690,18g,1g,$6.99
603,Italian Sausage Marinara in Bread Bowl,326g,27g,96g,25g,9g,5g,1280mg,35mg,730,9g,1g,$6.99
604,Italian Sausage Marinara in Dish,383g,34g,70g,28g,14g,6g,1620mg,70mg,690,14g,1g,$5.99
605,Pasta Primavera in Bread Bowl,303g,24g,91g,19g,4g,3g,860mg,35mg,660,10g,1g,$7.99
