Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
"Barq's Root Beer, Large",,0g,122g,0g,122g,0g,180mg,0mg,450,0g,0g,0
"Barq's Root Beer, Medium",,0g,98g,0g,98g,0g,150mg,0mg,360,0g,0g,0
"Barq's Root Beer, Small",,0g,61g,0g,61g,0g,90mg,0mg,220,0g,0g,0
"Brewed Unsweetened Iced Tea, Large",,0g,2g,0g,0g,0g,25mg,0mg,5,0g,0g,0
"Brewed Unsweetened Iced Tea, Medium",,0g,1g,0g,0g,0g,15mg,0mg,0,0g,0g,0
"Brewed Unsweetened Iced Tea, Small",,0g,1g,0g,0g,0g,10mg,0mg,0,0g,0g,0
"Caramel Iced Coffee, Medium",,8g,40g,3g,36g,0g,45mg,25mg,240,5g,0g,0
"Caramel Iced Coffee, Small",,6g,26g,2g,24g,0g,30mg,20mg,160,3.5g,0g,0
"Coca-Cola, Large",,0g,109g,0g,109g,0g,90mg,0mg,400,0g,0g,0
"Coca-Cola, Medium",,0g,87g,0g,87g,0g,70mg,0mg,320,0g,0g,0
"Coca-Cola, Small",,0g,54g,0g,54g,0g,45mg,0mg,200,0g,0g,0
"Coca-Cola Zero Sugar, Large",,0g,1g,0g,0g,0g,100mg,0mg,0,0g,0g,0
"Coca-Cola Zero Sugar, Medium",,0g,1g,0g,0g,0g,80mg,0mg,0,0g,0g,0
"Coca-Cola Zero Sugar, Small",,0g,0g,0g,0g,0g,50mg,0mg,0,0g,0g,0
"Diet Coke, Large",,0g,1g,0g,0g,0g,125mg,0mg,0,0g,0g,0
"Diet Coke, Medium",,0g,1g,0g,0g,0g,100mg,0mg,0,0g,0g,0
"Diet Coke, Small",,0g,0g,0g,0g,0g,45mg,0mg,0,0g,0g,0
"Dr Pepper, Large",,0g,66g,0g,64g,0g,70mg,0mg,240,0g,0g,0
"Dr Pepper, Medium",,0g,53g,0g,51g,0g,55mg,0mg,190,0g,0g,0
"Dr Pepper, Small",,0g,33g,0g,32g,0g,35mg,0mg,120,0g,0g,0
"Fanta Orange, Large",,0g,117g,0g,115g,0g,110mg,0mg,430,0g,0g,0
"Fanta Orange, Medium",,0g,94g,0g,92g,0g,85mg,0mg,340,0g,0g,0
"Fanta Orange, Small",,0g,59g,0g,58g,0g,55mg,0mg,210,0g,0g,0
"Hi-C Flashin' Fruit Punch, Large",,0g,115g,0g,113g,0g,140mg,0mg,420,0g,0g,0
"Hi-C Flashin' Fruit Punch, Medium",,0g,92g,0g,90g,0g,115mg,0mg,340,0g,0g,0
"Hi-C Flashin' Fruit Punch, Small",,0g,58g,0g,56g,0g,70mg,0mg,210,0g,0g,0
"Honest Tropical Green Tea, Large",,0g,29g,0g,29g,0g,55mg,0mg,110,0g,0g,$2.69
"Honest Tropical Green Tea, Medium",,0g,22g,0g,22g,0g,40mg,0mg,90,0g,0g,$2.29
"Honest Tropical Green Tea, Small",,0g,14g,0g,14g,0g,25mg,0mg,60,0g,0g,$1.99
Hot Tea,,0g,1g,0g,0g,0g,0mg,0mg,0,0g,0g,0
"Limeade, Large",,0g,117g,0g,111g,0g,55mg,0mg,460,0g,0g,$1.39
"Limeade, Medium",,0g,98g,0g,93g,0g,45mg,0mg,380,0g,0g,0
"Limeade, Small",,0g,59g,0g,56g,0g,30mg,0mg,230,0g,0g,0
"Minute Maid Light Lemonade, Large",,0g,2g,0g,0g,0g,10mg,0mg,15,0g,0g,0
"Minute Maid Light Lemonade, Medium",,0g,1g,0g,0g,0g,10mg,0mg,10,0g,0g,0
"Minute Maid Light Lemonade, Small",,0g,1g,0g,0g,0g,5mg,0mg,5,0g,0g,0
"Mocha Iced Coffee, Medium",,8g,32g,3g,28g,0g,40mg,25mg,210,5g,0g,0
"Mocha Iced Coffee, Small",,6g,28g,2g,25g,0g,30mg,20mg,170,3.5g,0g,0
"Pear Berry Fruit Tea, Large",,0g,82g,0g,76g,0g,60mg,0mg,320,0g,0g,$0.99
"Pear Berry Fruit Tea, Medium",,0g,76g,0g,70g,0g,50mg,0mg,300,0g,0g,0
"Pear Berry Fruit Tea, Small",,0g,44g,0g,40g,0g,30mg,0mg,170,0g,0g,0
"Skinny Vanilla Iced Coffee, Medium",,8g,14g,3g,0g,0g,45mg,25mg,100,5g,0g,$2.49
"Skinny Vanilla Iced Coffee, Small",,5g,6g,2g,0g,0g,30mg,15mg,70,3.5g,0g,$1.79
"Small Sprite, Small",,0g,53g,0g,53g,0g,90mg,0mg,200,0g,0g,$4.00
"Sprite, Large",,0g,105g,0g,105g,0g,180mg,0mg,390,0g,0g,$1.10
"Sprite, Medium",,0g,84g,0g,84g,0g,140mg,0mg,310,0g,0g,$0.60
"Strawberry Lemonade, Large",,0g,121g,0g,114g,0g,55mg,0mg,480,0g,0g,$3.19
"Strawberry Lemonade, Medium",,0g,98g,0g,92g,0g,45mg,0mg,380,0g,0g,$2.69
"Strawberry Lemonade, Small",,0g,58g,0g,54g,0g,30mg,0mg,230,0g,0g,$2.29
"Strawberry Sweet Tea, Large",,0g,69g,0g,67g,0g,15mg,0mg,270,0g,0g,0
"Strawberry Sweet Tea, Medium",,0g,60g,0g,59g,0g,15mg,0mg,240,0g,0g,0
"Strawberry Sweet Tea, Small",,0g,36g,0g,35g,0g,10mg,0mg,140,0g,0g,0
"Strawberry Tea, Large",,0g,22g,0g,20g,0g,20mg,0mg,90,0g,0g,0
"Strawberry Tea, Medium",,0g,16g,0g,14g,0g,15mg,0mg,60,0g,0g,0
"Strawberry Tea, Small",,0g,11g,0g,10g,0g,10mg,0mg,45,0g,0g,0
"Sweetened Iced Tea, Large",,0g,77g,0g,75g,0g,25mg,0mg,300,0g,0g,$2.19
"Sweetened Iced Tea, Medium",,0g,58g,0g,56g,0g,20mg,0mg,220,0g,0g,$1.89
