Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Bacon & Cheese Whopper Sandwich,303g,51g,50g,35g,11g,2g,1560mg,125mg,790,17g,2g,$1.19
BBQ Bacon Whopper Sandwich,303g,51g,53g,35g,14g,2g,1540mg,125mg,800,17g,2g,0
Double Whopper Sandwich,354g,58g,49g,48g,11g,2g,1050mg,175mg,900,20g,3g,$7.59
Double Whopper Sandwich with Cheese,377g,64g,50g,52g,11g,2g,1410mg,195mg,980,24g,3g,0
Triple Whopper Sandwich with Cheese,461g,82g,50g,71g,11g,2g,1470mg,280mg,1220,32g,4.5g,$6.99
Whopper Jr. Sandwich,134g,18g,27g,13g,7g,1g,390mg,40mg,310,5g,0.5g,$5.29
Whopper Sandwich,270g,40g,49g,28g,11g,2g,980mg,90mg,660,12g,1.5g,$6.49
Whopper Sandwich with Cheese,292g,46g,50g,32g,11g,2g,1340mg,115mg,740,16g,2g,0
Bacon Cheeseburger,118g,16g,27g,17g,7g,1g,710mg,55mg,320,7g,0.5g,$1.69
Bacon Double Cheeseburger,155g,24g,27g,25g,7g,1g,740mg,90mg,420,10g,1.5g,$2.29
Bacon King Jr. Sandwich,175g,38g,27g,29g,6g,1g,1050mg,115mg,570,15g,1.5g,0
Bacon King Sandwich,356g,79g,49g,61g,10g,2g,2150mg,240mg,1150,31g,3.5g,$3.89
Cheeseburger,111g,13g,27g,15g,7g,1g,560mg,45mg,280,6g,0.5g,$3.99
Double Cheeseburger,148g,21g,27g,23g,7g,1g,590mg,85mg,390,9g,1.5g,$4.49
Double Hamburger,136g,18g,26g,21g,6g,1g,410mg,70mg,350,7g,1g,$1.09
Double Quarter Pound King Sandwich,338g,54g,50g,56g,11g,2g,1740mg,210mg,900,25g,3g,0
Extra Long Cheeseburger,226g,37g,45g,29g,9g,2g,1050mg,100mg,630,14g,1.5g,$6.09
Hamburger,99g,10g,26g,13g,6g,1g,380mg,35mg,240,3.5g,0.5g,$3.99
Rodeo King Sandwich,385g,82g,69g,60g,14g,3g,2270mg,230mg,1250,31g,3.5g,0
Single Quarter Pound King Sandwich,231g,29g,49g,32g,10g,2g,1310mg,105mg,580,13g,1.5g,0
