Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Grilled Chicken Cool Wrap,,13g,30g,40g,3g,0g,1030mg,65mg,360,4g,0g,$4.85
Grilled Chicken Sandwich,,6g,36g,29g,7g,3g,820mg,55mg,310,2g,0g,$8.35
"Grilled Nuggets, 4-Count",,2g,1g,13g,0g,0g,220mg,35mg,70,0g,0g,$3.75
"Grilled Nuggets, 6-Count",,2.5g,2g,19g,0g,0g,330mg,50mg,110,0g,0g,$4.65
"Grilled Nuggets, 8-Count",,3.5g,2g,25g,0g,0g,440mg,70mg,140,0g,0g,0
"Grilled Nuggets, 12-Count",,5g,3g,38g,1g,0g,670mg,100mg,210,0g,0g,0
Spicy Deluxe Sandwich,,25g,43g,34g,6g,2g,1760mg,80mg,540,8g,0g,$6.79
Spicy Sandwich,,19g,41g,30g,5g,1g,1620mg,60mg,450,4g,0g,0
Cobb Salad,,28g,28g,40g,6g,6g,1360mg,150mg,510,7g,0g,$7.19
Grilled Market Salad,,14g,27g,27g,13g,6g,680mg,60mg,330,3.5g,0g,$7.19
Honey Peppercorn Salad,,30g,53g,39g,27g,0g,1410mg,100mg,630,7g,0g,0
Spicy Southwest Salad,,19g,37g,34g,8g,10g,1070mg,75mg,450,4g,0g,0
"Chicken Noodle Soup, Large",,4.5g,35g,22g,5g,4g,2000mg,55mg,240,0g,0g,$5.15
"Chicken Noodle Soup, Small",,2.5g,18g,12g,2g,2g,1040mg,30mg,130,0g,0g,0
"Fruit Cup, Large",,0g,20g,0g,15g,4g,0mg,0mg,80,0g,0g,$4.25
"Fruit Cup, Medium",,0g,12g,0g,9g,2g,0mg,0mg,50,0g,0g,$2.75
Side Salad,,11g,12g,6g,3g,3g,180mg,15mg,160,3g,0g,$7.19
"Superfood Side, Large",,9g,25g,4g,18g,3g,250mg,0mg,190,0g,0g,$3.89
"Superfood Side, Small",,9g,18g,3g,12g,2g,180mg,0mg,150,0g,0g,0
"Waffle Potato Fries, Large",,24g,56g,6g,0g,7g,370mg,0mg,460,0g,0g,$1.65
"Waffle Potato Fries, Medium",,18g,43g,5g,0g,5g,280mg,0mg,360,0g,0g,$2.65
"Waffle Potato Fries, Small",,14g,33g,4g,0g,4g,220mg,0mg,280,0g,0g,$1.55
Chocolate Chunk Cookie,,14g,45g,4g,27g,2g,230mg,15mg,330,8g,0g,$6.69
"Chocolate Milkshake, Large",,26g,108g,15g,103g,1g,480mg,85mg,710,15g,0g,0
"Chocolate Milkshake, Small",,22g,81g,12g,78g,1g,380mg,70mg,550,13g,0g,0
"Cookies & Cream Milkshake, Large",,31g,94g,16g,89g,1g,510mg,85mg,660,15g,0g,$3.15
"Cookies & Cream Milkshake, Small",,25g,73g,12g,69g,1g,400mg,70mg,520,13g,0g,$2.75
"Frosted Coffee, Large",,7g,51g,8g,48g,0g,200mg,25mg,300,4g,0g,0
"Frosted Coffee, Small",,6g,41g,7g,38g,0g,160mg,20mg,240,3.5g,0g,0
Frosted Lemonade,,6g,65g,6g,63g,0g,160mg,20mg,330,3.5g,0g,$9.50
Frosted Lemonade made with Diet Lemonade,,6g,41g,6g,39g,0g,160mg,20mg,240,3.5g,0g,$2.09
