,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
153,"Sausage Gravy Biscuit, Double",522g,56g,96g,18g,5g,3g,3540mg,35mg,970,27g,0g,0
154,Arby's Melt,146g,12g,39g,18g,5g,2g,940mg,35mg,330,4g,0.5g,$1.59
155,Arby-Q,182g,11g,58g,18g,23g,3g,1250mg,30mg,400,3.5g,0.5g,0
156,Ham & Swiss Melt,131g,8g,37g,18g,6g,2g,1060mg,35mg,300,3.5g,0g,$1.59
157,"Homestyle Fries, Cheddar Cheese Sauce Adds",43g,3.5g,4g,1g,0g,0g,370mg,0mg,50,0.5g,0g,0
158,"Homestyle Fries, Kids",85g,11g,33g,3g,0g,3g,550mg,0mg,240,1.5g,0g,0
159,"Homestyle Fries, Large",213g,26g,84g,7g,0g,7g,1380mg,0mg,600,3.5g,0g,$1.99
160,"Homestyle Fries, Medium",170g,21g,67g,5g,0g,6g,1100mg,0mg,480,3g,0g,$1.79
161,"Homestyle Fries, Small",126g,16g,49g,4g,0g,4g,810mg,0mg,350,2g,0g,$1.59
162,"Homestyle Fries, Spicy Three Pepper Sauce Adds",14g,1g,3g,0g,3g,0g,130mg,0mg,25,0g,0g,0
163,Super Roast Beef,210g,19g,43g,23g,11g,3g,1080mg,50mg,440,6g,1g,$1.59
