,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
110,"Dr Pepper, 16 oz",,0g,72g,0g,72g,0g,80mg,0mg,250,0g,0g,0
111,"Dr Pepper, 22 oz",,0g,52g,0g,52g,0g,60mg,0mg,180,0g,0g,0
112,"Fanta Orange, 16 oz",,0g,84g,0g,84g,0g,95mg,0mg,310,0g,0g,0
113,"Fanta Orange, 22 oz",,0g,63g,0g,63g,0g,70mg,0mg,240,0g,0g,0
114,"Hi-C Flashin' Fruit Punch, 16 oz",,0g,85g,0g,83g,0g,105mg,0mg,310,0g,0g,0
115,"Hi-C Flashin' Fruit Punch, 22 oz",,0g,63g,0g,62g,0g,80mg,0mg,230,0g,0g,0
116,"Mello Yello, 16 oz",,0g,84g,0g,84g,0g,90mg,0mg,310,0g,0g,0
117,"Mello Yello, 22 oz",,0g,63g,0g,63g,0g,65mg,0mg,240,0g,0g,0
118,"Minute Maid Light Lemonade, 16 oz",,0g,0g,0g,0g,0g,80mg,0mg,15,0g,0g,0
119,"Minute Maid Light Lemonade, 22 oz",,0g,0g,0g,0g,0g,60mg,0mg,10,0g,0g,0
120,"POWERADE Mountain Berry Blast, 16 oz",,0g,44g,0g,44g,0g,220mg,0mg,170,0g,0g,0
121,"POWERADE Mountain Berry Blast, 22 oz",,0g,33g,0g,33g,0g,160mg,0mg,130,0g,0g,0
122,Shamrock Farms Lowfat Chocolate Milk,218g,2.5g,26g,7g,23g,1g,170mg,10mg,150,1.5g,0g,0
123,Shamrock Farms Lowfat White Milk,214g,2g,10g,7g,10g,0g,105mg,10mg,90,1.5g,0g,0
124,"Sprite, 16 oz",,0g,77g,0g,77g,0g,130mg,0mg,290,0g,0g,0
125,"Sprite, 22 oz",,0g,58g,0g,58g,0g,100mg,0mg,220,0g,0g,0
126,Bacon & Cheese Croissant,83g,19g,27g,13g,3g,1g,670mg,50mg,330,10g,0g,$2.09
127,Bacon & Egg with Biscuit Platter,244g,32g,49g,23g,4g,3g,1620mg,260mg,590,13g,0g,0
128,"Bacon, Egg & Cheese Biscuit",173g,29g,38g,18g,5g,1g,1720mg,155mg,480,15g,0g,0
129,"Bacon, Egg & Cheese Croissant",139g,27g,29g,18g,5g,1g,1010mg,185mg,440,13g,0.5g,0
130,"Bacon, Egg & Cheese Sourdough",170g,23g,46g,23g,6g,2g,1260mg,155mg,490,8g,0g,0
131,"Bacon, Egg & Cheese Wrap",178g,27g,42g,20g,5g,4g,1370mg,160mg,500,10g,0g,0
132,Bacon Biscuit,104g,17g,36g,10g,3g,1g,1180mg,15mg,340,10g,0g,0
133,Chicken Biscuit,134g,18g,44g,13g,2g,2g,1250mg,15mg,390,9g,0g,$1.29
134,"Coffee, 12 oz",355g,0g,0g,0g,0g,0g,5mg,0mg,0,0g,0g,0
135,"Coffee, 16 oz",474g,0g,0g,0g,0g,0g,10mg,0mg,5,0g,0g,0
136,French Toast Sticks,128g,10g,57g,7g,13g,5g,250mg,0mg,350,1.5g,0g,0
137,Ham & Egg w/Biscuit Platter,275g,29g,50g,23g,5g,2g,1830mg,265mg,570,12g,0g,0
138,Ham & Swiss Croissant,119g,17g,29g,16g,4g,1g,910mg,70mg,340,10g,0g,0
139,"Ham, Egg & Cheese Biscuit",203g,25g,39g,21g,5g,1g,1830mg,165mg,470,12g,0g,0
140,"Ham, Egg & Cheese Croissant",169g,23g,30g,21g,5g,1g,1120mg,195mg,420,11g,0.5g,0
141,"Ham, Egg & Cheese Sourdough",200g,19g,47g,26g,6g,2g,1370mg,165mg,470,6g,0g,0
142,"Ham, Egg & Cheese Wrap",184g,22g,42g,17g,5g,4g,1280mg,160mg,440,8g,0g,0
143,Ham Biscuit,140g,16g,37g,13g,4g,1g,1420mg,30mg,340,9g,0g,0
144,Orange Juice,309g,0g,33g,2g,26g,1g,0mg,0mg,140,0g,0g,0
145,Sausage & Cheese Croissant,123g,35g,28g,15g,3g,1g,940mg,80mg,490,16g,0g,0
146,Sausage & Egg with Biscuit Platter,279g,46g,50g,22g,4g,3g,1860mg,275mg,720,18g,0g,0
147,"Sausage, Egg & Cheese Biscuit",212g,45g,39g,20g,5g,1g,1990mg,185mg,640,20g,0g,0
148,"Sausage, Egg & Cheese Croissant",178g,44g,30g,20g,5g,1g,1280mg,215mg,590,19g,0.5g,0
149,"Sausage, Egg & Cheese Sourdough",210g,39g,47g,25g,6g,2g,1530mg,185mg,640,13g,0g,0
150,"Sausage, Egg & Cheese Wrap",213g,41g,42g,20g,5g,4g,1550mg,185mg,630,15g,0g,0
151,Sausage Biscuit,144g,33g,36g,12g,3g,1g,1450mg,40mg,500,15g,0g,0
152,Sausage Gravy Biscuit,261g,28g,48g,9g,3g,1g,1770mg,20mg,480,13g,0g,0
