Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Bacon & Egg Burrito,,34g,38g,26g,1g,1g,1000mg,375mg,570,18g,0g,0
"Bacon, Egg & Cheese Biscuit (California only)",,28g,38g,15g,3g,2g,1130mg,190mg,470,15g,0g,$4.99
"Bacon, Egg & Cheese Biscuit (outside California)",,30g,38g,15g,3g,3g,1180mg,190mg,480,12g,6g,0
Big Country Breakfast Burrito,,43g,55g,25g,2g,3g,1380mg,370mg,720,18g,0g,$4.49
Biscuit 'N' Gravy (California only),,24g,50g,9g,3g,3g,1320mg,10mg,450,12g,0g,$2.19
Biscuit 'N' Gravy (outside California),,26g,49g,9g,2g,3g,1390mg,10mg,460,7g,7g,$4.19
"Grilled Cheese Breakfast Sandwich, Bacon",,30g,39g,26g,4g,1g,1290mg,215mg,510,15g,0.5g,0
"Grilled Cheese Breakfast Sandwich, Ham",,25g,40g,29g,4g,1g,1650mg,220mg,490,13g,0.5g,$4.00
"Grilled Cheese Breakfast Sandwich, Sausage",,43g,40g,30g,4g,2g,1500mg,235mg,640,19g,0.5g,0
"Hash Brown Nuggets, Large",,37g,52g,5g,0g,5g,710mg,0mg,560,7g,0g,$1.99
"Hash Brown Nuggets, Medium",,26g,36g,3g,0g,4g,490mg,0mg,390,4.5g,0g,$1.59
"Hash Brown Nuggets, Small",,23g,32g,3g,0g,3g,440mg,0mg,350,4g,0g,$1.39
Loaded Breakfast Burrito,,48g,53g,31g,2g,3g,1500mg,395mg,780,22g,0g,$5.19
Made From Scratch Biscuit (California only),,13g,37g,6g,2g,2g,730mg,0mg,290,7g,0g,$3.29
Made From Scratch Biscuit (outside California),,15g,36g,5g,2g,3g,780mg,0mg,300,4g,6g,0
"Mile High Bacon, Egg & Cheese Biscuit (California only)",,45g,42g,29g,5g,2g,1980mg,240mg,680,22g,0g,$3.99
"Mile High Bacon, Egg & Cheese Biscuit (outside California)",,46g,41g,28g,5g,3g,2030mg,240mg,690,19g,6g,$5.69
Monster Biscuit (California only),,58g,41g,30g,4g,2g,1800mg,400mg,800,29g,0.5g,$3.50
Monster Biscuit (outside California),,60g,40g,29g,4g,3g,1850mg,400mg,810,25g,6g,$5.99
"Sausage, Egg & Cheese Biscuit",,42g,39g,20g,3g,2g,1380mg,210mg,620,20g,0g,$2.49
Steak & Egg Burrito,,36g,44g,35g,3g,2g,1730mg,415mg,650,20g,0g,0
The Breakfast Burger,,43g,68g,37g,13g,4g,1380mg,245mg,800,18g,1g,$3.89
Big Hamburger,,18g,56g,25g,13g,3g,870mg,50mg,480,8g,0.5g,$1.49
Double All-Natural Burger,,64g,62g,54g,19g,3g,1260mg,165mg,1030,22g,2g,$10.49
Double Western Bacon Cheeseburger,,53g,75g,52g,16g,4g,1820mg,140mg,990,24g,2g,$2.49
Famous Star with Cheese,,37g,57g,28g,13g,3g,1210mg,75mg,670,13g,1g,0
Kid's Cheeseburger,,15g,34g,14g,7g,1g,810mg,40mg,330,7g,0.5g,$1.79
Kid's Hamburger,,10g,33g,11g,7g,1g,540mg,25mg,270,3.5g,0.5g,0
Single All-Natural Burger,,44g,62g,31g,19g,3g,990mg,90mg,760,13g,1g,$7.49
Super Star with Cheese,,56g,59g,48g,14g,3g,1540mg,140mg,930,23g,2g,0
Teriyaki Burger,,29g,65g,28g,20g,3g,1060mg,70mg,630,11g,1g,0
The 1/2 lb. Guacamole Bacon Thickburger,,89g,57g,43g,14g,4g,1910mg,160mg,1210,31g,3g,0
The 1/2 lb. Jalapeno Thickburger,,80g,55g,39g,13g,3g,1760mg,150mg,1100,28g,3g,0
The 1/2 lb. Low Carb Thickburger,,56g,9g,33g,5g,1g,1310mg,140mg,670,24g,3g,$9.99
The 1/2 lb. Mile High Bacon Thickburger,,88g,56g,53g,14g,3g,2290mg,195mg,1230,33g,3g,0
The 1/2 lb. Original Six Dollar Thickburger,,72g,62g,40g,20g,3g,1820mg,150mg,1050,27g,3g,$8.69
The 1/2 lb. Western Bacon Thickburger,,69g,74g,44g,17g,3g,2150mg,145mg,1090,28g,3g,$8.79
The 1/3 lb. Guacamole Bacon Thickburger,,68g,56g,32g,13g,4g,1720mg,110mg,990,19g,2g,0
The 1/3 lb. Jalapeno Thickburger,,58g,54g,28g,12g,3g,1620mg,100mg,880,17g,2g,$5.69
The 1/3 lb. Low Carb Thickburger,,34g,9g,22g,5g,1g,1060mg,85mg,450,13g,1.5g,$4.59
The 1/3 lb. Mile High Bacon Thickburger,,67g,56g,42g,13g,3g,2030mg,140mg,1010,22g,2g,0
The 1/3 lb. Original Six Dollar Thickburger,,51g,62g,29g,19g,3g,1560mg,95mg,830,16g,2g,$7.09
The 1/3 lb. Western Bacon Thickburger,,47g,74g,33g,17g,3g,1890mg,95mg,870,17g,2g,$9.79
The Big Carl,,58g,56g,47g,12g,3g,1380mg,140mg,920,23g,2g,0
Western Bacon Cheeseburger,,34g,74g,33g,16g,4g,1500mg,75mg,730,14g,1g,0
Guacamole Turkey Burger,,19g,44g,32g,9g,3g,1000mg,85mg,480,6g,0g,0
Jalapeno Turkey Burger,,22g,43g,31g,9g,3g,1150mg,90mg,500,6g,0g,$2.69
Teriyaki Turkey Burger,,14g,56g,32g,19g,3g,1120mg,85mg,480,5g,0g,0
Turkey Burger,,22g,45g,29g,10g,3g,960mg,80mg,490,4.5g,0g,0
Bacon Swiss Crispy Chicken Sandwich,,42g,64g,38g,13g,4g,1850mg,95mg,780,11g,0.5g,$6.29
Beer-Battered Cod Fish Sandwich,,19g,74g,21g,12g,3g,1140mg,45mg,550,3.5g,0g,$5.89
Big Chicken Fillet Sandwich,,35g,62g,32g,11g,4g,1360mg,75mg,680,6g,0g,$5.59
Charbroiled BBQ Chicken Sandwich,,7g,50g,30g,13g,3g,990mg,60mg,390,1.5g,0g,0
Charbroiled Chicken Club Sandwich,,28g,46g,36g,11g,2g,1290mg,90mg,580,8g,0g,$7.79
