Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Sweet Tea, 40 fl oz",N/A,0g,71g,0g,71g,0g,0mg,0mg,240,0g,0g
Tropical Mango Smoothie,N/A,0g,86g,5g,56g,2g,70mg,0mg,370,0g,0g
Vanilla Milk Shake,N/A,15g,98g,14g,85g,0g,420mg,60mg,580,10g,0g
Value Menu Bacon Cheeseburger,118g,16g,27g,17g,7g,1g,710mg,55mg,320,7g,0.5g
Value Menu Bacon Double Cheeseburger,155g,24g,27g,25g,7g,1g,740mg,90mg,420,10g,1.5g
Value Menu Cheeseburger,111g,13g,27g,15g,7g,1g,560mg,45mg,280,6g,0.5g
Value Menu Chicken Nuggets,58g,11g,11g,8g,0g,1g,310mg,25mg,170,1.5g,0g
Value Menu Crispy Chicken Jr.,142g,30g,34g,12g,5g,2g,780mg,30mg,450,5g,0g
Value Menu Double Cheeseburger,148g,21g,27g,23g,7g,1g,590mg,85mg,390,9g,1.5g
Value Menu Rodeo Burger,117g,14g,38g,13g,9g,1g,520mg,35mg,330,4.5g,0.5g
Value Menu Rodeo Crispy Chicken Jr.,154g,16g,55g,13g,14g,2g,860mg,20mg,420,3g,0g
Value Menu Spicy Crispy Chicken Jr.,142g,21g,37g,12g,6g,2g,740mg,30mg,390,3.5g,0g
