Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Bacon & Egg Burrito,N/A,34g,38g,26g,1g,1g,1000mg,375mg,570,18g,0g
"Bacon, Egg & Cheese Biscuit (California only)",N/A,28g,38g,15g,3g,2g,1130mg,190mg,470,15g,0g
"Bacon, Egg & Cheese Biscuit (outside California)",N/A,30g,38g,15g,3g,3g,1180mg,190mg,480,12g,6g
Big Country Breakfast Burrito,N/A,43g,55g,25g,2g,3g,1380mg,370mg,720,18g,0g
Biscuit 'N' Gravy (California only),N/A,24g,50g,9g,3g,3g,1320mg,10mg,450,12g,0g
Biscuit 'N' Gravy (outside California),N/A,26g,49g,9g,2g,3g,1390mg,10mg,460,7g,7g
"Grilled Cheese Breakfast Sandwich, Bacon",N/A,30g,39g,26g,4g,1g,1290mg,215mg,510,15g,0.5g
"Grilled Cheese Breakfast Sandwich, Ham",N/A,25g,40g,29g,4g,1g,1650mg,220mg,490,13g,0.5g
"Grilled Cheese Breakfast Sandwich, Sausage",N/A,43g,40g,30g,4g,2g,1500mg,235mg,640,19g,0.5g
"Hash Brown Nuggets, Large",N/A,37g,52g,5g,0g,5g,710mg,0mg,560,7g,0g
"Hash Brown Nuggets, Medium",N/A,26g,36g,3g,0g,4g,490mg,0mg,390,4.5g,0g
"Hash Brown Nuggets, Small",N/A,23g,32g,3g,0g,3g,440mg,0mg,350,4g,0g
Loaded Breakfast Burrito,N/A,48g,53g,31g,2g,3g,1500mg,395mg,780,22g,0g
Made From Scratch Biscuit (California only),N/A,13g,37g,6g,2g,2g,730mg,0mg,290,7g,0g
Made From Scratch Biscuit (outside California),N/A,15g,36g,5g,2g,3g,780mg,0mg,300,4g,6g
"Mile High Bacon, Egg & Cheese Biscuit (California only)",N/A,45g,42g,29g,5g,2g,1980mg,240mg,680,22g,0g
"Mile High Bacon, Egg & Cheese Biscuit (outside California)",N/A,46g,41g,28g,5g,3g,2030mg,240mg,690,19g,6g
Monster Biscuit (California only),N/A,58g,41g,30g,4g,2g,1800mg,400mg,800,29g,0.5g
Monster Biscuit (outside California),N/A,60g,40g,29g,4g,3g,1850mg,400mg,810,25g,6g
"Sausage, Egg & Cheese Biscuit",N/A,42g,39g,20g,3g,2g,1380mg,210mg,620,20g,0g
Steak & Egg Burrito,N/A,36g,44g,35g,3g,2g,1730mg,415mg,650,20g,0g
The Breakfast Burger,N/A,43g,68g,37g,13g,4g,1380mg,245mg,800,18g,1g
Big Hamburger,N/A,18g,56g,25g,13g,3g,870mg,50mg,480,8g,0.5g
Double All-Natural Burger,N/A,64g,62g,54g,19g,3g,1260mg,165mg,1030,22g,2g
Double Western Bacon Cheeseburger,N/A,53g,75g,52g,16g,4g,1820mg,140mg,990,24g,2g
Famous Star with Cheese,N/A,37g,57g,28g,13g,3g,1210mg,75mg,670,13g,1g
Kid's Cheeseburger,N/A,15g,34g,14g,7g,1g,810mg,40mg,330,7g,0.5g
Kid's Hamburger,N/A,10g,33g,11g,7g,1g,540mg,25mg,270,3.5g,0.5g
