Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Frosted Vanilla Creme Donut,N/A,20g,43g,3g,24g,1g,370mg,0mg,360,9g,0g
Frosted with DD Sprinkles Donut,N/A,16g,35g,3g,15g,1g,340mg,0mg,290,7g,0g
Glazed Blueberry Donut,N/A,16g,44g,4g,22g,1g,370mg,30mg,340,7g,0g
Glazed Chocolate Donut,N/A,19g,38g,3g,17g,1g,420mg,0mg,340,9g,0g
Glazed Chocolate Stick,N/A,25g,42g,4g,20g,2g,540mg,0mg,410,10g,0g
Glazed Donut,N/A,14g,30g,3g,12g,1g,330mg,0mg,260,6g,0g
Glazed Jelly Donut,N/A,14g,42g,3g,24g,1g,350mg,0mg,310,6g,0g
Glazed Jelly Stick,N/A,25g,61g,4g,39g,1g,420mg,30mg,490,11g,0g
Glazed Lemon Donut (Regional),N/A,14g,39g,3g,19g,1g,380mg,0mg,300,6g,0g
Glazed Stick,N/A,25g,43g,4g,21g,1g,370mg,30mg,410,11g,0g
Glazed Strawberry Donut,N/A,14g,43g,3g,23g,1g,350mg,0mg,310,6g,0g
Guava Donut (Regional),N/A,15g,30g,3g,11g,1g,350mg,0mg,270,7g,0g
Jelly Donut,N/A,14g,34g,3g,16g,1g,350mg,0mg,280,6g,0g
Jelly Stick,N/A,25g,52g,4g,32g,1g,410mg,30mg,450,11g,0g
Lemon Donut,N/A,15g,29g,3g,10g,1g,380mg,0mg,260,7g,0g
Lemon Stick,N/A,25g,45g,4g,21g,1g,450mg,30mg,420,11g,0g
Maple Creme Donut,N/A,19g,36g,3g,18g,1g,350mg,0mg,320,8g,0g
Maple Creme Stick,N/A,24g,60g,5g,35g,1g,350mg,0mg,480,11g,0g
Maple Frosted Donut,N/A,15g,32g,3g,14g,1g,340mg,0mg,280,7g,0g
Maple Vanilla Creme Donut,N/A,20g,43g,3g,25g,1g,360mg,0mg,360,9g,0g
Marble Frosted Donut (Regional),N/A,15g,35g,3g,16g,1g,340mg,0mg,290,7g,0g
New Yorker Donut (Regional),N/A,20g,43g,3g,24g,1g,370mg,0mg,360,9g,0g
Old Fashioned Donut,N/A,19g,28g,4g,10g,1g,320mg,25mg,290,8g,0g
Oreo Donut,N/A,24g,58g,4g,34g,2g,440mg,0mg,460,10g,0g
Peanut Donut,N/A,26g,48g,7g,26g,2g,330mg,25mg,450,10g,0g
Plain Stick,N/A,25g,31g,4g,10g,1g,370mg,30mg,370,11g,0g
Powdered Donut,N/A,19g,33g,4g,14g,1g,320mg,25mg,320,9g,0g
Powdered Stick,N/A,25g,37g,4g,15g,1g,370mg,30mg,390,11g,0g
Pumpkin Donut,N/A,19g,39g,3g,19g,1g,380mg,20mg,340,9g,0g
Sour Cream Donut,N/A,17g,47g,4g,26g,1g,330mg,10mg,350,7g,0g
Spider Donut,N/A,19g,42g,4g,19g,1g,430mg,0mg,350,8g,0g
Strawberry Frosted Donut,N/A,15g,32g,3g,14g,1g,340mg,0mg,280,7g,0g
Strawberry Frosted with Sprinkles Donut,N/A,16g,35g,3g,15g,1g,340mg,0mg,290,7g,0g
Strawberry Long John,N/A,17g,43g,5g,17g,1g,310mg,0mg,340,7g,0g
Sugared Donut,N/A,14g,22g,3g,4g,1g,330mg,0mg,230,6g,0g
Sugared Stick,N/A,25g,34g,4g,14g,1g,370mg,30mg,380,11g,0g
Taillight Donut,N/A,18g,39g,3g,20g,1g,360mg,0mg,340,8g,0g
Toasted Coconut Donut,N/A,23g,49g,4g,28g,2g,350mg,25mg,420,12g,0g
Vanilla Creme Donut,N/A,20g,35g,3g,17g,1g,350mg,0mg,330,9g,0g
Vanilla Frosted Donut,N/A,15g,32g,3g,14g,1g,340mg,0mg,280,7g,0g
Vanilla Headlight Donut,N/A,18g,39g,3g,20g,1g,360mg,0mg,330,8g,0g
Vanilla Long John,N/A,17g,43g,5g,17g,1g,310mg,0mg,340,7g,0g
Blue Raspberry Dunkin' Energy Punch Powered by Monster Energy (Regional),N/A,0g,95g,0g,94g,0g,410mg,0mg,390,0g,0g
Strawberry Dunkin' Energy Punch Powered by Monster Energy (Regional),N/A,0g,78g,0g,78g,0g,420mg,0mg,320,0g,0g
"Caramel Swirl Frozen Chocolate, Large",N/A,17g,182g,12g,170g,2g,340mg,30mg,920,12g,1g
"Caramel Swirl Frozen Chocolate, Medium",N/A,13g,137g,9g,127g,1g,250mg,25mg,700,9g,1g
"Caramel Swirl Frozen Chocolate, Small",N/A,10g,96g,6g,89g,1g,170mg,15mg,500,7g,1g
"French Vanilla Swirl Frozen Chocolate, Large",N/A,17g,181g,11g,168g,1g,360mg,30mg,920,12g,1g
"French Vanilla Swirl Frozen Chocolate, Medium",N/A,13g,136g,9g,126g,1g,270mg,25mg,700,9g,1g
"French Vanilla Swirl Frozen Chocolate, Small",N/A,10g,95g,6g,88g,1g,190mg,15mg,500,7g,1g
"Frozen Chocolate, Large",N/A,18g,183g,10g,166g,5g,330mg,25mg,930,13g,1g
"Frozen Chocolate, Medium",N/A,14g,138g,8g,125g,3g,250mg,20mg,700,10g,1g
"Frozen Chocolate, Small",N/A,11g,96g,6g,86g,2g,170mg,15mg,500,7g,1g
"Hazelnut Swirl Frozen Chocolate, Large",N/A,17g,182g,11g,168g,1g,360mg,30mg,920,12g,1g
"Hazelnut Swirl Frozen Chocolate, Medium",N/A,13g,137g,9g,126g,1g,270mg,25mg,700,9g,1g
"Hazelnut Swirl Frozen Chocolate, Small",N/A,10g,96g,6g,88g,1g,190mg,15mg,500,7g,1g
"Maple Pecan Swirl Frozen Chocolate, Large",N/A,17g,178g,11g,165g,1g,360mg,30mg,910,12g,1g
"Maple Pecan Swirl Frozen Chocolate, Medium",N/A,13g,137g,9g,127g,1g,270mg,25mg,700,9g,1g
"Maple Pecan Swirl Frozen Chocolate, Small",N/A,10g,96g,6g,89g,1g,190mg,15mg,500,7g,1g
"Maple Pecan Swirl Frozen Coffee with Cream, Large",N/A,39g,195g,10g,185g,1g,280mg,115mg,1170,21g,2g
"Maple Pecan Swirl Frozen Coffee with Cream, Medium",N/A,30g,150g,8g,142g,1g,210mg,90mg,900,16g,2g
"Maple Pecan Swirl Frozen Coffee with Cream, Small",N/A,21g,105g,6g,99g,0g,140mg,60mg,630,12g,1.5g
"Maple Pecan Swirl Frozen Coffee with Milk, Large",N/A,10g,199g,11g,189g,1g,220mg,30mg,940,6g,1g
"Maple Pecan Swirl Frozen Coffee with Milk, Medium",N/A,8g,153g,8g,145g,1g,170mg,20mg,720,5g,1g
"Maple Pecan Swirl Frozen Coffee with Milk, Small",N/A,7g,107g,6g,100g,0g,115mg,15mg,510,4.5g,1g
"Maple Pecan Swirl Frozen Coffee with Skim Milk, Large",N/A,4.5g,199g,11g,189g,1g,220mg,15mg,890,3g,1g
"Maple Pecan Swirl Frozen Coffee with Skim Milk, Medium",N/A,4g,153g,9g,145g,1g,170mg,10mg,690,2.5g,1g
"Maple Pecan Swirl Frozen Coffee with Skim Milk, Small",N/A,4g,107g,6g,101g,0g,115mg,10mg,490,2.5g,1g
"Pumpkin Swirl Frozen Chocolate, Large",N/A,17g,175g,12g,163g,1g,420mg,25mg,900,12g,1g
"Pumpkin Swirl Frozen Chocolate, Medium",N/A,13g,134g,9g,125g,1g,320mg,20mg,690,10g,1g
"Pumpkin Swirl Frozen Chocolate, Small",N/A,10g,95g,6g,88g,1g,210mg,15mg,500,7g,1g
"Pumpkin Swirl Frozen Coffee with Cream, Large",N/A,39g,192g,11g,183g,1g,330mg,115mg,1180,21g,2g
"Pumpkin Swirl Frozen Coffee with Cream, Medium",N/A,30g,147g,8g,140g,1g,250mg,85mg,890,16g,2g
"Pumpkin Swirl Frozen Coffee with Cream, Small",N/A,21g,103g,6g,98g,0g,170mg,60mg,630,12g,1.5g
"Pumpkin Swirl Frozen Coffee with Milk, Large",N/A,11g,196g,11g,187g,1g,280mg,25mg,930,6g,1g
"Pumpkin Swirl Frozen Coffee with Milk, Medium",N/A,9g,150g,9g,143g,1g,210mg,20mg,720,5g,1g
"Pumpkin Swirl Frozen Coffee with Milk, Small",N/A,7g,105g,6g,99g,0g,140mg,15mg,510,4.5g,1g
"Pumpkin Swirl Frozen Coffee with Skim Milk, Large",N/A,4.5g,196g,12g,187g,1g,280mg,10mg,880,3g,1g
"Pumpkin Swirl Frozen Coffee with Skim Milk, Medium",N/A,4g,150g,9g,143g,1g,210mg,10mg,680,2.5g,1g
"Pumpkin Swirl Frozen Coffee with Skim Milk, Small",N/A,4g,105g,6g,100g,0g,140mg,10mg,490,2.5g,1g
"Caramel Swirl Frozen Coffee with Cream, Large",N/A,39g,199g,11g,190g,1g,250mg,120mg,1180,21g,2g
"Caramel Swirl Frozen Coffee with Cream, Medium",N/A,30g,150g,8g,142g,1g,190mg,90mg,900,16g,2g
"Caramel Swirl Frozen Coffee with Cream, Small",N/A,21g,104g,6g,99g,1g,130mg,60mg,630,12g,1.5g
"Caramel Swirl Frozen Coffee with Skim Milk, Large",N/A,4.5g,203g,12g,194g,1g,200mg,15mg,900,3g,1g
"Caramel Swirl Frozen Coffee with Skim Milk, Medium",N/A,4g,153g,9g,145g,1g,150mg,10mg,680,2.5g,1g
"Caramel Swirl Frozen Coffee with Skim Milk, Small",N/A,4g,106g,6g,101g,1g,100mg,10mg,490,2.5g,1g
"Caramel Swirl Frozen Coffee with Whole Milk, Large",N/A,10g,202g,11g,193g,1g,200mg,30mg,950,6g,1g
"Caramel Swirl Frozen Coffee with Whole Milk, Medium",N/A,8g,152g,8g,145g,1g,150mg,25mg,720,5g,1g
"Caramel Swirl Frozen Coffee with Whole Milk, Small",N/A,7g,106g,6g,100g,1g,100mg,15mg,510,4.5g,1g
"French Vanilla Swirl Frozen Coffee with Cream, Large",N/A,39g,198g,11g,188g,1g,280mg,115mg,1180,21g,2g
"French Vanilla Swirl Frozen Coffee with Cream, Medium",N/A,30g,149g,8g,141g,1g,210mg,90mg,890,16g,2g
