Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Strawberry Milkshake, Small",N/A,21g,85g,12g,77g,1g,380mg,70mg,570,13g,0g
"Vanilla Milkshake, Large",N/A,25g,86g,15g,85g,0g,470mg,85mg,620,15g,0g
"Vanilla Milkshake, Small",N/A,21g,67g,11g,66g,0g,370mg,70mg,500,13g,0g
"Coca-Cola, Large",N/A,0g,69g,0g,69g,0g,25mg,0mg,250,0g,0g
"Coca-Cola, Medium",N/A,0g,47g,0g,47g,0g,15mg,0mg,170,0g,0g
"Coca-Cola, Small",N/A,0g,34g,0g,34g,0g,40mg,0mg,130,0g,0g
"Coffee, Large",N/A,0g,0g,1g,0g,0g,10mg,0mg,5,0g,0g
"Coffee, Medium",N/A,0g,0g,1g,0g,0g,10mg,0mg,5,0g,0g
"Coffee, Small",N/A,0g,0g,0g,0g,0g,5mg,0mg,5,0g,0g
"Diet Coke, Large",N/A,0g,0g,0g,0g,0g,80mg,0mg,0,0g,0g
"Diet Coke, Medium",N/A,0g,0g,0g,0g,0g,5mg,0mg,0,0g,0g
"Diet Coke, Small",N/A,0g,0g,0g,0g,0g,5mg,0mg,0,0g,0g
"Diet Lemonade, Large",N/A,0g,9g,0g,3g,0g,15mg,0mg,30,0g,0g
"Diet Lemonade, Medium",N/A,0g,6g,0g,2g,0g,10mg,0mg,20,0g,0g
"Diet Lemonade, Small",N/A,0g,4g,0g,2g,0g,10mg,0mg,15,0g,0g
"Dr Pepper, Large",N/A,0g,70g,0g,70g,0g,90mg,0mg,260,0g,0g
"Dr Pepper, Medium",N/A,0g,48g,0g,48g,0g,60mg,0mg,180,0g,0g
"Dr Pepper, Small",N/A,0g,35g,0g,35g,0g,45mg,0mg,130,0g,0g
Honest Kids Apple Juice,N/A,0g,9g,0g,9g,0g,15mg,0mg,35,0g,0g
"Lemonade, Large",N/A,0g,90g,0g,85g,0g,15mg,0mg,340,0g,0g
"Lemonade, Medium",N/A,0g,61g,0g,58g,0g,10mg,0mg,230,0g,0g
"Lemonade, Small",N/A,0g,45g,0g,43g,0g,10mg,0mg,170,0g,0g
"Original Iced Coffee, Large",N/A,3g,33g,6g,31g,0g,85mg,10mg,180,2g,0g
"Original Iced Coffee, Small",N/A,2.5g,26g,5g,25g,0g,70mg,10mg,150,1.5g,0g
Simply Orange Juice,N/A,0g,38g,3g,35g,2g,0mg,0mg,160,0g,0g
"Sprite, Large",N/A,0g,65g,0g,57g,0g,55mg,0mg,260,0g,0g
"Sprite, Medium",N/A,0g,44g,0g,39g,0g,40mg,0mg,170,0g,0g
"Sprite, Small",N/A,0g,32g,0g,29g,0g,30mg,0mg,130,0g,0g
"Sweet Iced Tea, Large",N/A,0g,57g,0g,57g,0g,15mg,0mg,220,0g,0g
"Sweet Iced Tea, Medium",N/A,0g,31g,0g,30g,0g,10mg,0mg,120,0g,0g
"Sweet Iced Tea, Small",N/A,0g,24g,0g,24g,0g,5mg,0mg,90,0g,0g
"Unsweetened Iced Tea, Large",N/A,0g,0g,0g,0g,0g,20mg,0mg,0,0g,0g
"Unsweetened Iced Tea, Medium",N/A,0g,0g,0g,0g,0g,10mg,0mg,0,0g,0g
"Unsweetened Iced Tea, Small",N/A,0g,0g,0g,0g,0g,10mg,0mg,0,0g,0g
"Vanilla Iced Coffee, Large",N/A,3g,38g,6g,35g,0g,85mg,10mg,200,2g,0g
"Vanilla Iced Coffee, Small",N/A,2.5g,30g,5g,28g,0g,70mg,10mg,160,1.5g,0g
Avocado Lime Ranch Dressing,N/A,32g,3g,1g,2g,0g,520mg,25mg,310,5g,0g
Chick-fil-A Sauce,N/A,13g,6g,0g,6g,0g,170mg,10mg,140,2g,0g
Chili Lime Vinaigrette Dressing,N/A,0g,9g,0g,7g,1g,390mg,0mg,60,0g,0g
Creamy Salsa Dressing,N/A,31g,3g,1g,1g,0g,640mg,25mg,290,4.5g,0g
