Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
English Muffin without Margarine,N/A,1g,25g,5g,1g,1g,230mg,0mg,130,0g,0g
Everything Hash Browns,N/A,21g,24g,7g,3g,2g,690mg,20mg,310,7g,0g
Gluten Free English Muffin with Margarine,N/A,7g,36g,4g,7g,1g,540mg,0mg,210,0.5g,1g
Gluten Free English Muffin without Margarine,N/A,1.5g,36g,4g,7g,1g,500mg,0mg,180,0g,0g
Grilled Ham Slice,N/A,3g,1g,15g,1g,0g,790mg,20mg,90,1g,0g
Grits with Margarine,N/A,4.5g,12g,1g,0g,1g,40mg,0mg,90,1.5g,0g
Hearty Breakfast Sausage,N/A,31g,5g,14g,1g,0g,840mg,70mg,350,8g,0g
Oatmeal with Milk & Brown Sugar,N/A,2g,45g,7g,16g,4g,45mg,5mg,240,1g,0g
Red-Skinned Potatoes,N/A,8g,26g,4g,0g,3g,580mg,0mg,200,1.5g,0g
Sausage Links,N/A,31g,3g,9g,0g,2g,600mg,60mg,320,11g,0g
Seasonal Fruit Breakfast Side,N/A,0g,27g,1g,19g,3g,5mg,0mg,110,0g,0g
"Toast, Sourdough, with Margarine",N/A,12g,37g,6g,2g,1g,460mg,0mg,280,2.5g,1g
"Toast, Sourdough, without Margarine",N/A,3g,37g,6g,2g,1g,380mg,0mg,210,1g,0g
"Toast, Wheat, with Margarine",N/A,11g,29g,6g,2g,2g,400mg,0mg,230,1.5g,1g
"Toast, Wheat, without",N/A,2g,29g,6g,2g,2g,310mg,0mg,150,0g,0g
"Toast, White, with Margarine",N/A,11g,31g,5g,2g,0g,400mg,0mg,240,2g,1g
"Toast, White, without Margarine",N/A,1.5g,31g,5g,2g,0g,320mg,0mg,160,0g,0g
"Tortillas, Flour (3)",N/A,8g,40g,7g,3g,5g,660mg,0mg,260,3.5g,0g
Turkey Bacon Strips,N/A,7g,1g,15g,1g,0g,660mg,60mg,130,2g,0g
Yogurt,N/A,1.5g,19g,6g,18g,0g,100mg,10mg,120,1g,0g
"Build Your Own Burger, 100% Beef Patty",N/A,26g,0g,29g,0g,0g,830mg,120mg,360,12g,1.5g
"Build Your Own Burger, American Cheese",N/A,7g,1g,4g,1g,0g,390mg,20mg,80,4g,0g
"Build Your Own Burger, Bacon Strips",N/A,8g,1g,7g,1g,0g,350mg,20mg,100,2g,0g
"Build Your Own Burger, Bourbon Sauce",N/A,0g,26g,0g,24g,0g,270mg,0mg,110,0g,0g
"Build Your Own Burger, Brioche Bun",N/A,4.5g,45g,8g,9g,2g,380mg,0mg,250,2g,0g
"Build Your Own Burger, Caramelized Onions",N/A,7g,2g,0g,1g,1g,210mg,0mg,70,1g,0g
"Build Your Own Burger, Cheddar Bun",N/A,5g,40g,8g,5g,1g,430mg,5mg,250,2g,0g
"Build Your Own Burger, Cheddar Cheese",N/A,6g,0g,5g,0g,0g,120mg,20mg,80,3.5g,0g
"Build Your Own Burger, Fresh Avocado",N/A,4g,2g,1g,0g,2g,0mg,0mg,45,0.5g,0g
"Build Your Own Burger, Grilled Seasoned Chicken Breast",N/A,9g,0g,29g,0g,0g,650mg,75mg,200,2g,0g
"Build Your Own Burger, Lettuce",N/A,0g,1g,0g,0g,0g,5mg,0mg,5,0g,0g
"Build Your Own Burger, Mayo",N/A,11g,0g,0g,0g,0g,75mg,5mg,100,2g,0g
"Build Your Own Burger, Pickles",N/A,0g,0g,0g,0g,0g,170mg,0mg,0,0g,0g
"Build Your Own Burger, Red Onions",N/A,0g,2g,0g,1g,0g,0mg,0mg,5,0g,0g
"Build Your Own Burger, Sauteed Mushrooms",N/A,6g,1g,1g,0g,0g,55mg,0mg,50,1g,0g
"Build Your Own Burger, Sliced Jalapenos",N/A,0g,1g,0g,1g,0g,440mg,0mg,5,0g,0g
"Build Your Own Burger, Sweet & Tangy BBQ Sauce",N/A,0g,20g,0g,19g,0g,310mg,0mg,70,0g,0g
"Build Your Own Burger, Swiss Cheese",N/A,6g,0g,6g,0g,0g,45mg,20mg,80,4g,0g
"Build Your Own Burger, Tomato",N/A,0g,2g,0g,1g,0g,0mg,0mg,5,0g,0g
"Build Your Own Burger, Veggie Patty",N/A,3g,19g,17g,4g,5g,490mg,0mg,170,0g,0g
"Build Your Own Burger, Whole Wheat Bun",N/A,1g,36g,8g,8g,3g,350mg,0mg,190,0.5g,0g
"Build Your Own Grand Slam, Bacon Strips",N/A,8g,1g,7g,1g,0g,350mg,20mg,100,2g,0g
"Build Your Own Grand Slam, Boiled Eggs (2)",N/A,8g,1g,11g,0g,0g,125mg,325mg,130,3g,0g
"Build Your Own Grand Slam, Buttermilk Biscuit",N/A,13g,27g,4g,2g,1g,660mg,0mg,240,7g,0g
"Build Your Own Grand Slam, Buttermilk Pancakes with Margarine",N/A,11g,77g,10g,20g,2g,1390mg,60mg,450,3.5g,0g
"Build Your Own Grand Slam, Egg Whites (2)",N/A,0.5g,1g,13g,0g,0g,220mg,0mg,60,0g,0g
"Build Your Own Grand Slam, English Muffin with Margarine",N/A,6g,25g,5g,1g,1g,280mg,0mg,170,1g,0g
"Build Your Own Grand Slam, English Muffin without Margarine",N/A,1g,25g,5g,1g,1g,230mg,0mg,130,0g,0g
"Build Your Own Grand Slam, Fried/Basted Eggs (2)",N/A,16g,1g,11g,0g,0g,200mg,325mg,190,4g,0g
"Build Your Own Grand Slam, Gluten Free English Muffin with Margarine",N/A,6g,36g,4g,7g,1g,540mg,0mg,210,0.5g,0g
"Build Your Own Grand Slam, Gluten Free English Muffin without Margarine",N/A,1.5g,36g,4g,7g,1g,500mg,0mg,180,0g,0g
"Build Your Own Grand Slam, Grilled Ham Slice",N/A,3g,1g,15g,1g,0g,790mg,20mg,90,1g,0g
"Build Your Own Grand Slam, Grits with Margarine",N/A,4.5g,12g,1g,0g,1g,40mg,0mg,90,1.5g,0g
"Build Your Own Grand Slam, Hash Browns",N/A,12g,15g,1g,1g,1g,360mg,0mg,170,2g,0g
"Build Your Own Grand Slam, Hearty 9-Grain Pancakes",N/A,11g,68g,10g,21g,5g,880mg,40mg,410,4g,0g
"Build Your Own Grand Slam, Hearty Breakfast Sausage",N/A,31g,5g,14g,1g,0g,840mg,70mg,350,8g,0g
"Build Your Own Grand Slam, Oatmeal with Milk & Brown Sugar",N/A,2g,45g,7g,16g,4g,45mg,5mg,240,1g,0g
"Build Your Own Grand Slam, Sausage Links",N/A,15g,1g,5g,0g,1g,300mg,30mg,160,5g,0g
"Build Your Own Grand Slam, Scrambled Eggs (2)",N/A,17g,1g,14g,0g,0g,360mg,480mg,220,5g,0g
"Build Your Own Grand Slam, Seasonal Fruit",N/A,0g,27g,1g,19g,3g,5mg,0mg,110,0g,0g
"Build Your Own Grand Slam, Sourdough Toast with Margarine",N/A,12g,37g,6g,2g,1g,460mg,0mg,280,2.5g,0g
"Build Your Own Grand Slam, Sourdough Toast without Margarine",N/A,3g,37g,6g,2g,1g,380mg,0mg,210,1g,0g
"Build Your Own Grand Slam, Turkey Bacon Strips",N/A,3.5g,1g,7g,1g,0g,330mg,30mg,60,1g,0g
