Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
XXL Grilled Stuft Burrito - Beef,429.5g,40g,97g,32g,6g,13g,2140mg,65mg,870,14g,1g
XXL Grilled Stuft Burrito - Chicken,429.5g,34g,92g,38g,5g,10g,2070mg,80mg,830,11g,0g
XXL Grilled Stuft Burrito - Steak,418.2g,35g,94g,37g,5g,10g,2090mg,75mg,840,12g,0g
Beefy Fritos® Burrito,181.4g,18g,57g,13g,3g,5g,1000mg,20mg,440,4.5g,0g
Beefy Mini Quesadilla,83.6g,11g,17g,9g,1g,3g,540mg,25mg,210,4g,0g
Caramel Apple Empanada,85g,13g,38g,3g,15g,1g,260mg,5mg,280,3.5g,0g
Cheesy Bean & Rice Burrito,181.4g,17g,57g,11g,4g,6g,910mg,5mg,430,3.5g,0g
Cheesy Roll Up,56.7g,9g,15g,9g,1g,2g,430mg,20mg,180,5g,0g
Cinnabon® Delights™ (2 Pack),34.6g,9g,17g,2g,10g,0g,80mg,5mg,160,2g,0g
Cinnamon Twists,35.4g,6g,27g,1g,13g,1g,210mg,0mg,170,0g,0g
Shredded Chicken Mini Quesadilla,83.6g,10g,15g,10g,1g,1g,490mg,40mg,200,3.5g,0g
Spicy Potato Soft Taco,97.8g,12g,27g,5g,1g,2g,460mg,10mg,230,3g,0g
Spicy Tostada,120.5g,10g,22g,6g,2g,5g,440mg,10mg,210,3g,0g
Triple Layer Nachos,127.6g,15g,41g,7g,2g,6g,610mg,0mg,320,1.5g,0g
Mtn Dew® Baja Blast Freeze™ (16 oz),N/A,0g,51g,0g,51g,0g,50mg,0mg,180,0g,0g
Mtn Dew® Baja Blast Freeze™ (20 oz),N/A,0g,64g,0g,64g,0g,65mg,0mg,230,0g,0g
Strawberry Skittles Freeze™ (16 oz),460.7g,0g,43g,0g,43g,0g,40mg,0mg,160,0g,0g
Strawberry Skittles Freeze™ (20 oz),581.2g,0g,54g,0g,54g,0g,50mg,0mg,210,0g,0g
Watermelon Freeze™ (16 oz),467.8g,0g,59g,0g,58g,0g,60mg,0mg,220,0g,0g
Watermelon Freeze™ (20 oz),588.3g,0g,72g,0g,72g,0g,70mg,0mg,270,0g,0g
Watermelon Freeze™ without Seeds (16 oz),N/A,0g,52g,0g,52g,0g,55mg,0mg,190,0g,0g
Watermelon Freeze™ without Seeds (20 oz),581.2g,0g,66g,0g,65g,0g,70mg,0mg,250,0g,0g
Fresco Bean Burrito,204.1g,9g,56g,13g,3g,9g,1050mg,0mg,350,2.5g,0g
Fresco Burrito Supreme® - Chicken,232.5g,8g,48g,18g,4g,6g,1070mg,25mg,340,2.5g,0g
Fresco Burrito Supreme® - Steak,226.8g,9g,49g,17g,4g,6g,1090mg,20mg,340,3g,0g
Fresco Crunchy Taco - Beef,92.1g,7g,14g,6g,1g,3g,300mg,15mg,140,2.5g,0g
Fresco Soft Taco - Beef,106.3g,6g,18g,8g,1g,3g,480mg,15mg,160,2.5g,0g
Fresco Soft Taco - Shredded Chicken,106.3g,6g,16g,9g,1g,2g,430mg,30mg,150,2g,0g
Fresco Soft Taco - Steak,114.8g,4g,17g,10g,2g,2g,460mg,20mg,150,1.5g,0g
Grande Nachos Box - Beef,443.7g,60g,120g,29g,6g,19g,2030mg,50mg,1130,11g,0.5g
Grande Nachos Box - Grilled Chicken,443.7g,54g,115g,35g,6g,16g,1960mg,65mg,1090,8g,0g
Grande Nachos Box - Shredded Chicken,443.7g,58g,116g,31g,6g,16g,1920mg,80mg,1110,9g,0g
Grande Nachos Box - Steak,432.3g,55g,116g,34g,6g,16g,1980mg,60mg,1100,9g,0g
Loaded Nacho Taco,126.2g,14g,29g,10g,2g,4g,670mg,25mg,280,5g,0g
Loaded Nacho Taco - Spicy,137.5g,14g,30g,10g,3g,4g,800mg,25mg,290,5g,0g
Power Menu Bowl - Chicken,365.7g,20g,54g,27g,2g,8g,1230mg,70mg,500,6g,0g
Power Menu Bowl - Steak,354.4g,21g,55g,26g,2g,8g,1250mg,65mg,510,7g,0g
Power Menu Bowl - Veggie,343g,19g,65g,14g,2g,13g,970mg,20mg,480,5g,0g
Power Menu Burrito - Chicken,260.8g,20g,41g,26g,4g,4g,1200mg,70mg,450,7g,0g
Power Menu Burrito - Steak,249.5g,21g,42g,25g,4g,4g,1220mg,65mg,460,8g,0g
Power Menu Burrito - Veggie,238.2g,19g,52g,14g,4g,9g,940mg,20mg,430,6g,0g
Black Beans,62.4g,1.5g,12g,3g,0g,5g,200mg,0mg,80,0g,0g
Black Beans & Rice,136.1g,4g,35g,5g,0g,6g,390mg,0mg,190,0g,0g
Cheesy Fiesta Potatoes,121.9g,12g,28g,3g,2g,2g,520mg,5mg,230,2g,0g
Chips and Guacamole,73.7g,14g,23g,3g,1g,4g,310mg,0mg,230,1.5g,0g
Chips and Nacho Cheese Sauce,70.9g,12g,24g,3g,2g,2g,330mg,5mg,220,1g,0g
Chips and Pico de Gallo,73.7g,8g,22g,2g,1g,3g,170mg,0mg,170,0.5g,0g
Chips and Salsa,87.9g,8g,24g,3g,3g,3g,320mg,0mg,180,0.5g,0g
Pintos 'n Cheese,121.9g,7g,22g,10g,1g,7g,680mg,10mg,190,3g,0g
Seasoned Rice,73.7g,2g,23g,2g,0g,1g,190mg,0mg,120,0g,0g
Beefy Mini Quesadilla,83.6g,11g,17g,9g,1g,3g,540mg,25mg,210,4g,0g
Chalupa Supreme® - Beef,148.8g,18g,33g,13g,3g,4g,560mg,25mg,350,5g,0g
Chalupa Supreme® - Chicken,148.8g,16g,31g,16g,3g,2g,520mg,35mg,330,3.5g,0g
Chalupa Supreme® - Steak,143.2g,16g,32g,15g,3g,2g,530mg,30mg,330,4g,0g
Cheesy Gordita Crunch,174.3g,28g,41g,20g,4g,5g,850mg,55mg,500,10g,0.5g
Cheesy Gordita Crunch Supreme®,205.5g,29g,43g,21g,5g,5g,870mg,60mg,520,11g,1g
Cheesy Roll Up,56.7g,9g,15g,9g,1g,2g,430mg,20mg,180,5g,0g
Crunchwrap Supreme®,260.7g,21g,71g,16g,6g,6g,1200mg,25mg,530,6g,0g
Double Tostada (regional),164.4g,11g,32g,12g,2g,8g,660mg,15mg,270,4g,0g
Express Fiesta Taco Salad (regional),394.1g,26g,65g,23g,6g,11g,1280mg,55mg,580,9g,0.5g
Fiesta Taco Salad - Beef,424.7g,39g,78g,26g,7g,11g,1330mg,55mg,760,10g,1g
Gordita Supreme® - Beef,148.8g,12g,31g,13g,5g,4g,570mg,30mg,280,4.5g,0g
Gordita Supreme® - Chicken,148.8g,9g,29g,16g,5g,2g,540mg,35mg,260,3g,0g
Gordita Supreme® - Steak,143.2g,9g,30g,16g,5g,2g,550mg,30mg,270,3.5g,0g
Mexican Pizza,212.6g,30g,49g,20g,3g,7g,990mg,40mg,540,8g,0.5g
Meximelt®,120.5g,13g,19g,14g,1g,4g,720mg,40mg,250,7g,0.5g
Nachos BellGrande®,303.3g,38g,85g,19g,5g,13g,1310mg,25mg,750,6g,0g
Nachos BellGrande® - Chicken,303.3g,35g,83g,22g,5g,12g,1280mg,35mg,730,5g,0g
Nachos BellGrande® - Steak,297.7g,35g,83g,22g,5g,12g,1290mg,30mg,740,5g,0g
Nachos Supreme®,198.4g,23g,46g,12g,3g,8g,850mg,25mg,440,4.5g,0g
Quesadilla - Cheese,138.9g,26g,37g,19g,3g,4g,980mg,50mg,460,11g,0.5g
Quesadilla - Chicken,181.4g,28g,38g,27g,3g,4g,1210mg,75mg,510,12g,0.5g
Quesadilla - Steak,175.8g,28g,38g,27g,3g,4g,1220mg,70mg,510,12g,0.5g
Shredded Chicken Mini Quesadilla,83.6g,10g,15g,10g,1g,1g,490mg,40mg,200,3.5g,0g
Spicy Tostada,120.5g,10g,22g,6g,2g,5g,440mg,10mg,210,3g,0g
Triple Layer Nachos,127.6g,15g,41g,7g,2g,6g,610mg,0mg,320,1.5g,0g
Caramel Apple Empanada,85g,13g,38g,3g,15g,1g,260mg,5mg,280,3.5g,0g
Cinnabon® Delights™ (2 Pack),34.6g,9g,17g,2g,10g,0g,80mg,5mg,160,2g,0g
Cinnabon® Delights™ (4 Pack),69.2g,18g,35g,3g,20g,1g,160mg,15mg,310,4.5g,0.5g
Cinnabon® Delights™ (12 Pack - Serves 4),207.5g,53g,104g,9g,59g,3g,480mg,40mg,930,13g,2g
Cinnamon Twists,35.4g,6g,27g,1g,13g,1g,210mg,0mg,170,0g,0g
Lowfat Milk - CA (Regional),198.4g,2g,13g,9g,12g,0g,130mg,10mg,100,1.5g,0g
Lowfat Milk - Federal (Regional),198.4g,2g,10g,7g,9g,0g,100mg,10mg,80,1.5g,0g
Water,355.5g,0g,0g,0g,0g,0g,0mg,0mg,0,0g,0g
Cool Ranch® Doritos® Double Decker® Taco,148.8g,13g,36g,13g,2g,7g,770mg,25mg,320,5g,0g
Cool Ranch® Doritos® Locos Taco,78g,10g,13g,8g,1g,3g,380mg,25mg,170,3.5g,0g
Cool Ranch® Doritos® Locos Taco Supreme®,109.1g,11g,15g,8g,2g,3g,400mg,30mg,190,4.5g,0g
Crunchy Taco,78g,9g,13g,8g,1g,3g,310mg,25mg,170,3.5g,0g
Crunchy Taco Supreme®,109.1g,11g,15g,8g,2g,3g,340mg,30mg,190,4.5g,0g
Double Decker® Taco,148.8g,13g,36g,13g,2g,7g,710mg,25mg,320,4.5g,0g
Double Decker® Taco Supreme®,180g,15g,39g,14g,3g,7g,730mg,30mg,340,6g,0g
Fiery Doritos® Double Decker® Taco,148.8g,13g,36g,14g,2g,7g,760mg,25mg,320,4.5g,0g
Fiery Doritos® Locos Taco,78g,9g,13g,8g,1g,3g,370mg,25mg,170,3.5g,0g
Fiery Doritos® Locos Taco Supreme®,109.1g,11g,15g,8g,2g,3g,390mg,30mg,190,4.5g,0g
