Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Caramel Iced Coffee, Medium",N/A,8g,40g,3g,36g,0g,45mg,25mg,240,5g,0g
"Caramel Iced Coffee, Small",N/A,6g,26g,2g,24g,0g,30mg,20mg,160,3.5g,0g
"Coca-Cola, Large",N/A,0g,109g,0g,109g,0g,90mg,0mg,400,0g,0g
"Coca-Cola, Medium",N/A,0g,87g,0g,87g,0g,70mg,0mg,320,0g,0g
"Coca-Cola, Small",N/A,0g,54g,0g,54g,0g,45mg,0mg,200,0g,0g
"Coca-Cola Zero Sugar, Large",N/A,0g,1g,0g,0g,0g,100mg,0mg,0,0g,0g
"Coca-Cola Zero Sugar, Medium",N/A,0g,1g,0g,0g,0g,80mg,0mg,0,0g,0g
"Coca-Cola Zero Sugar, Small",N/A,0g,0g,0g,0g,0g,50mg,0mg,0,0g,0g
"Diet Coke, Large",N/A,0g,1g,0g,0g,0g,125mg,0mg,0,0g,0g
"Diet Coke, Medium",N/A,0g,1g,0g,0g,0g,100mg,0mg,0,0g,0g
"Diet Coke, Small",N/A,0g,0g,0g,0g,0g,45mg,0mg,0,0g,0g
"Dr Pepper, Large",N/A,0g,66g,0g,64g,0g,70mg,0mg,240,0g,0g
"Dr Pepper, Medium",N/A,0g,53g,0g,51g,0g,55mg,0mg,190,0g,0g
"Dr Pepper, Small",N/A,0g,33g,0g,32g,0g,35mg,0mg,120,0g,0g
"Fanta Orange, Large",N/A,0g,117g,0g,115g,0g,110mg,0mg,430,0g,0g
"Fanta Orange, Medium",N/A,0g,94g,0g,92g,0g,85mg,0mg,340,0g,0g
"Fanta Orange, Small",N/A,0g,59g,0g,58g,0g,55mg,0mg,210,0g,0g
"Hi-C Flashin' Fruit Punch, Large",N/A,0g,115g,0g,113g,0g,140mg,0mg,420,0g,0g
"Hi-C Flashin' Fruit Punch, Medium",N/A,0g,92g,0g,90g,0g,115mg,0mg,340,0g,0g
"Hi-C Flashin' Fruit Punch, Small",N/A,0g,58g,0g,56g,0g,70mg,0mg,210,0g,0g
"Honest Tropical Green Tea, Large",N/A,0g,29g,0g,29g,0g,55mg,0mg,110,0g,0g
"Honest Tropical Green Tea, Medium",N/A,0g,22g,0g,22g,0g,40mg,0mg,90,0g,0g
"Honest Tropical Green Tea, Small",N/A,0g,14g,0g,14g,0g,25mg,0mg,60,0g,0g
Hot Tea,N/A,0g,1g,0g,0g,0g,0mg,0mg,0,0g,0g
"Limeade, Large",N/A,0g,117g,0g,111g,0g,55mg,0mg,460,0g,0g
"Limeade, Medium",N/A,0g,98g,0g,93g,0g,45mg,0mg,380,0g,0g
"Limeade, Small",N/A,0g,59g,0g,56g,0g,30mg,0mg,230,0g,0g
"Minute Maid Light Lemonade, Large",N/A,0g,2g,0g,0g,0g,10mg,0mg,15,0g,0g
"Minute Maid Light Lemonade, Medium",N/A,0g,1g,0g,0g,0g,10mg,0mg,10,0g,0g
"Minute Maid Light Lemonade, Small",N/A,0g,1g,0g,0g,0g,5mg,0mg,5,0g,0g
"Mocha Iced Coffee, Medium",N/A,8g,32g,3g,28g,0g,40mg,25mg,210,5g,0g
