Item,Price
Kids Baked Potato Soup ,$4.29
Kids Low-Fat Garden Vegetable Soup ,$4.29
Pumpkin Spice Latte (Limited Time) ,$4.09
Cafe Latte Regular,$3.39
Cafe Latte Large,$4.14
Skinny Cafe Mocha Regular,$3.99
Skinny Cafe Mocha Large,$4.74
Caramel Latte Regular,$3.99
Caramel Latte Large,$4.74
Cafe Mocha Regular,$3.99
Cafe Mocha Large,$4.74
Chai Tea Latte Regular,$3.99
Chai Tea Latte Large,$4.74
Cappuccino Regular,$3.39
Cappuccino Large,$4.14
Hot Chocolate with Chocolate Chip Marshmallows Medium,$3.19
Hot Chocolate with Chocolate Chip Marshmallows Large,$3.49
Hot Coffee Small,$1.89
Hot Coffee Medium,$2.09
Hot Coffee Large,$2.25
Travel Refill ,$1.79
Hot Tea ,$1.79
Espresso ,$1.79
Low-Fat Mango or Wild Berry Smoothie Regular,$4.29
Low-Fat Strawberry Banana Smoothie Regular,$4.29
Low Fat Strawberry Smoothie with Ginseng Regular,$4.29
Fat-Free Superfruit Power Smoothie with Ginseng Regular,$4.29
Green Passion Power Smoothie Regular,$4.29
Frozen Caramel or Mocha Medium,$4.29
Frozen Caramel or Mocha Large,$4.79
Soda Medium,$1.99
Soda Large,$2.19
Iced Caffe Latte ,$3.39
Iced Caffe Mocha ,$3.99
Iced Caramel Latte ,$3.99
Iced Coffee Medium,$1.99
Iced Coffee Large,$2.19
Iced Chai Tea Latte Medium,$3.99
Iced Chai Tea Latte Large,$4.74
Iced Green Tea Medium,$2.69
Iced Green Tea Large,$2.99
Iced Tea Medium,$1.99
Iced Tea Large,$2.19
Lemonade Medium,$2.19
Lemonade Large,$2.49
Water Bottle,$1.99
Orange Juice Bottle,$2.49
Horizon Reduced Fat Organic Milk or Chocolate Milk ,$1.69
Organic Apple Juice ,$1.69
San Pellegrino Sparkling Water Bottle,$2.49
Panera Lemonade Bottle,$2.19
Harmless Harvest Coconut Water Bottle,$2.99
Blueprint Green or Red Juice Bottle,$5.99
Cinnamon Crunch Bagel 1 Pc.,$1.34
Asiago Bagel 1 Pc.,$1.34
Plain Bagel 1 Pc.,$1.05
Blueberry Bagel 1 Pc.,$1.34
Everything Bagel 1 Pc.,$1.05
Whole Grain Bagel 1 Pc.,$1.05
Sprouted Grain Bagel Flat 1 Pc.,$1.05
Sesame Bagel 1 Pc.,$1.05
Chocolate Chip Bagel 1 Pc.,$1.34
Cinnamon Swirl Bagel 1 Pc.,$1.34
French Toast Bagel 1 Pc.,$1.34
Pumpkin Pie Bagel (Limited Time) 1 Pc.,$1.34
Bagel Pack (Bagels & 2 Tubs Of Cream Cheese Spread) 13 Pc.,$13.99
Baker's Dozen 13 Pc.,$9.99
Half Dozen Bagels 6 Pc.,$6.25
Dozen & Half Bagels 18 Pc.,$12.99
Plain Cream Cheese 2 oz.,$1.25
Plain Cream Cheese Tub,$2.99
Reduced Fat Cream Cheese 2 oz.,$1.25
Reduced Fat Cream Cheese Tub,$2.99
Hazelnut Cream Cheese 2 oz.,$1.25
Hazelnut Cream Cheese Tub,$2.99
Chive and Onion Cream Cheese 2 oz.,$1.25
Chive and Onion Cream Cheese Tub,$2.99
Reduced-Fat Roasted Veg 2 oz.,$1.25
Reduced-Fat Roasted Veg Tub,$2.99
Wild Blueberry Cream Cheese 2 oz.,$1.25
Wild Blueberry Cream Cheese Tub,$2.99
Honey Walnut Cream Cheese 2 oz.,$1.25
Honey Walnut Cream Cheese Tub,$2.99
Peanut Butter 2 oz.,$0.80
Preserves 2 oz.,$0.50
Fruit Cup,$2.59
Strawberry Parfait ,$3.79
Steel Cut Oatmeal with Apple Chips & Pecans ,$4.19
Oatmeal with Fresh Strawberries & Pecans ,$4.19
Power Almond Quinoa Oatmeal ,$4.19
Cinnamon Roll 1 Pc.,$2.79
Bear Claw 1 Pc.,$2.69
Gooey Butter Pastry 1 Pc.,$2.69
Cobblestone 1 Pc.,$2.69
Pecan Braid 1 Pc.,$2.69
Chocolate Pastry 1 Pc.,$2.69
Cheese Pastry 1 Pc.,$2.69
Pecan Roll 1 Pc.,$2.69
Cherry Pastry 1 Pc.,$2.69
Pastry Ring ,$8.79
Butter Croissant 1 Pc.,$2.29
Carrot Cake with Walnuts 1 Pc.,$2.69
Cinnamon Crumb Coffee Cake Slice,$2.69
Cinnamon Crumb Coffee Cake Whole,$15.49
Mitten Cookie 1 Pc.,$2.49
Chocolate Chipper Cookie 1 Pc.,$1.99
Toffee Nut Cookie 1 Pc.,$1.99
Chocolate Duet Sandwich Cookie 1 Pc.,$2.29
Oatmeal Raisin Cookie 1 Pc.,$1.99
Candy Cookie 1 Pc.,$1.99
Shortbread Cookie 1 Pc.,$1.99
Petite Cookies 12 Pc.,$4.99
Chocolate Brownie 1 Pc,$2.49
Apple Crunch Muffin 1 Pc.,$2.19
Chocolate Chip Muffie 1 Pc.,$1.59
Pumpkin Muffin 1 Pc.,$2.19
Pumpkin Muffie 1 Pc.,$1.59
Blueberry Muffin with Fresh Blueberries 1 Pc.,$2.39
Cranberry Orange Muffin 1 Pc.,$2.19
Cinnamon Crunch Scone 1 Pc.,$2.59
