Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
*Create your own 1-2 Topping Large Ultimate Cheesy Crust Slice (Limited Time),119.2,16.0,33,18,2,3,530,40,330,9.0,1.5,9.99,0.6666666666666667,0.8080808080808082,2.1818181818181817,1.2593467138921683,1.3383838383838385,2.727272727272727
*Create your own 3+ Topping Large Ultimate Cheesy Crust Slice (Limited Time),119.2,16.0,33,18,2,3,530,40,330,9.0,1.5,9.99,0.6666666666666667,0.8080808080808082,2.1818181818181817,1.2593467138921683,1.3383838383838385,2.727272727272727
Backyard BBQ Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),148.8,16.0,39,19,6,2,670,45,380,8.0,0.0,16.99,0.6842105263157895,0.7894736842105263,2.0,1.0936431989063569,1.469298245614035,2.1052631578947367
Buffalo Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),148.2,15.0,37,19,2,2,850,45,360,8.0,0.0,16.99,0.6851851851851852,0.8333333333333334,2.111111111111111,1.0822510822510822,1.9675925925925928,2.2222222222222223
Cheese - Large Ultimate Cheesy Crust Slice (Limited Time),142.2,17.0,35,20,2,3,660,45,360,10.0,1.5,15.49,0.6481481481481481,0.8333333333333334,2.2222222222222223,1.2265512265512266,1.5277777777777777,2.7777777777777777
Chicken-Bacon Parmesan - Large Ultimate Cheesy Crust Slice (Limited Time),153.5,19.0,34,22,2,3,680,50,380,10.0,1.5,16.99,0.5964912280701755,0.8771929824561403,2.3157894736842106,1.2987012987012987,1.4912280701754386,2.631578947368421
Hawaiian Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),160.5,16.0,36,21,4,3,720,45,360,9.0,1.5,16.99,0.6666666666666667,0.8333333333333334,2.3333333333333335,1.1544011544011545,1.6666666666666667,2.5
Meat Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),163.5,25.0,35,23,2,3,900,60,440,12.0,1.5,15.99,0.5303030303030303,0.9090909090909091,2.090909090909091,1.4757969303423848,1.7045454545454546,2.727272727272727
Pepperoni - Large Ultimate Cheesy Crust Slice (Limited Time),141.4,20.0,35,20,2,3,710,50,380,10.0,1.5,15.99,0.6140350877192983,0.8771929824561403,2.1052631578947367,1.367053998632946,1.5570175438596492,2.631578947368421
Pepperoni Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),156.2,24.0,35,23,3,3,820,60,430,12.0,1.5,15.99,0.5426356589147288,0.9302325581395349,2.13953488372093,1.4497130776200544,1.5891472868217056,2.7906976744186047
Supreme - Large Ultimate Cheesy Crust Slice (Limited Time),163.9,20.0,36,20,3,3,730,50,390,11.0,1.5,15.99,0.6153846153846154,0.8547008547008547,2.051282051282051,1.332001332001332,1.5598290598290598,2.8205128205128207
Ultimate Cheese Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),142.0,18.0,33,20,1,2,660,50,380,10.0,0.5,12.49,0.5789473684210527,0.8771929824561403,2.1052631578947367,1.2303485987696514,1.4473684210526316,2.631578947368421
Veggie Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),165.1,16.0,36,18,3,4,650,40,350,9.0,1.5,15.99,0.6857142857142857,0.7619047619047619,2.057142857142857,1.1873840445269017,1.5476190476190477,2.571428571428571
