Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Big Mac Bacon,,38.0,47,30,9,3,1210,95,610,12.0,1.0,3.99,0.5136612021857924,1.0382513661202186,1.9672131147540983,1.6180540770704706,1.6530054644808743,1.9672131147540985
Cheesy Bacon Fries,,34.0,51,15,5,4,1330,35,560,11.0,0.5,1.39,0.6071428571428571,0.4166666666666667,1.0714285714285714,1.5769944341372912,1.9791666666666667,1.9642857142857142
"Donut Sticks, 6 Piece",,13.0,34,6,9,1,260,15,280,4.5,0.0,3.99,0.8095238095238095,0.35714285714285715,0.8571428571428572,1.2059369202226344,0.7738095238095238,1.607142857142857
"Donut Sticks, 12 Piece",,27.0,68,12,18,2,520,30,560,9.0,0.5,5.00,0.8095238095238095,0.35714285714285715,0.8571428571428572,1.2523191094619666,0.7738095238095238,1.607142857142857
Quarter Pounder with Cheese Bacon,,34.0,44,39,11,2,1470,125,640,15.0,1.5,3.79,0.45833333333333337,1.3020833333333335,2.4375,1.37987012987013,1.9140625,2.34375
Bacon Clubhouse Burger,274.0,41.0,51,40,14,4,1420,120,740,16.0,1.5,4.49,0.4594594594594595,1.0810810810810811,2.1621621621621623,1.4391014391014392,1.5990990990990992,2.1621621621621623
Bacon Double Cheeseburger,,26.0,36,30,8,3,1280,100,500,12.0,1.0,1.69,0.48,1.3333333333333335,2.4,1.3506493506493507,2.1333333333333333,2.4
Bacon Double Cheeseburger (New York),,26.0,36,30,8,2,1270,100,500,12.0,1.0,1.69,0.48,1.3333333333333335,2.4,1.3506493506493507,2.1166666666666667,2.4
Bacon McDouble,162.0,23.0,34,28,7,2,1090,85,450,10.0,1.0,2.00,0.5037037037037038,1.2592592592592593,2.488888888888889,1.3275613275613276,2.0185185185185186,2.2222222222222223
Bacon McDouble (New York),,22.0,34,28,7,2,1080,85,450,10.0,1.0,2.00,0.5037037037037038,1.2592592592592593,2.488888888888889,1.26984126984127,2.0,2.2222222222222223
Artisan Grilled Chicken Sandwich,204.0,6.0,45,36,11,2,1120,95,380,2.0,0.0,4.39,0.7894736842105263,1.6666666666666667,3.7894736842105265,0.4101161995898838,2.456140350877193,0.5263157894736842
Bacon Buffalo Ranch McChicken,162.0,21.0,40,20,6,2,1040,55,430,4.5,0.0,4.59,0.6201550387596899,0.8527131782945737,1.8604651162790697,1.2684989429175475,2.0155038759689923,1.0465116279069768
Bacon Cheddar Hot 'n Spicy McChicken,,32.0,41,24,6,3,960,80,550,9.0,0.5,4.39,0.49696969696969695,0.9696969696969697,1.7454545454545456,1.511216056670602,1.4545454545454546,1.6363636363636365
Bacon Cheddar McChicken,172.0,32.0,41,24,6,2,950,80,550,9.0,0.0,4.39,0.49696969696969695,0.9696969696969697,1.7454545454545456,1.511216056670602,1.4393939393939394,1.6363636363636365
Bacon Smokehouse Artisan Grilled Chicken Sandwich,,31.0,62,55,18,2,1940,155,750,10.0,0.5,4.39,0.5511111111111111,1.3777777777777778,2.9333333333333336,1.0735930735930737,2.1555555555555554,1.3333333333333335
Apple Cinnamon Muffin,,2.5,61,7,30,3,520,0,300,0.5,0.0,1.59,1.3555555555555556,0.0,0.9333333333333333,0.21645021645021645,1.4444444444444446,0.16666666666666669
"Bacon, Egg & Cheese Bagel",191.0,25.0,54,26,7,4,1270,225,550,11.0,0.5,3.29,0.6545454545454545,2.7272727272727275,1.8909090909090909,1.1806375442739079,1.9242424242424243,2.0
"Bacon, Egg & Cheese Bagel with Egg Whites",191.0,22.0,53,25,7,3,1240,65,510,10.0,0.5,3.29,0.69281045751634,0.8496732026143791,1.9607843137254901,1.1204481792717087,2.026143790849673,1.9607843137254901
"Bacon, Egg & Cheese Biscuit",147.0,24.0,40,18,3,2,1300,200,450,12.0,0.0,3.19,0.5925925925925927,2.962962962962963,1.6,1.3852813852813854,2.4074074074074074,2.666666666666667
"Bacon, Egg & Cheese Biscuit with Egg Whites",148.0,21.0,39,18,3,2,1290,40,410,11.0,0.0,3.19,0.6341463414634146,0.6504065040650407,1.7560975609756095,1.3303769401330376,2.6219512195121952,2.682926829268293
Premium Bacon Ranch Salad with Buttermilk Crispy Chicken,268.0,28.0,28,33,4,4,1120,95,490,8.0,0.0,4.39,0.38095238095238093,1.2925170068027212,2.6938775510204085,1.484230055658627,1.9047619047619047,1.6326530612244898
Premium Bacon Ranch Salad with Grilled Chicken,266.0,14.0,9,42,4,3,1230,135,320,6.0,0.0,4.39,0.1875,2.8125,5.25,1.1363636363636362,3.203125,1.875
