Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Whataburger Whatameal,1351,46,226,34,124,8,1530,45,1420,10,1,5.59,1.0610328638497655,0.2112676056338028,0.9577464788732394,0.8414121090177428,0.8978873239436619,0.7042253521126761
Whataburger Whatameal with Lower Calorie Sides,1321,25,72,29,17,5,1260,45,630,8,1,5.39,0.7619047619047619,0.47619047619047616,1.8412698412698414,1.0307153164296021,1.6666666666666667,1.2698412698412698
Chicken Fajita Taco,201,11,31,29,1,3,1200,80,340,4,0,3.94,0.6078431372549019,1.5686274509803921,3.4117647058823533,0.8403361344537816,2.9411764705882355,1.1764705882352942
Chicken Fajita Taco Whatameal,1236,32,195,34,114,7,1510,80,1170,6,0,6.24,1.1111111111111112,0.4558404558404559,1.1623931623931625,0.7104007104007104,1.0754985754985755,0.5128205128205128
Chicken Fajita Taco Whatameal with Lower Calorie Sides,1207,11,41,29,6,4,1230,80,380,4,0,6.24,0.7192982456140351,1.4035087719298245,3.0526315789473686,0.7518796992481203,2.697368421052632,1.0526315789473684
Grilled Chicken Melt,223,11,39,33,6,3,1330,95,390,4,0,4.19,0.6666666666666667,1.623931623931624,3.384615384615385,0.7326007326007326,2.841880341880342,1.0256410256410255
Grilled Chicken Melt Whatameal,1258,32,203,38,119,7,1640,95,1220,6,0,6.49,1.109289617486339,0.5191256830601093,1.2459016393442623,0.6812859271875665,1.1202185792349726,0.49180327868852464
Grilled Chicken Melt Whatameal with Lower Calorie Sides,1228,11,49,33,11,4,1360,95,430,4,0,6.49,0.7596899224806202,1.4728682170542637,3.0697674418604652,0.6644518272425249,2.635658914728682,0.9302325581395349
Grilled Chicken Sandwich,242,13,45,32,8,5,950,85,430,3,0,3.94,0.6976744186046512,1.317829457364341,2.9767441860465116,0.7852612503775295,1.8410852713178294,0.6976744186046512
Grilled Chicken Sandwich Whatameal,1276,34,210,37,120,9,1250,90,1260,5,0,6.24,1.1111111111111112,0.47619047619047616,1.1746031746031746,0.7008864151721295,0.8267195767195767,0.3968253968253968
Grilled Chicken Sandwich Whatameal with Lower Calorie Sides,1247,13,56,32,13,6,980,90,470,3,0,6.24,0.7943262411347518,1.2765957446808511,2.723404255319149,0.7184305056645481,1.7375886524822697,0.6382978723404255
"Whatachick'n Bites, 4 Piece",181,15,24,20,1,1,930,50,320,4,0,3.79,0.5,1.0416666666666667,2.5,1.2175324675324675,2.421875,1.25
"Whatachick'n Bites, 6 Piece",229,22,33,30,2,2,1190,75,450,4,0,3.59,0.48888888888888893,1.1111111111111112,2.6666666666666665,1.26984126984127,2.2037037037037037,0.8888888888888888
"Whatachick'n Bites, 6 Piece Whatameal",1304,45,218,38,116,6,1710,75,1390,7,0,3.59,1.0455635491606716,0.3597122302158273,1.093525179856115,0.8408857329720639,1.025179856115108,0.5035971223021583
