Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
"Southwest Avocado Chicken Salad, Full Size",,41.0,18,42,7,7,1220,135,600,11.0,0.0,6.69,0.2,1.5,2.8000000000000003,1.7748917748917747,1.6944444444444444,1.8333333333333333
"Southwest Avocado Chicken Salad, Half Size",,20.0,10,21,4,4,620,70,300,6.0,0.0,4.69,0.22222222222222224,1.5555555555555556,2.8000000000000003,1.7316017316017316,1.7222222222222225,2.0
"Spicy Caesar Chicken Salad, Full Size",,42.0,44,42,6,8,1680,150,720,12.0,1.0,6.69,0.4074074074074074,1.388888888888889,2.3333333333333335,1.5151515151515151,1.9444444444444446,1.6666666666666667
"Spicy Caesar Chicken Salad, Half Size",,23.0,30,23,4,5,930,75,410,6.0,0.5,4.69,0.4878048780487805,1.2195121951219512,2.2439024390243905,1.4570795058599937,1.8902439024390243,1.4634146341463417
"Taco Salad, Full Size",,32.0,63,32,18,10,1820,85,660,13.0,1.0,1.49,0.6363636363636365,0.8585858585858586,1.9393939393939394,1.2593467138921683,2.2979797979797985,1.9696969696969695
"Taco Salad, Half Size",,23.0,49,19,12,7,1320,45,470,8.0,0.5,1.49,0.6950354609929078,0.6382978723404256,1.6170212765957448,1.2710693561757391,2.3404255319148937,1.702127659574468
Baconator Fries,,28.0,45,14,2,4,550,35,490,9.0,0.0,6.09,0.6122448979591837,0.47619047619047616,1.1428571428571428,1.484230055658627,0.9353741496598639,1.8367346938775513
Bacon Cheese Baked Potato,,14.0,64,17,4,7,550,35,440,6.0,0.0,2.89,0.9696969696969697,0.5303030303030303,1.5454545454545454,0.8264462809917354,1.0416666666666667,1.3636363636363635
Cheese Baked Potato,,13.0,65,14,5,7,560,30,430,7.0,0.0,2.89,1.0077519379844961,0.46511627906976744,1.302325581395349,0.7852612503775295,1.0852713178294575,1.627906976744186
Chili & Cheese Baked Potato,,11.0,71,19,7,8,710,35,460,5.0,0.0,2.89,1.028985507246377,0.5072463768115942,1.652173913043478,0.6211180124223603,1.286231884057971,1.0869565217391304
"Chili, Large",,7.0,23,23,9,5,1170,50,250,3.0,0.5,2.79,0.6133333333333334,1.3333333333333335,3.6799999999999997,0.7272727272727273,3.9,1.2
"Chili, Small",,5.0,16,15,6,4,780,35,170,2.0,0.0,2.09,0.6274509803921569,1.3725490196078431,3.5294117647058827,0.7639419404125286,3.8235294117647056,1.1764705882352942
Chili Cheese Fries,,25.0,53,16,4,6,710,35,500,8.0,0.5,2.19,0.7066666666666667,0.46666666666666673,1.28,1.2987012987012987,1.1833333333333333,1.6
"Natural-Cut Fries, Junior",,10.0,30,3,0,3,15,0,230,2.0,0.0,2.19,0.8695652173913043,0.0,0.5217391304347826,1.129305477131564,0.05434782608695652,0.8695652173913043
"Natural-Cut Fries, Large",,24.0,70,7,0,6,520,0,530,4.5,0.0,2.19,0.8805031446540881,0.0,0.5283018867924528,1.1761823082577798,0.8176100628930818,0.8490566037735849
