Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
The 1/2 lb. Guacamole Bacon Thickburger,,89.0,57,43,14,4,1910,160,1210,31.0,3.0,6.59,0.3140495867768595,0.8815426997245179,1.4214876033057853,1.9104862080068692,1.315426997245179,2.56198347107438
The 1/2 lb. Jalapeno Thickburger,,80.0,55,39,13,3,1760,150,1100,28.0,3.0,5.79,0.33333333333333337,0.9090909090909091,1.4181818181818182,1.8890200708382525,1.3333333333333335,2.5454545454545454
The 1/2 lb. Low Carb Thickburger,,56.0,9,33,5,1,1310,140,670,24.0,3.0,6.29,0.08955223880597016,1.3930348258706469,1.9701492537313434,2.1709633649932156,1.6293532338308458,3.582089552238806
The 1/2 lb. Mile High Bacon Thickburger,,88.0,56,53,14,3,2290,195,1230,33.0,3.0,6.29,0.30352303523035234,1.056910569105691,1.7235772357723578,1.8583042973286876,1.5514905149051492,2.682926829268293
The 1/2 lb. Original Six Dollar Thickburger,,72.0,62,40,20,3,1820,150,1050,27.0,3.0,5.79,0.3936507936507937,0.9523809523809523,1.523809523809524,1.7810760667903527,1.4444444444444446,2.571428571428571
The 1/2 lb. Western Bacon Thickburger,,69.0,74,44,17,3,2150,145,1090,28.0,3.0,6.29,0.45259938837920494,0.8868501529051989,1.614678899082569,1.6442273323007268,1.643730886850153,2.5688073394495414
The 1/3 lb. Guacamole Bacon Thickburger,,68.0,56,32,13,4,1720,110,990,19.0,2.0,5.29,0.37710437710437716,0.7407407407407407,1.2929292929292928,1.7840745113472385,1.4478114478114479,1.9191919191919191
The 1/3 lb. Jalapeno Thickburger,,58.0,54,28,12,3,1620,100,880,17.0,2.0,4.59,0.4090909090909091,0.7575757575757576,1.2727272727272725,1.7119244391971664,1.5340909090909092,1.9318181818181817
The 1/3 lb. Low Carb Thickburger,,34.0,9,22,5,1,1060,85,450,13.0,1.5,5.29,0.13333333333333333,1.2592592592592593,1.9555555555555557,1.9624819624819625,1.962962962962963,2.888888888888889
The 1/3 lb. Mile High Bacon Thickburger,,67.0,56,42,13,3,2030,140,1010,22.0,2.0,5.29,0.36963696369636967,0.9240924092409242,1.6633663366336635,1.723029445801723,1.674917491749175,2.178217821782178
The 1/3 lb. Original Six Dollar Thickburger,,51.0,62,29,19,3,1560,95,830,16.0,2.0,4.59,0.497991967871486,0.7630522088353413,1.3975903614457832,1.5959943670787045,1.566265060240964,1.9277108433734942
The 1/3 lb. Western Bacon Thickburger,,47.0,74,33,17,3,1890,95,870,17.0,2.0,5.29,0.5670498084291188,0.7279693486590039,1.5172413793103448,1.4031945066427824,1.810344827586207,1.9540229885057472
The Big Carl,,58.0,56,47,12,3,1380,140,920,23.0,2.0,3.99,0.4057971014492754,1.0144927536231885,2.0434782608695654,1.6374929418407678,1.25,2.5
Western Bacon Cheeseburger,,34.0,74,33,16,4,1500,75,730,14.0,1.0,6.59,0.6757990867579909,0.684931506849315,1.808219178082192,1.2097491549546344,1.7123287671232879,1.9178082191780823
Guacamole Turkey Burger,,19.0,44,32,9,3,1000,85,480,6.0,0.0,7.99,0.611111111111111,1.1805555555555556,2.6666666666666665,1.028138528138528,1.7361111111111114,1.25
Jalapeno Turkey Burger,,22.0,43,31,9,3,1150,90,500,6.0,0.0,2.19,0.5733333333333334,1.2,2.48,1.1428571428571428,1.9166666666666665,1.2
Teriyaki Turkey Burger,,14.0,56,32,19,3,1120,85,480,5.0,0.0,2.19,0.7777777777777778,1.1805555555555556,2.6666666666666665,0.7575757575757576,1.9444444444444446,1.0416666666666665
Turkey Burger,,22.0,45,29,10,3,960,80,490,4.5,0.0,2.49,0.6122448979591837,1.0884353741496597,2.36734693877551,1.1661807580174925,1.6326530612244898,0.9183673469387756
Bacon Swiss Crispy Chicken Sandwich,,42.0,64,38,13,4,1850,95,780,11.0,0.5,5.55,0.5470085470085471,0.811965811965812,1.9487179487179487,1.3986013986013988,1.9764957264957266,1.4102564102564104
Beer-Battered Cod Fish Sandwich,,19.0,74,21,12,3,1140,45,550,3.5,0.0,3.69,0.8969696969696971,0.5454545454545455,1.5272727272727273,0.8972845336481701,1.7272727272727273,0.6363636363636364
Big Chicken Fillet Sandwich,,35.0,62,32,11,4,1360,75,680,6.0,0.0,4.59,0.6078431372549019,0.7352941176470589,1.8823529411764706,1.3368983957219251,1.6666666666666667,0.8823529411764706
Charbroiled BBQ Chicken Sandwich,,7.0,50,30,13,3,990,60,390,1.5,0.0,4.79,0.8547008547008547,1.0256410256410258,3.076923076923077,0.4662004662004662,2.1153846153846154,0.38461538461538464
Charbroiled Chicken Club Sandwich,,28.0,46,36,11,2,1290,90,580,8.0,0.0,5.29,0.5287356321839081,1.0344827586206897,2.4827586206896552,1.2539184952978055,1.853448275862069,1.3793103448275863
Charbroiled Santa Fe Chicken Sandwich,,27.0,46,33,10,3,1290,85,560,7.0,0.0,5.29,0.5476190476190477,1.0119047619047619,2.357142857142857,1.2523191094619666,1.919642857142857,1.25
"Chicken Stars, 4 Pieces",,10.0,12,8,0,1,360,20,170,2.0,0.0,3.99,0.47058823529411764,0.7843137254901961,1.8823529411764706,1.5278838808250572,1.7647058823529413,1.1764705882352942
"Chicken Stars, 6 Pieces",,16.0,18,12,0,2,540,30,260,3.5,0.0,3.99,0.46153846153846156,0.7692307692307693,1.8461538461538463,1.5984015984015985,1.730769230769231,1.3461538461538463
"Chicken Stars, 9 Pieces",,23.0,26,18,0,3,810,45,390,5.0,0.0,3.99,0.4444444444444445,0.7692307692307693,1.8461538461538463,1.5318015318015317,1.730769230769231,1.282051282051282
"Hand-Breaded Chicken Tenders, 3 Pieces",,13.0,13,25,0,2,770,70,260,2.5,0.0,3.99,0.33333333333333337,1.794871794871795,3.8461538461538463,1.2987012987012987,2.467948717948718,0.9615384615384616
"Hand-Breaded Chicken Tenders, 5 Pieces",,21.0,21,41,0,3,1290,115,440,4.5,0.0,5.79,0.31818181818181823,1.7424242424242424,3.7272727272727275,1.2396694214876034,2.4431818181818183,1.0227272727272727
Kid's Hand-Breaded Chicken Tenders,,9.0,9,16,0,1,520,45,180,2.0,0.0,5.79,0.33333333333333337,1.6666666666666667,3.555555555555556,1.2987012987012987,2.4074074074074074,1.1111111111111112
Spicy Chicken Sandwich,,29.0,43,14,6,3,1330,40,490,6.0,0.0,5.55,0.5850340136054422,0.5442176870748299,1.1428571428571428,1.5372382719321496,2.2619047619047623,1.2244897959183674
Chocolate Cake,,12.0,48,3,36,1,350,30,300,3.0,0.0,0.89,1.0666666666666667,0.6666666666666667,0.4,1.0389610389610389,0.9722222222222223,1.0
Chocolate Chip Cookie,,19.0,48,3,27,2,350,30,370,10.0,0.0,0.89,0.8648648648648649,0.5405405405405406,0.32432432432432434,1.333801333801334,0.7882882882882883,2.7027027027027026
