Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Nashville Hot Extra Crispy Chicken Breast,210.0,60.0,21,35,1,1,1530,105,770,10.0,0,2.69,0.18181818181818182,0.9090909090909091,1.8181818181818183,2.023950075898128,1.655844155844156,1.2987012987012987
Nashville Hot Extra Crispy Chicken Drumstick,66.0,21.0,6,11,0,1,530,50,250,3.5,0,2.69,0.16,1.3333333333333335,1.7599999999999998,2.181818181818182,1.7666666666666668,1.4000000000000001
Nashville Hot Extra Crispy Chicken Thigh,134.0,40.0,11,22,1,1,970,100,500,7.0,0,2.69,0.14666666666666667,1.3333333333333335,1.7599999999999998,2.0779220779220777,1.6166666666666667,1.4000000000000001
Nashville Hot Extra Crispy Chicken Whole Wing,64.0,25.0,6,10,1,1,520,45,290,4.0,0,2.69,0.13793103448275862,1.0344827586206897,1.3793103448275863,2.239140170174653,1.4942528735632186,1.3793103448275863
Nashville Hot Kentucky Grilled Chicken® Breast,138.0,12.0,1,38,0,0,790,130,260,3.0,0,5.00,0.025641025641025644,3.3333333333333335,5.846153846153847,1.1988011988011988,2.532051282051282,1.153846153846154
Nashville Hot Kentucky Grilled Chicken® Drumstick,43.0,6.0,0,11,0,0,260,55,100,1.5,0,5.00,0.0,3.666666666666667,4.4,1.5584415584415583,2.166666666666667,1.5
Nashville Hot Kentucky Grilled Chicken® Thigh,74.0,12.0,0,17,0,0,470,90,180,3.5,0,5.00,0.0,3.3333333333333335,3.7777777777777777,1.7316017316017316,2.175925925925926,1.9444444444444444
Nashville Hot Kentucky Grilled Chicken® Whole Wing,33.0,6.0,1,9,0,0,210,45,90,1.5,0,2.69,0.07407407407407408,3.3333333333333335,4.0,1.7316017316017316,1.9444444444444446,1.6666666666666667
Nashville Hot Spicy Crispy Chicken Breast,171.0,40.0,14,31,1,2,1390,100,540,7.0,0,2.69,0.1728395061728395,1.2345679012345678,2.2962962962962963,1.924001924001924,2.1450617283950617,1.2962962962962963
Nashville Hot Spicy Crispy Chicken Drumstick,53.0,14.0,6,9,0,1,510,40,190,2.5,0,5.99,0.2105263157894737,1.4035087719298245,1.8947368421052633,1.9138755980861242,2.236842105263158,1.3157894736842104
Nashville Hot Spicy Crispy Chicken Thigh,94.0,32.0,12,13,1,2,900,65,390,6.0,0,2.69,0.20512820512820515,1.1111111111111112,1.3333333333333333,2.131202131202131,1.923076923076923,1.5384615384615385
Nashville Hot Spicy Crispy Chicken Whole Wing,43.0,15.0,5,8,0,1,450,35,180,2.5,0,2.69,0.18518518518518517,1.2962962962962963,1.777777777777778,2.1645021645021645,2.0833333333333335,1.3888888888888888
Georgia Gold Extra Crispy Chicken Breast,201.0,54.0,21,35,3,1,1370,110,710,8.0,0,2.69,0.19718309859154928,1.0328638497652582,1.9718309859154928,1.9754892994329614,1.6079812206572772,1.1267605633802817
Georgia Gold Extra Crispy Chicken Drumstick,63.0,18.0,6,11,1,1,460,55,230,3.0,0,2.69,0.17391304347826086,1.5942028985507248,1.9130434782608696,2.0327498588368154,1.6666666666666667,1.3043478260869565
Georgia Gold Extra Crispy Chicken Thigh,128.0,36.0,11,22,2,0,860,105,460,6.0,0,2.69,0.15942028985507248,1.5217391304347825,1.9130434782608696,2.0327498588368154,1.5579710144927537,1.3043478260869565
Georgia Gold Extra Crispy Chicken Whole Wing,57.0,19.0,6,10,1,1,420,45,240,3.0,0,2.69,0.16666666666666669,1.25,1.6666666666666665,2.056277056277056,1.4583333333333335,1.25
Georgia Gold Kentucky Grilled Chicken® Breast,135.0,10.0,1,38,1,0,760,130,250,2.5,0,2.69,0.02666666666666667,3.466666666666667,6.08,1.0389610389610389,2.5333333333333337,1.0
Georgia Gold Kentucky Grilled Chicken® Drumstick,43.0,6.0,0,11,0,0,250,55,90,1.5,0,2.69,0.0,4.074074074074074,4.888888888888888,1.7316017316017316,2.314814814814815,1.6666666666666667
Georgia Gold Kentucky Grilled Chicken® Thigh,74.0,11.0,0,17,0,0,450,90,170,3.0,0,2.69,0.0,3.5294117647058827,4.0,1.6806722689075633,2.2058823529411766,1.7647058823529411
Georgia Gold Kentucky Grilled Chicken® Whole Wing,33.0,6.0,1,9,0,0,210,45,90,1.5,0,2.69,0.07407407407407408,3.3333333333333335,4.0,1.7316017316017316,1.9444444444444446,1.6666666666666667
Georgia Gold Spicy Crispy Chicken Breast,172.0,40.0,15,31,3,1,1340,100,550,7.0,0,2.69,0.18181818181818182,1.2121212121212122,2.254545454545455,1.8890200708382525,2.0303030303030307,1.2727272727272727
Georgia Gold Spicy Crispy Chicken Drumstick,52.0,13.0,6,9,1,1,480,40,180,2.0,0,2.69,0.22222222222222224,1.4814814814814814,2.0,1.8759018759018757,2.2222222222222223,1.1111111111111112
Georgia Gold Spicy Crispy Chicken Thigh,91.0,29.0,12,13,1,1,830,65,360,5.0,0,2.69,0.22222222222222224,1.2037037037037037,1.4444444444444442,2.0923520923520926,1.9212962962962963,1.3888888888888888
Georgia Gold Spicy Crispy Chicken Whole Wing,43.0,14.0,6,8,1,1,420,35,180,2.5,0,2.69,0.22222222222222224,1.2962962962962963,1.777777777777778,2.0202020202020203,1.9444444444444446,1.3888888888888888
Smoky Mountain BBQ Extra Crispy Chicken Breast,204.0,51.0,27,35,8,0,1220,105,710,8.0,0,2.69,0.2535211267605634,0.9859154929577465,1.9718309859154928,1.865739893908908,1.431924882629108,1.1267605633802817
Smoky Mountain BBQ Extra Crispy Chicken Drumstick,63.0,16.0,8,11,2,1,410,50,220,2.5,0,2.69,0.24242424242424243,1.5151515151515151,2.0,1.8890200708382525,1.553030303030303,1.1363636363636365
Smoky Mountain BBQ Extra Crispy Chicken Thigh,129.0,33.0,15,22,5,0,750,100,450,6.0,0,2.69,0.22222222222222224,1.4814814814814814,1.9555555555555557,1.9047619047619047,1.388888888888889,1.3333333333333335
Smoky Mountain BBQ Extra Crispy Chicken Whole Wing,58.0,18.0,8,10,3,0,360,45,240,3.0,0,2.69,0.22222222222222224,1.25,1.6666666666666665,1.948051948051948,1.25,1.25
Smoky Mountain BBQ Kentucky Grilled Chicken® Breast,138.0,11.0,2,38,2,0,730,130,260,3.0,0,2.69,0.05128205128205129,3.3333333333333335,5.846153846153847,1.098901098901099,2.33974358974359,1.153846153846154
Smoky Mountain BBQ Kentucky Grilled Chicken® Drumstick,44.0,5.0,1,11,1,0,230,55,100,1.5,0,5.99,0.06666666666666667,3.666666666666667,4.4,1.2987012987012987,1.9166666666666665,1.5
Smoky Mountain BBQ Kentucky Grilled Chicken® Thigh,74.0,11.0,1,17,1,0,430,90,180,3.0,0,2.69,0.03703703703703704,3.3333333333333335,3.7777777777777777,1.5873015873015872,1.9907407407407407,1.6666666666666667
Smoky Mountain BBQ Kentucky Grilled Chicken® Whole Wing,33.0,5.0,1,9,1,0,180,45,90,1.5,0,2.69,0.07407407407407408,3.3333333333333335,4.0,1.4430014430014428,1.6666666666666667,1.6666666666666667
Smoky Mountain BBQ Spicy Crispy Chicken Breast,173.0,36.0,21,31,8,1,1170,100,530,6.0,0,2.69,0.2641509433962264,1.257861635220126,2.339622641509434,1.7642734623866698,1.839622641509434,1.1320754716981132
Smoky Mountain BBQ Spicy Crispy Chicken Drumstick,54.0,13.0,8,9,3,1,450,40,190,2.0,0,5.99,0.2807017543859649,1.4035087719298245,1.8947368421052633,1.7771701982228298,1.9736842105263157,1.0526315789473684
Smoky Mountain BBQ Spicy Crispy Chicken Thigh,95.0,30.0,16,13,5,1,760,65,380,5.0,0,2.69,0.2807017543859649,1.1403508771929824,1.368421052631579,2.0505809979494187,1.6666666666666667,1.3157894736842104
