Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Chicken Sandwich,156.0,31.0,42,15,4,2,940,35,510,5.0,0.0,1.29,0.5490196078431373,0.4575163398692811,1.1764705882352942,1.5788133435192258,1.5359477124183005,0.9803921568627451
Chicken Sandwich with Bacon,169.0,35.0,42,21,4,2,1210,45,560,7.0,0.5,1.29,0.5,0.5357142857142858,1.5,1.6233766233766234,1.8005952380952381,1.25
Crispy Chicken Strips,195.0,24.0,53,33,0,3,1580,60,560,3.0,0.0,4.69,0.6309523809523809,0.7142857142857143,2.357142857142857,1.1131725417439704,2.3511904761904763,0.5357142857142857
Fish Sandwich,173.0,19.0,45,16,4,2,890,30,410,3.0,0.0,1.29,0.7317073170731707,0.4878048780487805,1.5609756097560976,1.2036743744060816,1.8089430894308944,0.7317073170731708
Homestyle Ranch Chicken Club,267.0,33.0,66,40,12,4,1880,80,710,8.0,0.0,4.99,0.619718309859155,0.7511737089201879,2.2535211267605635,1.2072434607645874,2.206572769953052,1.1267605633802817
Jack's Spicy Chicken,232.0,29.0,48,26,5,2,770,55,550,5.0,0.0,4.59,0.5818181818181819,0.6666666666666667,1.8909090909090909,1.369539551357733,1.1666666666666667,0.9090909090909091
Jack's Spicy Chicken with Cheese,255.0,35.0,49,30,5,2,1060,70,630,8.0,0.5,4.59,0.5185185185185186,0.7407407407407407,1.9047619047619047,1.4430014430014428,1.402116402116402,1.2698412698412698
Sourdough Grilled Chicken Club,266.0,30.0,38,39,6,3,1500,95,580,8.0,0.0,4.99,0.4367816091954024,1.0919540229885059,2.6896551724137927,1.3434841021047916,2.1551724137931036,1.3793103448275863
Bacon Ranch Monster Taco,117.0,24.0,19,11,1,1,660,30,340,6.0,0.5,1.69,0.37254901960784315,0.5882352941176471,1.2941176470588236,1.8334606569900687,1.6176470588235294,1.7647058823529411
Chicken Teriyaki Bowl,499.0,6.0,134,27,35,5,1910,40,690,1.0,0.0,4.69,1.2946859903381644,0.3864734299516908,1.565217391304348,0.22586109542631283,2.3067632850241546,0.14492753623188406
Monster Taco,118.0,17.0,19,9,1,2,630,25,270,6.0,0.5,1.29,0.46913580246913583,0.6172839506172839,1.3333333333333333,1.6354016354016352,1.9444444444444446,2.2222222222222223
Nacho Monster Taco,136.0,22.0,23,9,2,2,930,15,330,6.0,0.5,1.69,0.4646464646464647,0.30303030303030304,1.0909090909090908,1.7316017316017316,2.3484848484848486,1.8181818181818181
Chicken Club Salad with Crispy Chicken,375.0,28.0,36,32,4,5,1230,70,510,9.0,0.0,5.49,0.47058823529411764,0.9150326797385622,2.5098039215686274,1.4260249554367201,2.0098039215686274,1.7647058823529411
Chicken Club Salad with Grilled Chicken,376.0,20.0,11,39,5,4,1060,105,370,9.0,0.0,5.49,0.19819819819819823,1.8918918918918919,4.216216216216217,1.4040014040014042,2.3873873873873874,2.4324324324324325
Grilled Chicken Salad,372.0,9.0,13,30,6,5,750,80,250,4.5,0.0,5.49,0.3466666666666667,2.1333333333333333,4.8,0.9350649350649349,2.5,1.7999999999999998
Southwest Chicken Salad with Crispy Chicken,428.0,23.0,52,28,5,8,1260,55,500,7.0,0.0,5.49,0.6933333333333334,0.7333333333333334,2.24,1.1948051948051948,2.1,1.4000000000000001
Southwest Chicken Salad with Grilled Chicken,430.0,15.0,27,35,6,7,1090,90,350,6.0,0.0,5.49,0.5142857142857142,1.7142857142857142,4.0,1.1131725417439704,2.5952380952380953,1.7142857142857144
Bacon Cheddar Potato Wedges,252.0,41.0,58,17,2,5,1250,30,680,9.0,0.0,3.09,0.5686274509803922,0.29411764705882354,1.0,1.5660809778456837,1.531862745098039,1.3235294117647058
Egg Roll (3 pc.),174.0,22.0,46,16,6,7,950,20,440,5.0,0.0,4.09,0.6969696969696969,0.30303030303030304,1.4545454545454546,1.2987012987012987,1.7992424242424243,1.1363636363636365
"French Fries, Large",176.0,25.0,75,6,1,5,1010,0,550,2.5,0.0,2.29,0.9090909090909091,0.0,0.4363636363636364,1.1806375442739079,1.5303030303030305,0.45454545454545453
"French Fries, Medium",137.0,20.0,58,5,0,4,780,0,430,2.0,0.0,2.09,0.8992248062015505,0.0,0.46511627906976744,1.2080942313500453,1.5116279069767442,0.46511627906976744
"French Fries, Small",94.0,14.0,40,3,0,3,540,0,300,1.0,0.0,1.89,0.888888888888889,0.0,0.4,1.2121212121212122,1.5,0.33333333333333337
