Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
Kids Country Style Bean Curd,,8.0,9.0,4.0,5.0,1.0,600.0,0.0,120.0,1.0,0.0,0.5,0.0,1.7316017316017316,4.166666666666667,0.22222222222222224,$2.10
Kids Crispy Shrimp,,8.0,17.0,6.0,1.0,1.0,520.0,40.0,170.0,1.5,0.0,0.6666666666666667,1.568627450980392,1.2223071046600458,2.5490196078431366,0.2352941176470588,$1.90
Kids Eggplant Tofu,,18.0,17.0,5.0,13.0,2.0,390.0,0.0,250.0,2.5,0.0,0.4533333333333334,0.0,1.8701298701298696,1.3,0.13333333333333333,$9.70
Kids Fried Rice,,10.0,57.0,7.0,2.0,0.0,570.0,80.0,350.0,2.0,0.0,1.085714285714286,1.5238095238095235,0.7421150278293135,1.3571428571428572,0.13333333333333333,$1.80
Kids Golden Treasure Shrimp,,10.0,20.0,8.0,8.0,1.0,250.0,60.0,210.0,1.5,0.0,0.6349206349206349,1.9047619047619049,1.2368583797155226,0.992063492063492,0.253968253968254,$1.90
Kids Grilled Asian Chicken,,8.0,5.0,22.0,5.0,0.0,320.0,110.0,180.0,2.5,0.0,0.1851851851851852,4.0740740740740735,1.1544011544011543,1.4814814814814814,0.8148148148148148,$2.10
Kids Grilled Teriyaki Chicken,,8.0,5.0,22.0,5.0,0.0,320.0,110.0,180.0,2.5,0.0,0.1851851851851852,4.0740740740740735,1.1544011544011543,1.4814814814814814,0.8148148148148148,$2.10
Kids Honey Sesame Chicken Breast,,17.0,30.0,12.0,14.0,2.0,360.0,30.0,320.0,3.0,0.0,0.625,0.625,1.37987012987013,0.9375,0.25,$7.50
Kids Honey Walnut Shrimp,,13.0,14.0,7.0,5.0,1.0,240.0,55.0,200.0,2.0,0.0,0.4666666666666667,1.8333333333333333,1.6883116883116884,1.0,0.23333333333333334,$1.90
Kids Hot Szechuan Tofu,,6.0,7.0,4.0,4.0,1.0,430.0,0.0,100.0,0.5,0.0,0.4666666666666667,0.0,1.5584415584415583,3.583333333333333,0.26666666666666666,$0.75
Kids Kung Pao Chicken,,14.0,10.0,11.0,4.0,2.0,690.0,40.0,200.0,2.5,0.0,0.33333333333333337,1.3333333333333337,1.8181818181818183,2.8750000000000004,0.3666666666666667,$9.70
"Kids Mixed Vegetables, Side",,0.0,12.0,3.0,4.0,4.0,400.0,0.0,60.0,0.0,0.0,1.3333333333333337,0.0,0.0,5.555555555555557,0.33333333333333337,$3.70
Kids Mushroom Chicken,,7.0,8.0,9.0,3.0,1.0,580.0,30.0,130.0,1.5,0.0,0.4102564102564103,1.5384615384615383,1.3986013986013988,3.717948717948718,0.4615384615384616,$1.90
Kids Orange Chicken,,17.0,38.0,19.0,14.0,1.0,620.0,60.0,370.0,3.5,0.0,0.6846846846846848,1.0810810810810811,1.1934011934011934,1.3963963963963963,0.3423423423423424,$9.70
Kids Potato Chicken,,8.0,15.0,6.0,3.0,0.0,510.0,20.0,140.0,1.5,0.0,0.7142857142857143,0.9523809523809524,1.4842300556586268,3.0357142857142856,0.2857142857142857,$2.10
Kids Shanghai Angus Steak with String Beans,,14.0,13.0,14.0,8.0,1.0,590.0,30.0,230.0,3.0,0.0,0.37681159420289856,0.8695652173913043,1.5810276679841897,2.13768115942029,0.4057971014492754,$13.45
Kids Steamed Ginger Fish,,4.0,3.0,5.0,2.0,0.0,660.0,15.0,70.0,1.0,0.0,0.2857142857142857,1.4285714285714286,1.4842300556586268,7.857142857142858,0.4761904761904762,$2.10
Kids String Bean Chicken Breast,,7.0,10.0,11.0,3.0,3.0,440.0,25.0,140.0,1.5,0.0,0.4761904761904762,1.1904761904761905,1.2987012987012987,2.619047619047619,0.5238095238095238,$1.25
Kids Sweet & Sour Chicken Breast,,10.0,35.0,9.0,21.0,1.0,220.0,20.0,270.0,2.0,0.0,0.8641975308641975,0.4938271604938271,0.9620009620009621,0.6790123456790124,0.22222222222222224,$8.30
Kids SweetFire Chicken Breast,,12.0,35.0,10.0,20.0,1.0,240.0,25.0,280.0,2.0,0.0,0.8333333333333334,0.5952380952380952,1.1131725417439704,0.7142857142857143,0.2380952380952381,$9.70
Kids Teriyaki Chicken,,8.0,8.0,25.0,6.0,2.0,380.0,115.0,200.0,2.0,0.0,0.26666666666666666,3.833333333333333,1.0389610389610389,1.5833333333333333,0.8333333333333334,$2.10
Kids White Steamed Rice,,0.0,54.0,5.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,1.5,0.0,0.0,0.0,0.1388888888888889,$3.70
