Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
"French Fries, Small",75.0,11.0,29.0,3.0,0.0,3.0,160.0,0.0,230.0,1.5,0.0,0.8405797101449275,0.0,1.2422360248447206,0.5797101449275363,0.08695652173913042,$1.39
"Fruit 'N Yogurt Parfait, Large",,4.5,58.0,8.0,45.0,1.0,110.0,15.0,300.0,2.5,0.0,1.2888888888888892,0.33333333333333337,0.3896103896103896,0.3055555555555555,0.17777777777777778,$1.49
Baked Cherry and Creme Pie,,15.0,35.0,3.0,14.0,1.0,160.0,10.0,290.0,9.0,0.0,0.8045977011494253,0.2298850574712644,1.3434841021047916,0.4597701149425287,0.06896551724137931,$0.99
Birthday Cake Dipped Cone,,12.0,35.0,5.0,27.0,0.0,90.0,15.0,270.0,9.0,0.0,0.8641975308641975,0.3703703703703704,1.1544011544011543,0.2777777777777778,0.12345679012345677,$4.39
Caramel Butter Pecan Ice Cream,,20.0,34.0,5.0,23.0,1.0,125.0,40.0,330.0,10.0,0.0,0.6868686868686869,0.8080808080808082,1.5741833923652109,0.3156565656565657,0.10101010101010102,$3.39
Caramel Sundae Waffle Cone,,8.0,78.0,8.0,50.0,1.0,190.0,30.0,420.0,5.0,0.0,1.238095238095238,0.4761904761904762,0.494743351886209,0.37698412698412703,0.126984126984127,$5.79
Happy Meal Cheeseburger,,12.0,33.0,15.0,7.0,2.0,680.0,40.0,300.0,6.0,0.5,0.7333333333333334,0.8888888888888891,1.0389610389610389,1.8888888888888888,0.33333333333333337,$1.00
"Happy Meal Chicken McNuggets, 4 piece",,11.0,11.0,10.0,0.0,1.0,340.0,30.0,180.0,2.0,0.0,0.4074074074074074,1.1111111111111112,1.5873015873015872,1.5740740740740742,0.3703703703703704,$3.29
"Happy Meal Chicken McNuggets, 6 piece",,16.0,16.0,15.0,0.0,1.0,510.0,45.0,270.0,2.5,0.0,0.39506172839506176,1.1111111111111112,1.5392015392015392,1.5740740740740742,0.3703703703703704,$3.99
Mighty Kids Meal Chicken McNuggets (6 piece),,16.0,16.0,15.0,0.0,1.0,510.0,45.0,270.0,2.5,0.0,0.39506172839506176,1.1111111111111112,1.5392015392015392,1.5740740740740742,0.3703703703703704,$3.99
Mighty Kids Meal Go-Gurt Strawberry Flavored Low Fat Yogurt Tube,,0.5,8.0,3.0,6.0,0.0,30.0,5.0,50.0,0.0,0.0,1.0666666666666669,0.6666666666666667,0.2597402597402597,0.5,0.4,$3.39
