Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
Plain Bagel,109.0,1.5,58.0,10.0,3.0,2.0,410.0,0.0,290.0,0.0,0.0,1.3333333333333337,0.0,0.13434841021047916,1.1781609195402298,0.2298850574712644,$1.05
Poppyseed Bagel,,2.5,58.0,10.0,4.0,2.0,410.0,0.0,300.0,2.5,0.0,1.2888888888888892,0.0,0.21645021645021645,1.138888888888889,0.22222222222222224,0
Salt Bagel,,1.5,58.0,10.0,3.0,2.0,2740.0,0.0,290.0,0.0,0.0,1.3333333333333337,0.0,0.13434841021047916,7.873563218390807,0.2298850574712644,$6.25
Sesame Bagel,,3.0,58.0,10.0,3.0,2.0,410.0,0.0,300.0,0.0,0.0,1.2888888888888892,0.0,0.2597402597402597,1.138888888888889,0.22222222222222224,$1.05
Sprouted Grain Bagel Flat,,1.5,48.0,8.0,4.0,5.0,300.0,0.0,240.0,0.0,0.0,1.3333333333333337,0.0,0.16233766233766234,1.0416666666666667,0.22222222222222224,$1.05
Whole Grain Bagel,,2.5,67.0,13.0,5.0,7.0,460.0,0.0,330.0,0.0,0.0,1.3535353535353536,0.0,0.19677292404565133,1.1616161616161618,0.2626262626262626,$7.69
Apple Crunch Muffin,139.0,12.0,80.0,7.0,49.0,2.0,380.0,55.0,450.0,3.0,0.0,1.1851851851851851,0.8148148148148148,0.6926406926406927,0.7037037037037037,0.1037037037037037,$0.99
Bear Claw,128.0,31.0,59.0,9.0,29.0,3.0,350.0,75.0,550.0,15.0,0.0,0.7151515151515152,0.9090909090909092,1.4639905548996461,0.5303030303030303,0.1090909090909091,$2.69
Blueberry Muffin with Fresh Blueberries,128.0,18.0,69.0,6.0,40.0,1.0,380.0,60.0,460.0,3.0,0.0,1.0,0.8695652173913043,1.0163749294184077,0.6884057971014493,0.08695652173913042,$2.39
Candy Cookie,,19.0,58.0,5.0,30.0,1.0,260.0,70.0,420.0,11.0,0.5,0.9206349206349208,1.1111111111111112,1.1750154607297465,0.5158730158730159,0.07936507936507936,$1.99
