Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
Chocolate Headlight Donut,,18.0,39.0,4.0,19.0,1.0,370.0,0.0,330.0,8.0,0.0,0.7878787878787878,0.0,1.4167650531286895,0.9343434343434344,0.08080808080808081,0
Chocolate Long John,,17.0,42.0,5.0,16.0,1.0,320.0,0.0,340.0,7.0,0.0,0.823529411764706,0.0,1.2987012987012987,0.7843137254901961,0.09803921568627452,0
Cinnamon Donut,,19.0,32.0,4.0,13.0,1.0,320.0,25.0,310.0,9.0,0.0,0.6881720430107527,0.5376344086021505,1.591956430666108,0.8602150537634409,0.08602150537634409,0
Cinnamon Stick,,25.0,35.0,4.0,13.0,1.0,370.0,30.0,380.0,11.0,0.0,0.6140350877192983,0.5263157894736842,1.7088174982911823,0.8114035087719299,0.07017543859649122,0
Coconut Donut,,20.0,48.0,4.0,27.0,1.0,330.0,25.0,390.0,10.0,0.0,0.8205128205128206,0.4273504273504273,1.332001332001332,0.7051282051282052,0.06837606837606837,0
Creme Delight Donut (Regional),,20.0,43.0,3.0,24.0,1.0,370.0,0.0,360.0,9.0,0.0,0.7962962962962964,0.0,1.4430014430014428,0.8564814814814814,0.05555555555555556,0
Donut Fries,,14.0,22.0,4.0,5.0,1.0,220.0,20.0,240.0,8.0,0.0,0.6111111111111109,0.5555555555555556,1.5151515151515151,0.7638888888888888,0.11111111111111112,$8.99
Double Chocolate Donut,,20.0,39.0,4.0,18.0,2.0,440.0,0.0,350.0,9.0,0.0,0.7428571428571429,0.0,1.4842300556586268,1.0476190476190477,0.0761904761904762,0
Dulce de Leche Donut (Regional),,16.0,35.0,4.0,13.0,1.0,350.0,0.0,300.0,7.0,0.0,0.7777777777777778,0.0,1.3852813852813854,0.9722222222222224,0.08888888888888889,0
Eclair,,18.0,51.0,5.0,23.0,1.0,390.0,0.0,380.0,7.0,0.0,0.8947368421052632,0.0,1.2303485987696514,0.8552631578947372,0.08771929824561403,0
French Cruller,,13.0,23.0,3.0,10.0,0.0,170.0,55.0,220.0,6.0,0.0,0.6969696969696969,1.6666666666666667,1.5348288075560803,0.6439393939393939,0.09090909090909093,$1.29
Frosted Vanilla Creme Donut,,20.0,43.0,3.0,24.0,1.0,370.0,0.0,360.0,9.0,0.0,0.7962962962962964,0.0,1.4430014430014428,0.8564814814814814,0.05555555555555556,0
Frosted with DD Sprinkles Donut,,16.0,35.0,3.0,15.0,1.0,340.0,0.0,290.0,7.0,0.0,0.8045977011494253,0.0,1.4330497089117775,0.9770114942528736,0.06896551724137931,0
Glazed Blueberry Donut,,16.0,44.0,4.0,22.0,1.0,370.0,30.0,340.0,7.0,0.0,0.8627450980392158,0.5882352941176471,1.2223071046600458,0.9068627450980392,0.0784313725490196,0
Glazed Chocolate Donut,,19.0,38.0,3.0,17.0,1.0,420.0,0.0,340.0,9.0,0.0,0.7450980392156863,0.0,1.4514896867838043,1.0294117647058825,0.05882352941176471,0
Glazed Chocolate Stick,,25.0,42.0,4.0,20.0,2.0,540.0,0.0,410.0,10.0,0.0,0.6829268292682926,0.0,1.5837820715869495,1.0975609756097562,0.06504065040650407,0
Glazed Donut,,14.0,30.0,3.0,12.0,1.0,330.0,0.0,260.0,6.0,0.0,0.7692307692307693,0.0,1.3986013986013988,1.0576923076923077,0.07692307692307693,0
Glazed Jelly Donut,,14.0,42.0,3.0,24.0,1.0,350.0,0.0,310.0,6.0,0.0,0.9032258064516129,0.0,1.1730205278592374,0.9408602150537636,0.06451612903225808,0
Glazed Jelly Stick,,25.0,61.0,4.0,39.0,1.0,420.0,30.0,490.0,11.0,0.0,0.8299319727891157,0.4081632653061225,1.32520540683806,0.7142857142857143,0.054421768707483,0
Glazed Lemon Donut (Regional),,14.0,39.0,3.0,19.0,1.0,380.0,0.0,300.0,6.0,0.0,0.8666666666666667,0.0,1.2121212121212122,1.0555555555555556,0.06666666666666668,0
Glazed Stick,,25.0,43.0,4.0,21.0,1.0,370.0,30.0,410.0,11.0,0.0,0.6991869918699187,0.4878048780487805,1.5837820715869495,0.7520325203252033,0.06504065040650407,0
Glazed Strawberry Donut,,14.0,43.0,3.0,23.0,1.0,350.0,0.0,310.0,6.0,0.0,0.9247311827956988,0.0,1.1730205278592374,0.9408602150537636,0.06451612903225808,0
Guava Donut (Regional),,15.0,30.0,3.0,11.0,1.0,350.0,0.0,270.0,7.0,0.0,0.7407407407407407,0.0,1.4430014430014428,1.080246913580247,0.07407407407407407,$3.59
Jelly Donut,,14.0,34.0,3.0,16.0,1.0,350.0,0.0,280.0,6.0,0.0,0.8095238095238095,0.0,1.2987012987012987,1.0416666666666667,0.07142857142857144,$4.99
Jelly Stick,,25.0,52.0,4.0,32.0,1.0,410.0,30.0,450.0,11.0,0.0,0.7703703703703704,0.4444444444444445,1.4430014430014428,0.7592592592592593,0.05925925925925926,0
Lemon Donut,,15.0,29.0,3.0,10.0,1.0,380.0,0.0,260.0,7.0,0.0,0.7435897435897436,0.0,1.4985014985014986,1.2179487179487178,0.07692307692307693,0
Lemon Stick,,25.0,45.0,4.0,21.0,1.0,450.0,30.0,420.0,11.0,0.0,0.7142857142857143,0.4761904761904762,1.546072974644403,0.8928571428571429,0.0634920634920635,$0.50
Maple Creme Donut,,19.0,36.0,3.0,18.0,1.0,350.0,0.0,320.0,8.0,0.0,0.75,0.0,1.542207792207792,0.9114583333333334,0.0625,0
Maple Creme Stick,,24.0,60.0,5.0,35.0,1.0,350.0,0.0,480.0,11.0,0.0,0.8333333333333334,0.0,1.2987012987012987,0.6076388888888888,0.06944444444444445,0
Maple Frosted Donut,,15.0,32.0,3.0,14.0,1.0,340.0,0.0,280.0,7.0,0.0,0.7619047619047619,0.0,1.3914656771799627,1.011904761904762,0.07142857142857144,0
