Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
Jumbo Jack,223.0,33.0,32.0,23.0,6.0,2.0,580.0,60.0,520.0,10.0,1.5,0.4102564102564103,0.7692307692307693,1.6483516483516485,0.9294871794871796,0.2948717948717949,$2.59
Jumbo Jack Cheeseburger,245.0,40.0,33.0,28.0,6.0,2.0,990.0,80.0,600.0,14.0,1.5,0.3666666666666667,0.8888888888888891,1.7316017316017316,1.375,0.3111111111111111,$5.99
Sourdough Jack,227.0,45.0,39.0,35.0,7.0,3.0,1180.0,95.0,700.0,15.0,1.5,0.37142857142857133,0.9047619047619048,1.6697588126159553,1.4047619047619049,0.33333333333333337,$6.89
Spicy Sriracha Burger,247.0,45.0,38.0,33.0,6.0,3.0,1330.0,90.0,680.0,14.0,1.5,0.3725490196078432,0.8823529411764707,1.7188693659281895,1.6299019607843137,0.3235294117647059,$6.89
Ultimate Cheeseburger,253.0,59.0,31.0,47.0,5.0,1.0,1180.0,150.0,840.0,23.0,3.0,0.24603174603174605,1.1904761904761905,1.824366110080396,1.1706349206349207,0.37301587301587297,$6.89
Chicken Fajita Pita made with Whole Grain without Salsa,244.0,12.0,36.0,24.0,4.0,4.0,1120.0,55.0,350.0,6.0,0.0,0.6857142857142857,1.0476190476190477,0.8905380333951763,2.666666666666667,0.4571428571428572,$6.99
Chicken Fajita Pita made with Whole Grain with Salsa,220.0,12.0,35.0,23.0,3.0,4.0,1000.0,55.0,340.0,6.0,0.0,0.6862745098039216,1.0784313725490198,0.9167303284950344,2.4509803921568634,0.4509803921568628,0
Chicken Nuggets (5 pc.),77.0,17.0,13.0,9.0,0.0,1.0,600.0,25.0,240.0,2.0,0.0,0.3611111111111112,0.6944444444444445,1.83982683982684,2.083333333333333,0.25,$1.59
Chicken Nuggets (10 pc.),153.0,33.0,26.0,19.0,0.0,2.0,1210.0,50.0,480.0,4.5,0.0,0.3611111111111112,0.6944444444444445,1.7857142857142858,2.1006944444444446,0.2638888888888889,$5.29
Chicken Nuggets (20 pc.),306.0,66.0,51.0,38.0,1.0,4.0,2420.0,105.0,950.0,9.0,0.0,0.3578947368421053,0.7368421052631579,1.8045112781954888,2.12280701754386,0.26666666666666666,$3.99
Chicken Sandwich,156.0,31.0,42.0,15.0,4.0,2.0,940.0,35.0,510.0,5.0,0.0,0.5490196078431373,0.4575163398692811,1.5788133435192258,1.5359477124183003,0.19607843137254904,$1.29
Chicken Sandwich with Bacon,169.0,35.0,42.0,21.0,4.0,2.0,1210.0,45.0,560.0,7.0,0.5,0.5,0.5357142857142858,1.6233766233766234,1.800595238095238,0.25,0
Crispy Chicken Strips,195.0,24.0,53.0,33.0,0.0,3.0,1580.0,60.0,560.0,3.0,0.0,0.6309523809523809,0.7142857142857143,1.1131725417439704,2.3511904761904763,0.3928571428571429,$6.89
Fish Sandwich,173.0,19.0,45.0,16.0,4.0,2.0,890.0,30.0,410.0,3.0,0.0,0.7317073170731707,0.4878048780487805,1.2036743744060816,1.8089430894308944,0.2601626016260163,0
Homestyle Ranch Chicken Club,267.0,33.0,66.0,40.0,12.0,4.0,1880.0,80.0,710.0,8.0,0.0,0.619718309859155,0.7511737089201879,1.2072434607645874,2.206572769953052,0.3755868544600939,$7.19
Jack's Spicy Chicken,232.0,29.0,48.0,26.0,5.0,2.0,770.0,55.0,550.0,5.0,0.0,0.5818181818181819,0.6666666666666667,1.369539551357733,1.1666666666666667,0.3151515151515152,$6.79
Jack's Spicy Chicken with Cheese,255.0,35.0,49.0,30.0,5.0,2.0,1060.0,70.0,630.0,8.0,0.5,0.5185185185185186,0.7407407407407407,1.4430014430014428,1.402116402116402,0.31746031746031744,0
Sourdough Grilled Chicken Club,266.0,30.0,38.0,39.0,6.0,3.0,1500.0,95.0,580.0,8.0,0.0,0.4367816091954024,1.091954022988506,1.3434841021047916,2.155172413793104,0.4482758620689655,$7.19
Bacon Ranch Monster Taco,117.0,24.0,19.0,11.0,1.0,1.0,660.0,30.0,340.0,6.0,0.5,0.3725490196078432,0.5882352941176471,1.8334606569900689,1.6176470588235294,0.215686274509804,$1.29
Chicken Teriyaki Bowl,499.0,6.0,134.0,27.0,35.0,5.0,1910.0,40.0,690.0,1.0,0.0,1.2946859903381644,0.3864734299516908,0.22586109542631286,2.3067632850241546,0.2608695652173913,$6.89
Monster Taco,118.0,17.0,19.0,9.0,1.0,2.0,630.0,25.0,270.0,6.0,0.5,0.4691358024691358,0.6172839506172839,1.6354016354016352,1.9444444444444449,0.22222222222222224,$1.29
Nacho Monster Taco,136.0,22.0,23.0,9.0,2.0,2.0,930.0,15.0,330.0,6.0,0.5,0.4646464646464647,0.30303030303030304,1.7316017316017316,2.3484848484848486,0.18181818181818185,$1.89
Chicken Club Salad with Crispy Chicken,375.0,28.0,36.0,32.0,4.0,5.0,1230.0,70.0,510.0,9.0,0.0,0.4705882352941176,0.9150326797385622,1.42602495543672,2.0098039215686274,0.4183006535947713,$5.49
Chicken Club Salad with Grilled Chicken,376.0,20.0,11.0,39.0,5.0,4.0,1060.0,105.0,370.0,9.0,0.0,0.19819819819819826,1.891891891891892,1.4040014040014042,2.3873873873873874,0.7027027027027027,0
Grilled Chicken Salad,372.0,9.0,13.0,30.0,6.0,5.0,750.0,80.0,250.0,4.5,0.0,0.3466666666666667,2.1333333333333333,0.9350649350649348,2.5,0.8,$2.79
Southwest Chicken Salad with Crispy Chicken,428.0,23.0,52.0,28.0,5.0,8.0,1260.0,55.0,500.0,7.0,0.0,0.6933333333333334,0.7333333333333334,1.1948051948051948,2.1,0.37333333333333335,$5.49
Southwest Chicken Salad with Grilled Chicken,430.0,15.0,27.0,35.0,6.0,7.0,1090.0,90.0,350.0,6.0,0.0,0.5142857142857142,1.7142857142857142,1.1131725417439704,2.595238095238096,0.6666666666666667,0
Bacon Cheddar Potato Wedges,252.0,41.0,58.0,17.0,2.0,5.0,1250.0,30.0,680.0,9.0,0.0,0.5686274509803922,0.29411764705882354,1.5660809778456837,1.531862745098039,0.16666666666666669,$3.09
Egg Roll (3 pc.),174.0,22.0,46.0,16.0,6.0,7.0,950.0,20.0,440.0,5.0,0.0,0.6969696969696969,0.30303030303030304,1.2987012987012987,1.7992424242424243,0.24242424242424246,$4.09
"French Fries, Large",176.0,25.0,75.0,6.0,1.0,5.0,1010.0,0.0,550.0,2.5,0.0,0.9090909090909092,0.0,1.180637544273908,1.5303030303030305,0.07272727272727274,$2.09
"French Fries, Medium",137.0,20.0,58.0,5.0,0.0,4.0,780.0,0.0,430.0,2.0,0.0,0.8992248062015505,0.0,1.2080942313500451,1.5116279069767442,0.07751937984496124,$1.89
"French Fries, Small",94.0,14.0,40.0,3.0,0.0,3.0,540.0,0.0,300.0,1.0,0.0,0.8888888888888891,0.0,1.2121212121212122,1.5,0.06666666666666668,$1.69
Panko Onion Rings,118.0,24.0,52.0,6.0,5.0,3.0,620.0,0.0,440.0,2.0,0.0,0.7878787878787878,0.0,1.4167650531286895,1.1742424242424243,0.09090909090909093,$2.29
"Seasoned Curly Fries, Medium",130.0,25.0,46.0,5.0,0.0,4.0,940.0,0.0,430.0,2.0,0.0,0.7131782945736435,0.0,1.5101177891875566,1.8217054263565893,0.07751937984496124,$2.49
"Seasoned Curly Fries, Small",85.0,16.0,30.0,3.0,0.0,3.0,610.0,0.0,280.0,1.5,0.0,0.7142857142857143,0.0,1.4842300556586268,1.8154761904761905,0.07142857142857144,$2.49
