Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
"Honolulu Hawaiian Hand Tossed Pizza, Xlarge",192.0,16.0,49.0,19.0,6.0,3.0,1090.0,50.0,430.0,7.0,0.0,0.7596899224806202,0.7751937984496124,0.9664753850800364,2.112403100775194,0.29457364341085274,0
"MeatZZa Hand Tossed Pizza, Large",155.0,17.0,37.0,16.0,3.0,2.0,930.0,40.0,370.0,7.0,0.0,0.6666666666666667,0.7207207207207208,1.1934011934011934,2.0945945945945947,0.28828828828828834,$15.99
"MeatZZa Hand Tossed Pizza, Medium",113.0,13.0,27.0,12.0,2.0,1.0,680.0,30.0,270.0,5.0,0.0,0.6666666666666667,0.7407407407407407,1.2506012506012505,2.098765432098765,0.29629629629629634,$13.99
"MeatZZa Hand Tossed Pizza, Small",106.0,12.0,26.0,11.0,2.0,1.0,630.0,30.0,260.0,5.0,0.0,0.6666666666666667,0.7692307692307693,1.1988011988011988,2.019230769230769,0.2820512820512821,$14.99
"MeatZZa Hand Tossed Pizza, XLarge",204.0,23.0,48.0,22.0,4.0,3.0,1250.0,55.0,490.0,10.0,0.5,0.6530612244897959,0.7482993197278912,1.2191889742910151,2.1258503401360547,0.2993197278911565,$17.99
"Memphis BBQ Chicken Hand Tossed Pizza, Large",141.0,14.0,39.0,17.0,6.0,2.0,660.0,40.0,350.0,7.0,0.0,0.7428571428571429,0.7619047619047619,1.0389610389610389,1.5714285714285714,0.3238095238095238,$15.99
"Memphis BBQ Chicken Hand Tossed Pizza, Medium",105.0,10.0,29.0,12.0,4.0,1.0,490.0,30.0,260.0,5.0,0.0,0.7435897435897436,0.7692307692307693,0.999000999000999,1.5705128205128205,0.3076923076923077,$13.99
"Memphis BBQ Chicken Hand Tossed Pizza, Small",94.0,9.0,27.0,11.0,3.0,1.0,430.0,25.0,240.0,4.0,0.0,0.75,0.6944444444444445,0.9740259740259741,1.4930555555555556,0.3055555555555555,$14.99
"Memphis BBQ Chicken Hand Tossed Pizza, XLarge",183.0,17.0,52.0,21.0,7.0,2.0,850.0,55.0,450.0,9.0,0.5,0.7703703703703704,0.8148148148148148,0.9812409812409812,1.5740740740740742,0.3111111111111111,$17.99
"Pacific Veggie Hand Tossed Pizza, Large",151.0,11.0,37.0,13.0,3.0,2.0,660.0,30.0,310.0,5.0,0.0,0.7956989247311829,0.6451612903225806,0.9216589861751152,1.7741935483870968,0.2795698924731183,$15.99
"Pacific Veggie Hand Tossed Pizza, Medium",110.0,8.0,27.0,10.0,2.0,2.0,490.0,20.0,230.0,4.0,0.0,0.7826086956521741,0.5797101449275363,0.9034443817052512,1.7753623188405798,0.2898550724637681,$13.99
"Pacific Veggie Hand Tossed Pizza, Small",98.0,8.0,25.0,9.0,2.0,1.0,430.0,20.0,210.0,3.5,0.0,0.7936507936507936,0.6349206349206349,0.989486703772418,1.7063492063492065,0.2857142857142857,$14.99
"Pacific Veggie Hand Tossed Pizza, XLarge",194.0,14.0,48.0,17.0,4.0,3.0,840.0,35.0,390.0,7.0,0.0,0.8205128205128206,0.5982905982905983,0.9324009324009324,1.794871794871795,0.2905982905982906,$17.99
"Philly Cheese Steak Hand Tossed Pizza, Large",130.0,13.0,35.0,14.0,2.0,2.0,730.0,35.0,310.0,6.0,0.0,0.7526881720430108,0.7526881720430108,1.0892333472978637,1.9623655913978495,0.3010752688172043,$15.99
"Philly Cheese Steak Hand Tossed Pizza, Medium",97.0,10.0,26.0,10.0,2.0,1.0,570.0,25.0,230.0,5.0,0.0,0.7536231884057971,0.7246376811594203,1.129305477131564,2.065217391304348,0.2898550724637681,$13.99
"Philly Cheese Steak Hand Tossed Pizza, Small",90.0,9.0,25.0,10.0,2.0,1.0,520.0,25.0,220.0,4.5,0.0,0.7575757575757576,0.7575757575757576,1.062573789846517,1.96969696969697,0.30303030303030304,$14.99
"Philly Cheese Steak Hand Tossed Pizza, XLarge",169.0,16.0,46.0,17.0,3.0,2.0,930.0,45.0,400.0,8.0,0.5,0.7666666666666667,0.75,1.0389610389610389,1.9375,0.2833333333333334,$17.99
"Spinach & Feta Hand Tossed Pizza, Large",127.0,14.0,35.0,14.0,1.0,2.0,610.0,35.0,320.0,7.0,0.0,0.7291666666666667,0.7291666666666667,1.1363636363636362,1.5885416666666667,0.2916666666666667,$2.99
