Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Whataburger Patty Melt, Single Whatameal with Lower Calorie Sides",1233g,37g,56g,28g,11g,2g,1230mg,70mg,680,11g,1g
Whataburger Patty Melt Whatameal,1366g,82g,209g,54g,118g,5g,2070mg,125mg,1770,23g,2g
Whataburger Patty Melt Whatameal with Lower Calorie Sides,1336g,61g,56g,49g,11g,2g,1790mg,130mg,980,21g,2g
Whatacatch Sandwich,193g,23g,58g,19g,6g,1g,970mg,50mg,510,4g,0g
Biscuit,85g,16g,32g,5g,2g,1g,600mg,0mg,290,8g,0g
Biscuit and Gravy,255g,29g,46g,7g,4g,1g,1530mg,15mg,470,13g,0g
Biscuit and Gravy Whatameal,788g,40g,67g,10g,4g,3g,2030mg,15mg,670,15g,0g
Biscuit and Jelly,99g,16g,41g,5g,9g,1g,600mg,0mg,330,8g,0g
Biscuit Sandwich with Bacon,164g,29g,32g,18g,2g,1g,1170mg,230mg,470,14g,0g
Biscuit Sandwich with Bacon Whatameal,697g,40g,53g,20g,2g,3g,1670mg,230mg,660,15g,0g
Biscuit Sandwich with Sausage,211g,45g,32g,25g,2g,1g,1360mg,250mg,630,20g,0g
Biscuit Sandwich with Sausage Whatameal,745g,56g,53g,28g,2g,3g,1860mg,250mg,830,21g,0g
Biscuit with Bacon,94g,19g,32g,8g,2g,1g,770mg,10mg,340,9g,0g
Biscuit with Sausage,142g,35g,32g,16g,2g,1g,960mg,30mg,500,15g,0g
Breakfast on a Bun with Bacon,139g,15g,34g,18g,5g,1g,910mg,230mg,350,6g,0g
Breakfast on a Bun with Bacon Whatameal,672g,26g,55g,21g,5g,3g,1410mg,230mg,540,7g,0g
Breakfast on a Bun with Sausage,186g,31g,34g,26g,5g,1g,1100mg,250mg,520,12g,0g
Breakfast on a Bun with Sausage Whatameal,720g,42g,55g,28g,5g,3g,1600mg,250mg,710,13g,0g
Breakfast Platter with Bacon,265g,36g,36g,28g,3g,1g,1080mg,655mg,580,15g,0g
Breakfast Platter with Bacon Whatameal,799g,47g,56g,30g,3g,3g,1590mg,655mg,770,16g,0g
Breakfast Platter with Sausage,313g,52g,36g,35g,3g,1g,1270mg,675mg,740,21g,0g
Breakfast Platter with Sausage Whatameal,846g,63g,56g,38g,3g,3g,1780mg,675mg,940,22g,0g
Cinnamon Roll,142g,10g,79g,8g,35g,3g,450mg,30mg,430,4g,0g
Egg and Cheese Biscuit,154g,26g,32g,14g,2g,1g,1000mg,220mg,420,13g,0g
Egg Sandwich,129g,12g,34g,15g,5g,1g,740mg,220mg,310,5g,0g
Hash Brown Sticks,60g,11g,21g,2g,0g,2g,500mg,0mg,190,2g,0g
Hash Brown Sticks (2),30g,5g,10g,1g,0g,1g,250mg,0mg,90,1g,0g
Hash Brown Sticks (4),60g,11g,21g,2g,0g,2g,500mg,0mg,190,2g,0g
Honey Butter Chicken Biscuit,155g,33g,51g,13g,9g,2g,990mg,30mg,560,11g,0g
Honey Butter Chicken Biscuit Whatameal,688g,45g,71g,16g,9g,3g,1490mg,30mg,750,12g,0g
Jalapeno Cheddar Biscuit,85g,20g,31g,8g,0g,2g,700mg,10mg,330,12g,0g
Jalapeno Cheddar Biscuit and Gravy,255g,32g,45g,11g,2g,2g,1630mg,25mg,520,17g,0g
Jalapeno Cheddar Biscuit and Gravy Whatameal,789g,43g,66g,13g,2g,4g,2140mg,25mg,710,18g,0g
Jalapeno Cheddar Biscuit Sandwich,155g,29g,31g,18g,0g,2g,1100mg,230mg,470,16g,0g
Jalapeno Cheddar Biscuit Sandwich Whatameal,688g,40g,52g,20g,0g,4g,1600mg,230mg,660,18g,0g
Jalapeno Cheddar Biscuit Sandwich with Bacon,164g,33g,31g,22g,0g,2g,1170mg,240mg,510,18g,0g
Jalapeno Cheddar Biscuit Sandwich with Bacon Whatameal,698g,44g,52g,24g,0g,4g,1770mg,240mg,700,19g,0g
Jalapeno Cheddar Biscuit Sandwich with Sausage,212g,48g,31g,29g,0g,2g,1460mg,260mg,680,23g,0g
Jalapeno Cheddar Biscuit Sandwich with Sausage Whatameal,745g,59g,52g,31g,0g,4g,1970mg,260mg,870,25g,0g
Jalapeno Cheddar Biscuit with Bacon,95g,23g,31g,12g,0g,2g,870mg,20mg,380,13g,0g
Jalapeno Cheddar Biscuit with Sausage,142g,39g,31g,19g,0g,2g,1070mg,40mg,540,19g,0g
Pancake Platter with Bacon,273g,20g,108g,13g,36g,3g,1520mg,15mg,670,6g,0g
Pancake Platter with Bacon Whatameal,807g,31g,129g,15g,36g,5g,2030mg,15mg,870,8g,0g
Pancake Platter with Sausage,321g,36g,108g,20g,36g,3g,1720mg,30mg,840,12g,0g
Pancake Platter with Sausage Whatameal,854g,47g,129g,22g,36g,5g,2220mg,30mg,1030,14g,0g
Pancakes,264g,17g,108g,9g,36g,3g,1350mg,0mg,630,5g,0g
"Taquito, No Cheese",143g,16g,28g,14g,1g,1g,630mg,325mg,310,5g,0g
"Taquito with Bacon, Egg & Cheese",165g,22g,28g,20g,1g,1g,1020mg,345mg,400,9g,0g
"Taquito with Bacon, Egg & Cheese Whatameal",699g,34g,49g,22g,1g,3g,1620mg,345mg,590,10g,0g
"Taquito with Bacon, No Cheese",152g,19g,28g,18g,1g,1g,800mg,335mg,350,6g,0g
Taquito with Cheese,156g,19g,28g,16g,1g,1g,1000mg,335mg,350,8g,0g
Taquito with Cheese Whatameal,689g,30g,49g,19g,1g,3g,1500mg,335mg,540,9g,0g
"Taquito with Potato, Egg & Cheese",186g,25g,38g,17g,1g,2g,1240mg,335mg,440,9g,0g
"Taquito with Potato, Egg & Cheese Whatameal",721g,37g,59g,19g,1g,4g,1750mg,335mg,650,10g,0g
"Taquito with Potato, No Cheese",173g,21g,38g,15g,1g,2g,880mg,325mg,400,6g,0g
"Taquito with Sausage, Egg & Cheese",177g,26g,28g,19g,1g,1g,1050mg,345mg,430,10g,0g
"Taquito with Sausage, Egg & Cheese Whatameal",711g,37g,49g,21g,1g,3g,1650mg,345mg,620,12g,0g
"Taquito with Sausage, No Cheese",165g,23g,28g,16g,1g,1g,840mg,335mg,380,8g,0g
Grilled Cheese Kid's Meal,704g,42g,153g,19g,71g,3g,1510mg,40mg,1070,12g,0g
Grilled Cheese Kid's Meal with Lower Calorie Sides,459g,31g,82g,24g,32g,1g,1440mg,55mg,730,11g,0g
Justaburger Kid's Meal,681g,26g,145g,17g,72g,4g,950mg,20mg,860,5g,0g
Justaburger Kid's Meal with Lower Calorie Sides,435g,14g,75g,22g,33g,3g,890mg,35mg,520,5g,0g
Kids Grilled Cheese,140g,28g,42g,16g,4g,0g,1300mg,40mg,510,10g,0g
Kids Justaburger,117g,11g,35g,14g,5g,1g,750mg,20mg,300,3g,0g
Whatachick'n Bites 4 Piece Kid's Meal,745g,30g,135g,23g,69g,4g,1130mg,50mg,880,5g,0g
Whatachick'n Bites 4 Piece Kid's Meal with Lower Calorie Sides,500g,18g,65g,28g,29g,3g,1070mg,65mg,540,5g,0g
Whatachick'n Strips 2 Piece Kid's Meal,747g,34g,142g,20g,69g,4g,1250mg,45mg,940,5g,0g
Whatachick'n Strips 2 Piece Kid's Meal with Lower Calorie Sides,501g,22g,71g,25g,29g,3g,1190mg,55mg,590,5g,0g
Apple & Cranberry Grilled Chicken Salad,342g,12g,38g,33g,24g,12g,780mg,110mg,380,7g,0g
Apple & Cranberry Salad,227g,10g,36g,9g,24g,10g,230mg,35mg,250,6g,0g
Apple & Cranberry Whatachick'n Salad,342g,20g,47g,34g,24g,10g,710mg,105mg,500,13g,0g
Apple Slices,85g,10g,12g,1g,8g,1g,220mg,15mg,140,2g,0g
"French Fries, Large",170g,28g,70g,7g,1g,6g,350mg,0mg,560,4g,0g
"French Fries, Medium",128g,21g,52g,5g,1g,4g,260mg,0mg,420,3g,0g
"French Fries, Small",85g,14g,35g,3g,0g,3g,170mg,0mg,280,2g,0g
"Fry Salt, Large",1g,0g,0g,0g,0g,0g,350mg,0mg,0,0g,0g
"Fry Salt, Medium",1g,0g,0g,0g,0g,0g,260mg,0mg,0,0g,0g
"Fry Salt, Small",N/A,0g,0g,0g,0g,0g,180mg,0mg,0,0g,0g
Garden Salad,224g,9g,9g,9g,3g,9g,250mg,30mg,160,6g,0g
