Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"6"" Personal Hand Tossed Cheese Only Pizza, Double Cheese",35g,6g,3g,6g,0g,0g,300mg,25mg,90,4g,0g
"6"" Personal Hand Tossed Cheese Only Pizza, Extra Cheese",35g,6g,3g,6g,0g,0g,300mg,25mg,90,4g,0g
"6"" Personal Hand Tossed Cheese Only Pizza, Light Cheese",13g,2.5g,1g,2g,0g,0g,110mg,10mg,35,1.5g,0g
"6"" Personal Hand Tossed Cheese Only Pizza, Regular Cheese",25g,4.5g,2g,4g,0g,0g,210mg,15mg,60,2.5g,0g
"6"" Personal Hand Tossed Pizza, Alfredo Sauce",10g,2g,1g,1g,0g,0g,60mg,5mg,25,1.5g,0g
"6"" Personal Hand Tossed Pizza, American Cheese",7g,2g,1g,1g,0g,0g,125mg,5mg,25,1.5g,0g
"6"" Personal Hand Tossed Pizza, Anchovies",14g,1.5g,0g,4g,0g,0g,520mg,10mg,30,0g,0g
"6"" Personal Hand Tossed Pizza, Bacon",7g,2.5g,1g,2g,0g,0g,150mg,10mg,35,1g,0g
"6"" Personal Hand Tossed Pizza, BBQ Sauce",10g,0g,4g,0g,3g,0g,65mg,0mg,15,0g,0g
"6"" Personal Hand Tossed Pizza, Beef",7g,2g,0g,1g,0g,0g,50mg,0mg,20,0.5g,0g
"6"" Personal Hand Tossed Pizza, Black Olives",3g,0g,0g,0g,0g,0g,25mg,0mg,5,0g,0g
"6"" Personal Hand Tossed Pizza, Cheddar",3g,1g,0g,1g,0g,0g,20mg,5mg,10,0.5g,0g
"6"" Personal Hand Tossed Pizza, Chicken Grilled",10g,0g,0g,2g,0g,0g,55mg,5mg,15,0g,0g
"6"" Personal Hand Tossed Pizza, Chorizo",7g,0g,0g,2g,0g,0g,55mg,5mg,15,0g,0g
"6"" Personal Hand Tossed Pizza, Crust",68g,4.5g,30g,5g,1g,1g,200mg,0mg,190,1g,0g
"6"" Personal Hand Tossed Pizza, Diced Tomatoes",3g,0g,0g,0g,0g,0g,10mg,0mg,0,0g,0g
"6"" Personal Hand Tossed Pizza, Double Cheese",35g,6g,3g,6g,0g,0g,300mg,25mg,90,4g,0g
"6"" Personal Hand Tossed Pizza, Extra Cheese",27g,4.5g,2g,4g,0g,0g,220mg,20mg,70,3g,0g
"6"" Personal Hand Tossed Pizza, Feta Cheese",3g,0g,0g,1g,0g,0g,35mg,0mg,5,0g,0g
"6"" Personal Hand Tossed Pizza, Garlic",3g,0g,1g,0g,0g,0g,0mg,0mg,5,0g,0g
"6"" Personal Hand Tossed Pizza, Garlic Parm (White Sauce)",10g,4.5g,1g,0g,0g,0g,95mg,5mg,45,1g,0g
"6"" Personal Hand Tossed Pizza, Green Olive",3g,0g,0g,0g,0g,0g,45mg,0mg,5,0g,0g
"6"" Personal Hand Tossed Pizza, Ham",9g,0.5g,0g,1g,0g,0g,135mg,5mg,10,0g,0g
"6"" Personal Hand Tossed Pizza, Hearty Marinara Sauce",14g,0g,2g,0g,1g,0g,100mg,0mg,10,0g,0g
"6"" Personal Hand Tossed Pizza, Hot Banana Peppers",3g,0g,0g,0g,0g,0g,45mg,0mg,0,0g,0g
"6"" Personal Hand Tossed Pizza, Hot Sauce",7g,0g,0g,0g,0g,0g,250mg,0mg,0,0g,0g
"6"" Personal Hand Tossed Pizza, Jalapeno",3g,0g,0g,0g,0g,0g,45mg,0mg,0,0g,0g
"6"" Personal Hand Tossed Pizza, Light Cheese",13g,2.5g,1g,2g,0g,0g,110mg,10mg,35,1.5g,0g
"6"" Personal Hand Tossed Pizza, Pepperoni",7g,3g,0g,1g,0g,0g,135mg,5mg,30,1g,0g
"6"" Personal Hand Tossed Pizza, Philly Meat",10g,1g,1g,1g,0g,0g,115mg,5mg,15,0g,0g
"6"" Personal Hand Tossed Pizza, Pineapple",7g,0g,1g,0g,1g,0g,0mg,0mg,5,0g,0g
"6"" Personal Hand Tossed Pizza, Pizza Sauce",14g,0g,2g,0g,1g,0g,75mg,0mg,10,0g,0g
"6"" Personal Hand Tossed Pizza, Provolone",3g,0.5g,0g,1g,0g,0g,25mg,5mg,10,0g,0g
"6"" Personal Hand Tossed Pizza, Regular Cheese",18g,3g,1g,3g,0g,0g,150mg,10mg,45,2g,0g
"6"" Personal Hand Tossed Pizza, Roasted Red Pepper",3g,0g,0g,0g,0g,0g,10mg,0mg,0,0g,0g
"6"" Personal Hand Tossed Pizza, Salami",4.5g,1.5g,0g,1g,0g,0g,85mg,5mg,20,0.5g,0g
"6"" Personal Hand Tossed Pizza, Sausage",7g,2.5g,0g,0g,0g,0g,45mg,0mg,30,1g,0g
"6"" Personal Hand Tossed Pizza, Shredded Parmesan",3g,1g,0g,1g,0g,0g,25mg,5mg,10,0.5g,0g
"8"" Extra Small Hand Tossed Cheese Only Pizza, Double Cheese",50g,9g,4g,8g,0g,1g,420mg,35mg,130,5g,0g
"8"" Extra Small Hand Tossed Cheese Only Pizza, Extra Cheese",50g,9g,4g,8g,0g,1g,420mg,35mg,130,5g,0g
"8"" Extra Small Hand Tossed Cheese Only Pizza, Light Cheese",19g,3.5g,1g,3g,0g,0g,160mg,15mg,50,2g,0g
"8"" Extra Small Hand Tossed Cheese Only Pizza, Regular Cheese",35g,6g,3g,6g,0g,0g,300mg,25mg,90,4g,0g
"8"" Extra Small Hand Tossed Pizza, Alfredo Sauce",14g,3g,1g,1g,0g,0g,85mg,10mg,35,2g,0g
"8"" Extra Small Hand Tossed Pizza, American Cheese",14g,4.5g,1g,3g,1g,0g,250mg,15mg,50,2.5g,0g
"8"" Extra Small Hand Tossed Pizza, Anchovies",14g,1.5g,0g,4g,0g,0g,520mg,10mg,30,0g,0g
"8"" Extra Small Hand Tossed Pizza, Bacon",14g,5g,1g,4g,1g,0g,300mg,20mg,70,2g,0g
"8"" Extra Small Hand Tossed Pizza, BBQ Sauce",14g,0g,6g,0g,5g,0g,90mg,0mg,25,0g,0g
"8"" Extra Small Hand Tossed Pizza, Beef",21g,5g,0g,4g,0g,0g,160mg,15mg,60,2g,0g
"8"" Extra Small Hand Tossed Pizza, Black Olives",14g,2g,1g,0g,0g,0g,115mg,0mg,25,0g,0g
"8"" Extra Small Hand Tossed Pizza, Cheddar",7g,2.5g,0g,2g,0g,0g,45mg,5mg,30,1.5g,0g
"8"" Extra Small Hand Tossed Pizza, Chicken Grilled",21g,1g,1g,5g,0g,0g,115mg,15mg,30,0g,0g
"8"" Extra Small Hand Tossed Pizza, Chorizo",21g,1.5g,1g,6g,0g,0g,170mg,20mg,40,0g,0g
"8"" Extra Small Hand Tossed Pizza, Crust",94g,7g,42g,7g,1g,1g,290mg,0mg,260,1.5g,0g
"8"" Extra Small Hand Tossed Pizza, Diced Tomatoes",21g,0g,1g,0g,0g,0g,65mg,0mg,5,0g,0g
