Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Salt Bagel,N/A,1.5g,58g,10g,3g,2g,2740mg,0mg,290,0g,0g
Sesame Bagel,N/A,3g,58g,10g,3g,2g,410mg,0mg,300,0g,0g
Sprouted Grain Bagel Flat,N/A,1.5g,48g,8g,4g,5g,300mg,0mg,240,0g,0g
Whole Grain Bagel,N/A,2.5g,67g,13g,5g,7g,460mg,0mg,330,0g,0g
Apple Crunch Muffin,139g,12g,80g,7g,49g,2g,380mg,55mg,450,3g,0g
Bear Claw,128g,31g,59g,9g,29g,3g,350mg,75mg,550,15g,0g
Blueberry Muffin with Fresh Blueberries,128g,18g,69g,6g,40g,1g,380mg,60mg,460,3g,0g
Candy Cookie,N/A,19g,58g,5g,30g,1g,260mg,70mg,420,11g,0.5g
Cheese Pastry,110g,23g,43g,8g,15g,1g,340mg,65mg,410,15g,0.5g
Cherry Pastry,137g,22g,58g,7g,28g,1g,360mg,60mg,460,14g,0.5g
Chocolate Chip Muffie,78g,14g,46g,4g,28g,1g,230mg,35mg,320,4g,0g
Chocolate Chipper Cookie,N/A,19g,51g,4g,30g,2g,290mg,50mg,380,11g,0g
Chocolate Pastry,99g,24g,46g,7g,17g,2g,250mg,50mg,420,15g,0g
Cinnamon Crumb Coffee Cake,N/A,28g,61g,6g,33g,2g,340mg,110mg,510,11g,0.5g
Cinnamon Crunch Scone,N/A,23g,79g,8g,42g,2g,900mg,70mg,550,16g,0.5g
Cinnamon Roll,170g,25g,100g,13g,47g,3g,660mg,95mg,670,12g,0g
Cobblestone,197g,12g,102g,11g,56g,3g,500mg,60mg,560,7g,0g
Coconut Macaroon,N/A,7g,17g,1g,14g,2g,65mg,0mg,140,6g,0g
Cranberry Orange Muffin,N/A,19g,71g,6g,40g,2g,400mg,65mg,480,3g,0g
Double Fudge Brownie,N/A,22g,80g,6g,58g,4g,250mg,40mg,520,11g,0g
French Croissant,71g,18g,32g,6g,7g,1g,260mg,60mg,310,11g,0g
Kitchen Sink Cookie,N/A,44g,97g,8g,54g,3g,770mg,90mg,800,28g,1g
