Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Curly Fries, Large",201g,35g,77g,8g,0g,7g,1480mg,0mg,650,5g,0g
"Curly Fries, Medium",170g,29g,65g,6g,0g,6g,1250mg,0mg,550,4g,0g
"Curly Fries, Small",128g,22g,49g,5g,0g,5g,940mg,0mg,410,3g,0g
"Curly Fries, Snack",77g,13g,29g,3g,0g,3g,570mg,0mg,250,2g,0g
Jalapeno Bites (5),110g,17g,31g,5g,3g,2g,660mg,25mg,290,6g,0g
Jalapeno Bites (8),176g,27g,50g,8g,4g,3g,1060mg,40mg,470,10g,0.5g
"Jalapeno Bites, Bronco Berry Sauce Adds",28g,0g,15g,0g,15g,0g,25mg,0mg,60,0g,0g
Loaded Curly Fries,233g,46g,57g,14g,2g,5g,1990mg,35mg,700,9g,0g
Marinara Sauce Adds,28g,0g,4g,1g,3g,1g,170mg,0mg,20,0g,0g
Mozzarella Sticks (4),137g,23g,37g,19g,3g,2g,1410mg,35mg,440,9g,0.5g
Mozzarella Sticks (6),206g,35g,56g,29g,4g,3g,2110mg,55mg,650,14g,1g
Potato Cakes (2),100g,14g,23g,2g,0g,2g,430mg,0mg,250,2g,0g
Potato Cakes (3),150g,21g,35g,3g,0g,4g,650mg,0mg,370,3g,0g
Potato Cakes (4),200g,28g,46g,4g,0g,5g,860mg,0mg,490,4.5g,0g
Steakhouse Onion Rings (5),132g,21g,52g,6g,4g,3g,1740mg,0mg,420,3g,0g
Apple Turnover,128g,18g,65g,4g,39g,2g,210mg,0mg,430,9g,0g
Cherry Turnover,128g,13g,65g,4g,40g,2g,200mg,0mg,390,6g,0g
"Jamocha Handcrafted Shake, Large",758g,30g,156g,23g,141g,1g,700mg,95mg,950,19g,0.5g
"Jamocha Handcrafted Shake, Medium",587g,23g,124g,18g,112g,1g,550mg,75mg,750,15g,0.5g
"Jamocha Handcrafted Shake, Small",413g,17g,87g,13g,79g,1g,380mg,55mg,540,11g,0g
"Jamocha Handcrafted Shake, Snack",255g,8g,55g,8g,50g,0g,240mg,25mg,310,5g,0g
Salted Caramel & Chocolate Cookie,94g,18g,63g,4g,33g,1g,360mg,30mg,430,10g,0g
Triple Chocolate Cookie,95g,21g,60g,5g,31g,2g,370mg,40mg,450,13g,0g
"Ultimate Chocolate Shake, Large",758g,31g,158g,24g,140g,2g,700mg,95mg,970,20g,0.5g
"Ultimate Chocolate Shake, Medium",587g,24g,126g,18g,111g,2g,540mg,75mg,760,15g,0.5g
"Ultimate Chocolate Shake, Small",413g,18g,89g,13g,78g,1g,380mg,55mg,550,12g,0g
"Ultimate Chocolate Shake, Snack",255g,9g,57g,8g,49g,1g,240mg,25mg,320,6g,0g
"Vanilla Handcrafted Shake, Large",700g,30g,124g,23g,115g,1g,630mg,95mg,820,19g,0.5g
"Vanilla Handcrafted Shake, Medium",534g,23g,95g,18g,88g,1g,480mg,75mg,630,15g,0.5g
"Vanilla Handcrafted Shake, Small",376g,17g,67g,12g,62g,0g,340mg,55mg,450,11g,0g
"Vanilla Handcrafted Shake, Snack",227g,8g,40g,8g,37g,0g,210mg,25mg,250,5g,0g
Kids CapriSun Fruit Juice,185g,0g,21g,0g,20g,0g,25mg,0mg,80,0g,0g
Kids Curly Fries,77g,13g,29g,3g,0g,3g,560mg,0mg,250,2g,0g
Kids Ham 'n Cheese Slider,91g,9g,22g,13g,3g,1g,750mg,30mg,230,3.5g,0g
Kids Prime-Cut Chicken Tenders (2),87g,11g,19g,16g,0g,1g,640mg,30mg,240,1.5g,0g
Kids Roast Beef 'n Cheese Slider,91g,11g,21g,14g,1g,1g,670mg,30mg,240,4.5g,0g
Kids Shamrock Farms Lowfat Chocolate Milk,218g,2.5g,26g,7g,23g,1g,170mg,10mg,150,1.5g,0g
Kids Shamrock Farms Lowfat White Milk,214g,2g,10g,7g,10g,0g,105mg,10mg,90,1.5g,0g
Kids Tree Top Applesauce,91g,0g,13g,0g,11g,2g,0mg,0mg,45,0g,0g
"Barq's Root Beer, 16 oz",N/A,0g,90g,0g,90g,0g,135mg,0mg,330,0g,0g
"Barq's Root Beer, 22 oz",N/A,0g,67g,0g,67g,0g,100mg,0mg,250,0g,0g
"Brewed Iced Tea, Small Cup",358g,0g,1g,0g,0g,0g,0mg,0mg,5,0g,0g
CapriSun Fruit Juice,185g,0g,21g,0g,20g,0g,25mg,0mg,80,0g,0g
"Coca-Cola, 16 oz",N/A,0g,80g,0g,80g,0g,65mg,0mg,290,0g,0g
"Coca-Cola, 22 oz",N/A,0g,60g,0g,60g,0g,50mg,0mg,220,0g,0g
"Coca-Cola Zero Sugar, 16 oz",N/A,0g,0g,0g,0g,0g,75mg,0mg,0,0g,0g
"Coca-Cola Zero Sugar, 22 oz",N/A,0g,0g,0g,0g,0g,55mg,0mg,0,0g,0g
"Diet Coke, 16 oz",N/A,0g,0g,0g,0g,0g,95mg,0mg,0,0g,0g
"Diet Coke, 22 oz",N/A,0g,0g,0g,0g,0g,70mg,0mg,0,0g,0g
"Diet Dr Pepper, 16 oz",N/A,0g,0g,0g,0g,0g,140mg,0mg,0,0g,0g
